Date,Low,Open,Volume,High,Close,Adjusted Close
29-07-1987,5.4375,0.0,201200,5.5,5.5,5.5
30-07-1987,5.4375,5.5,107000,5.5625,5.5625,5.5625
31-07-1987,5.5,5.5625,35400,5.5625,5.5625,5.5625
03-08-1987,5.5,5.5625,23800,5.5625,5.5625,5.5625
04-08-1987,5.5,5.5625,35800,5.5625,5.5625,5.5625
05-08-1987,5.5,5.5625,23800,5.5625,5.5,5.5
06-08-1987,5.5,5.5,34000,5.5625,5.5,5.5
07-08-1987,5.5,5.5,11400,5.5625,5.5625,5.5625
10-08-1987,5.5,5.5,0,5.5625,5.5625,5.5625
11-08-1987,5.5625,5.5625,58200,5.6875,5.625,5.625
12-08-1987,5.5,5.625,30800,6.0,5.9375,5.9375
13-08-1987,6.0,6.0,34000,6.25,6.125,6.125
14-08-1987,6.0625,6.125,20400,6.25,6.1875,6.1875
17-08-1987,6.0,6.1875,22400,6.1875,6.0625,6.0625
18-08-1987,5.875,6.0625,28400,6.125,5.875,5.875
19-08-1987,5.875,5.875,15200,6.0,5.875,5.875
20-08-1987,6.0,6.0,72600,6.3125,6.25,6.25
21-08-1987,6.375,6.375,48400,7.625,6.9375,6.9375
24-08-1987,6.75,6.9375,36800,7.0625,6.75,6.75
25-08-1987,6.75,6.75,34000,7.125,6.9375,6.9375
26-08-1987,6.5625,6.875,22400,6.875,6.5625,6.5625
27-08-1987,6.3125,6.5625,21000,6.625,6.3125,6.3125
28-08-1987,6.375,6.375,4000,6.5625,6.4375,6.4375
31-08-1987,6.375,6.4375,4200,6.5,6.375,6.375
01-09-1987,6.375,6.375,5600,6.4375,6.375,6.375
02-09-1987,6.25,6.375,2200,6.375,6.375,6.375
03-09-1987,6.125,6.25,6000,6.25,6.25,6.25
04-09-1987,5.875,6.25,16600,6.25,5.875,5.875
08-09-1987,5.4375,5.875,15200,5.875,5.4375,5.4375
09-09-1987,5.375,5.4375,5800,5.5,5.4375,5.4375
10-09-1987,5.4375,5.4375,3000,5.5,5.4375,5.4375
11-09-1987,5.5625,5.5625,13800,5.9375,5.8125,5.8125
14-09-1987,5.875,5.875,2800,5.9375,5.9375,5.9375
15-09-1987,5.8125,5.875,3000,5.875,5.875,5.875
16-09-1987,5.625,5.8125,6000,5.8125,5.625,5.625
17-09-1987,5.5,5.5625,2400,5.5625,5.5,5.5
18-09-1987,5.5,5.5,1000,5.5,5.5,5.5
21-09-1987,5.5,5.5,4200,5.5,5.5,5.5
22-09-1987,5.5,5.5,8200,5.625,5.625,5.625
23-09-1987,5.5625,5.625,5200,5.625,5.625,5.625
24-09-1987,5.5625,5.625,0,5.625,5.625,5.625
25-09-1987,5.625,5.625,400,5.6875,5.625,5.625
28-09-1987,5.6875,5.6875,2800,5.75,5.6875,5.6875
29-09-1987,5.375,5.625,5600,5.625,5.375,5.375
30-09-1987,5.375,5.375,1600,5.375,5.375,5.375
01-10-1987,5.375,5.375,14000,5.875,5.875,5.875
02-10-1987,5.9375,5.9375,10600,6.0625,6.0,6.0
05-10-1987,5.875,6.0,13600,6.0625,5.9375,5.9375
06-10-1987,5.875,5.9375,2600,5.9375,5.875,5.875
07-10-1987,5.75,5.875,3000,5.875,5.75,5.75
08-10-1987,5.75,5.75,6800,5.9375,5.75,5.75
09-10-1987,5.6875,5.6875,1000,5.6875,5.6875,5.6875
12-10-1987,5.5,5.625,8600,5.625,5.5,5.5
13-10-1987,5.375,5.5,5200,5.5,5.375,5.375
14-10-1987,5.0625,5.375,10600,5.5,5.0625,5.0625
15-10-1987,4.75,5.0625,16600,5.1875,4.8125,4.8125
