Date,Low,Open,Volume,High,Close,Adjusted Close
28-02-1996,2.125,2.25,3051600,2.375,2.28125,2.28125
29-02-1996,2.25,2.3125,453200,2.3125,2.3125,2.3125
01-03-1996,2.28125,2.3125,559200,2.375,2.3125,2.3125
04-03-1996,2.25,2.28125,845200,2.3125,2.25,2.25
05-03-1996,2.1875,2.25,1187200,2.28125,2.28125,2.28125
06-03-1996,2.1875,2.1875,355600,2.28125,2.1875,2.1875
07-03-1996,2.1875,2.25,125200,2.25,2.21875,2.21875
08-03-1996,2.09375,2.25,177600,2.25,2.09375,2.09375
11-03-1996,2.09375,2.09375,164400,2.15625,2.15625,2.15625
12-03-1996,2.09375,2.15625,102800,2.15625,2.15625,2.15625
13-03-1996,2.09375,2.15625,156400,2.1875,2.09375,2.09375
14-03-1996,2.09375,2.1875,105200,2.1875,2.09375,2.09375
15-03-1996,2.09375,2.1875,203200,2.1875,2.1875,2.1875
18-03-1996,2.09375,2.1875,137600,2.1875,2.09375,2.09375
19-03-1996,2.09375,2.125,116400,2.1875,2.09375,2.09375
20-03-1996,2.09375,2.09375,46800,2.1875,2.09375,2.09375
21-03-1996,2.09375,2.09375,49600,2.1875,2.09375,2.09375
22-03-1996,2.09375,2.15625,71600,2.1875,2.09375,2.09375
25-03-1996,2.09375,2.09375,112400,2.1875,2.09375,2.09375
26-03-1996,2.09375,2.09375,75600,2.1875,2.125,2.125
27-03-1996,2.09375,2.09375,39200,2.1875,2.1875,2.1875
28-03-1996,2.09375,2.09375,46800,2.1875,2.1875,2.1875
29-03-1996,2.09375,2.1875,36800,2.1875,2.09375,2.09375
01-04-1996,2.09375,2.1875,178000,2.25,2.15625,2.15625
02-04-1996,2.15625,2.25,525200,2.25,2.1875,2.1875
03-04-1996,2.1875,2.25,120400,2.25,2.25,2.25
04-04-1996,2.1875,2.25,130800,2.25,2.21875,2.21875
08-04-1996,2.21875,2.21875,72800,2.234375,2.21875,2.21875
09-04-1996,2.1875,2.234375,344800,2.234375,2.1875,2.1875
10-04-1996,2.1875,2.1875,445200,2.21875,2.21875,2.21875
11-04-1996,2.1875,2.1875,54400,2.234375,2.1875,2.1875
12-04-1996,2.1875,2.1875,76000,2.234375,2.1875,2.1875
15-04-1996,2.1875,2.234375,72800,2.234375,2.1875,2.1875
16-04-1996,2.1875,2.234375,254400,2.234375,2.21875,2.21875
17-04-1996,2.15625,2.1875,180800,2.21875,2.15625,2.15625
18-04-1996,2.15625,2.15625,134000,2.1875,2.1875,2.1875
19-04-1996,2.15625,2.15625,47600,2.21875,2.15625,2.15625
22-04-1996,2.15625,2.21875,117200,2.21875,2.1875,2.1875
23-04-1996,2.15625,2.15625,99600,2.21875,2.15625,2.15625
24-04-1996,2.15625,2.15625,50800,2.21875,2.15625,2.15625
25-04-1996,2.15625,2.21875,188800,2.21875,2.21875,2.21875
26-04-1996,2.15625,2.15625,92800,2.21875,2.15625,2.15625
29-04-1996,2.15625,2.15625,501600,2.21875,2.21875,2.21875
30-04-1996,2.1875,2.21875,150800,2.3125,2.21875,2.21875
01-05-1996,2.21875,2.3125,39200,2.3125,2.25,2.25
02-05-1996,2.21875,2.25,28800,2.3125,2.3125,2.3125
03-05-1996,2.21875,2.3125,27600,2.3125,2.3125,2.3125
06-05-1996,2.25,2.3125,240000,2.46875,2.375,2.375
07-05-1996,2.375,2.4375,218800,2.53125,2.53125,2.53125
08-05-1996,2.4375,2.53125,277600,2.75,2.75,2.75
09-05-1996,2.6875,2.78125,772000,2.9375,2.78125,2.78125
10-05-1996,2.6875,2.78125,185200,2.78125,2.6875,2.6875
13-05-1996,2.6875,2.71875,137200,2.78125,2.6875,2.6875
14-05-1996,2.65625,2.78125,128400,2.78125,2.6875,2.6875
15-05-1996,2.53125,2.65625,228000,2.75,2.625,2.625
16-05-1996,2.5625,2.625,119200,2.625,2.625,2.625
17-05-1996,2.375,2.5625,264400,2.625,2.53125,2.53125
20-05-1996,2.375,2.5,81200,2.5,2.375,2.375
21-05-1996,2.375,2.46875,128000,2.46875,2.46875,2.46875
22-05-1996,2.375,2.46875,548400,2.71875,2.5625,2.5625
23-05-1996,2.5,2.5625,37600,2.5625,2.5,2.5
24-05-1996,2.5,2.5625,132400,2.59375,2.5,2.5
28-05-1996,2.5,2.59375,145200,2.59375,2.515625,2.515625
29-05-1996,2.46875,2.5,114800,2.59375,2.46875,2.46875
30-05-1996,2.46875,2.59375,41200,2.59375,2.46875,2.46875
31-05-1996,2.46875,2.46875,49200,2.59375,2.59375,2.59375
03-06-1996,2.46875,2.46875,55200,2.59375,2.46875,2.46875
04-06-1996,2.46875,2.5625,61200,2.5625,2.46875,2.46875
05-06-1996,2.46875,2.46875,101600,2.5625,2.53125,2.53125
06-06-1996,2.46875,2.53125,91200,2.53125,2.46875,2.46875
07-06-1996,2.46875,2.46875,170400,2.53125,2.46875,2.46875
10-06-1996,2.46875,2.53125,44400,2.53125,2.46875,2.46875
11-06-1996,2.46875,2.53125,41600,2.53125,2.484375,2.484375
12-06-1996,2.46875,2.46875,43600,2.5,2.46875,2.46875
