Date,Low,Open,Volume,High,Close,Adjusted Close
21-02-1973,4.625,4.625,99200,4.625,4.625,1.6927661895751953
22-02-1973,4.640625,4.640625,47200,4.640625,4.640625,1.6984843015670776
23-02-1973,4.625,4.625,133600,4.625,4.625,1.6927661895751953
26-02-1973,4.625,4.625,24000,4.625,4.625,1.6927661895751953
27-02-1973,4.625,4.625,41600,4.625,4.625,1.6927661895751953
28-02-1973,4.625,4.625,66400,4.625,4.625,1.6927661895751953
01-03-1973,4.65625,4.65625,93600,4.65625,4.65625,1.7042030096054077
02-03-1973,4.671875,4.671875,26400,4.671875,4.671875,1.709922194480896
05-03-1973,4.734375,4.734375,68000,4.734375,4.734375,1.73279869556427
06-03-1973,4.875,4.875,76800,4.875,4.875,1.784266471862793
07-03-1973,4.875,4.875,51200,4.875,4.875,1.784266471862793
08-03-1973,4.90625,4.90625,84800,4.90625,4.90625,1.795703411102295
09-03-1973,4.90625,4.90625,78400,4.90625,4.90625,1.795703411102295
12-03-1973,4.890625,4.890625,73600,4.890625,4.890625,1.7899855375289917
13-03-1973,4.90625,4.90625,47200,4.90625,4.90625,1.795703411102295
14-03-1973,4.921875,4.921875,50400,4.921875,4.921875,1.8014235496520996
15-03-1973,4.90625,4.90625,70400,4.90625,4.90625,1.795703411102295
16-03-1973,4.890625,4.890625,44800,4.890625,4.890625,1.7899855375289917
19-03-1973,4.84375,4.84375,28000,4.84375,4.84375,1.7728298902511597
20-03-1973,4.75,4.75,68800,4.75,4.75,1.7385153770446777
21-03-1973,4.6875,4.6875,94400,4.6875,4.6875,1.7156407833099365
22-03-1973,4.609375,4.609375,55200,4.609375,4.609375,1.6870464086532593
23-03-1973,4.609375,4.609375,117600,4.609375,4.609375,1.6870464086532593
26-03-1973,4.59375,4.59375,9600,4.59375,4.59375,1.681328296661377
27-03-1973,4.59375,4.59375,15200,4.59375,4.59375,1.681328296661377
28-03-1973,4.65625,4.65625,141600,4.65625,4.65625,1.7042030096054077
29-03-1973,4.71875,4.71875,120000,4.71875,4.71875,1.7270790338516235
30-03-1973,4.71875,4.71875,85600,4.71875,4.71875,1.7270790338516235
02-04-1973,4.6875,4.6875,52800,4.6875,4.6875,1.7156407833099365
03-04-1973,4.65625,4.65625,23200,4.65625,4.65625,1.7042030096054077
04-04-1973,4.625,4.625,78400,4.625,4.625,1.6927661895751953
05-04-1973,4.609375,4.609375,78400,4.609375,4.609375,1.6870464086532593
06-04-1973,4.609375,4.609375,36000,4.609375,4.609375,1.6870464086532593
09-04-1973,4.609375,4.609375,28000,4.609375,4.609375,1.6870464086532593
10-04-1973,4.71875,4.71875,88800,4.71875,4.71875,1.7270790338516235
11-04-1973,4.75,4.75,144000,4.75,4.75,1.7385153770446777
12-04-1973,4.8125,4.8125,140800,4.8125,4.8125,1.7613917589187622
13-04-1973,4.8125,4.8125,13600,4.8125,4.8125,1.7613917589187622
