Date,Low,Open,Volume,High,Close,Adjusted Close
07-09-1984,5.25,5.5,7900,5.5,5.25,5.25
10-09-1984,5.25,5.25,600,5.5,5.25,5.25
11-09-1984,5.25,5.25,3500,5.5,5.25,5.25
12-09-1984,5.5,5.5,700,5.5,5.5,5.5
13-09-1984,5.0,5.5,1700,5.5,5.0,5.0
14-09-1984,5.0,5.0,3300,5.5,5.25,5.25
17-09-1984,4.75,5.25,3600,5.25,4.75,4.75
18-09-1984,4.75,4.75,5600,5.0,4.75,4.75
19-09-1984,5.0,5.0,300,5.0,5.0,5.0
20-09-1984,5.25,5.25,13700,5.25,5.25,5.25
21-09-1984,5.25,5.25,3600,5.5,5.5,5.5
24-09-1984,5.75,5.75,15500,6.0,5.75,5.75
25-09-1984,6.25,6.25,5200,6.25,6.25,6.25
26-09-1984,6.5,6.5,5500,6.5,6.5,6.5
27-09-1984,6.25,6.5,3600,6.5,6.25,6.25
28-09-1984,6.0,6.25,17800,6.5,6.25,6.25
01-10-1984,6.0,6.25,3200,6.25,6.0,6.0
02-10-1984,5.75,6.0,2600,6.25,5.75,5.75
03-10-1984,5.75,5.75,1300,6.0,5.75,5.75
04-10-1984,5.75,5.75,2900,6.25,5.75,5.75
05-10-1984,6.0,6.0,4400,6.5,6.0,6.0
08-10-1984,6.25,6.25,1300,6.5,6.25,6.25
09-10-1984,6.25,6.25,600,6.5,6.25,6.25
10-10-1984,6.25,6.25,1400,6.5,6.25,6.25
11-10-1984,7.0,7.0,29400,7.25,7.0,7.0
12-10-1984,6.75,7.0,6500,7.25,7.25,7.25
15-10-1984,7.0,7.25,1800,7.25,7.0,7.0
16-10-1984,6.75,7.0,9200,7.0,6.75,6.75
17-10-1984,6.75,6.75,2800,7.0,6.75,6.75
18-10-1984,6.5,6.75,3800,7.0,6.5,6.5
19-10-1984,6.5,6.5,700,7.0,6.5,6.5
22-10-1984,6.5,6.5,700,6.75,6.5,6.5
23-10-1984,6.75,6.75,7500,6.75,6.75,6.75
24-10-1984,6.75,6.75,1900,6.75,6.75,6.75
25-10-1984,6.75,6.75,800,6.75,6.75,6.75
26-10-1984,6.5,6.75,600,6.75,6.5,6.5
29-10-1984,6.5,6.5,2000,6.75,6.5,6.5
30-10-1984,6.25,6.5,2700,6.5,6.25,6.25
31-10-1984,6.25,6.25,2000,6.25,6.25,6.25
01-11-1984,5.25,6.0,5500,6.0,5.25,5.25
02-11-1984,5.25,5.25,3200,5.5,5.5,5.5
05-11-1984,5.75,5.75,8300,5.75,5.75,5.75
06-11-1984,5.75,5.75,5100,6.0,5.75,5.75
07-11-1984,6.0,6.0,200,6.0,6.0,6.0
