Date,Low,Open,Volume,High,Close,Adjusted Close
10-06-1999,2.25,2.25,200,2.25,2.25,2.25
11-06-1999,2.25,2.25,200,2.25,2.25,2.25
14-06-1999,2.25,2.25,0,2.25,2.25,2.25
15-06-1999,2.375,2.375,100,2.375,2.375,2.375
16-06-1999,2.375,2.375,300,2.375,2.375,2.375
17-06-1999,2.375,2.375,200,2.375,2.375,2.375
18-06-1999,2.375,2.375,0,2.375,2.375,2.375
21-06-1999,2.375,2.375,800,2.5,2.5,2.5
22-06-1999,2.5,2.5,1000,2.5,2.5,2.5
23-06-1999,2.5,2.5,700,2.5,2.5,2.5
24-06-1999,2.5,2.5,0,2.5,2.5,2.5
25-06-1999,2.5625,2.5625,700,2.5625,2.5625,2.5625
28-06-1999,2.5625,2.5625,0,2.5625,2.5625,2.5625
29-06-1999,2.5625,2.5625,0,2.5625,2.5625,2.5625
30-06-1999,2.5625,2.5625,0,2.5625,2.5625,2.5625
01-07-1999,2.5625,2.5625,0,2.5625,2.5625,2.5625
02-07-1999,2.5625,2.5625,500,2.625,2.625,2.625
06-07-1999,2.75,2.75,1400,3.0,3.0,3.0
07-07-1999,2.75,2.75,2800,3.0,2.875,2.875
08-07-1999,3.0625,3.125,3600,3.125,3.0625,3.0625
09-07-1999,3.0625,3.0625,7500,3.25,3.25,3.25
12-07-1999,3.25,3.25,11900,3.3125,3.25,3.25
13-07-1999,3.25,3.25,100,3.25,3.25,3.25
14-07-1999,3.5,3.5,100,3.5,3.5,3.5
15-07-1999,3.375,3.375,1100,3.5,3.5,3.5
16-07-1999,3.5,3.5,15000,3.75,3.75,3.75
19-07-1999,3.5,3.8125,700,3.8125,3.5,3.5
20-07-1999,3.5,3.5,1000,3.5,3.5,3.5
21-07-1999,3.5,3.5625,6500,3.5625,3.5625,3.5625
22-07-1999,3.625,3.625,800,3.625,3.625,3.625
23-07-1999,3.625,3.625,0,3.625,3.625,3.625
26-07-1999,3.375,3.375,2100,3.375,3.375,3.375
27-07-1999,3.375,3.4375,6100,3.4375,3.375,3.375
28-07-1999,3.3125,3.3125,1000,3.3125,3.3125,3.3125
29-07-1999,3.125,3.3125,4200,3.3125,3.125,3.125
30-07-1999,3.125,3.125,0,3.125,3.125,3.125
02-08-1999,3.125,3.125,0,3.125,3.125,3.125
03-08-1999,2.75,3.125,20900,3.1875,2.75,2.75
04-08-1999,2.75,2.75,0,2.75,2.75,2.75
05-08-1999,2.75,2.75,1200,2.75,2.75,2.75
06-08-1999,2.6875,2.6875,5600,2.75,2.75,2.75
09-08-1999,2.75,2.75,0,2.75,2.75,2.75
