Date,Low,Open,Volume,High,Close,Adjusted Close
13-08-1993,3.125,3.171875,14796800,3.1875,3.125,2.2725589275360107
16-08-1993,3.03125,3.140625,3422400,3.140625,3.09375,2.249833345413208
17-08-1993,3.046875,3.0625,732800,3.09375,3.046875,2.215745449066162
18-08-1993,3.046875,3.046875,1084800,3.125,3.09375,2.249833345413208
19-08-1993,3.0625,3.078125,832800,3.15625,3.15625,2.295285224914551
20-08-1993,3.140625,3.15625,464000,3.203125,3.1875,2.3180105686187744
23-08-1993,3.140625,3.171875,146400,3.171875,3.140625,2.283921241760254
24-08-1993,3.125,3.15625,354400,3.15625,3.125,2.2725589275360107
25-08-1993,3.125,3.125,214400,3.15625,3.15625,2.295285224914551
26-08-1993,3.15625,3.15625,287200,3.1875,3.15625,2.295285224914551
27-08-1993,3.15625,3.15625,330400,3.21875,3.1875,2.3180105686187744
30-08-1993,3.171875,3.203125,120800,3.21875,3.1875,2.3180105686187744
31-08-1993,3.171875,3.203125,233600,3.203125,3.203125,2.329371929168701
01-09-1993,3.171875,3.171875,196800,3.1875,3.1875,2.3180105686187744
02-09-1993,3.125,3.1875,132000,3.1875,3.125,2.2725589275360107
03-09-1993,3.0625,3.125,51200,3.15625,3.0625,2.2271077632904053
07-09-1993,3.09375,3.09375,984800,3.15625,3.09375,2.249833345413208
08-09-1993,2.953125,3.125,208800,3.125,3.0,2.1816565990448
09-09-1993,2.96875,2.96875,277600,3.0,2.984375,2.1702945232391357
10-09-1993,2.859375,3.0,152000,3.0,2.875,2.0907535552978516
13-09-1993,2.875,2.875,320800,2.9375,2.875,2.0907535552978516
14-09-1993,2.71875,2.90625,1212000,2.90625,2.71875,1.9771264791488647
15-09-1993,2.5625,2.65625,1803200,2.875,2.875,2.0907535552978516
16-09-1993,2.78125,2.875,248000,2.875,2.859375,2.079390287399292
17-09-1993,2.828125,2.828125,784800,2.96875,2.953125,2.1475682258605957
20-09-1993,2.90625,3.0,484800,3.03125,2.90625,2.11348032951355
21-09-1993,2.78125,2.875,240000,2.875,2.828125,2.0566658973693848
22-09-1993,2.765625,2.828125,152000,2.828125,2.796875,2.033940553665161
23-09-1993,2.71875,2.78125,946400,2.78125,2.734375,1.9884892702102661
24-09-1993,2.734375,2.734375,480800,2.828125,2.8125,2.0453035831451416
27-09-1993,2.8125,2.8125,86400,2.90625,2.890625,2.1021170616149902
28-09-1993,2.890625,2.890625,98400,2.90625,2.890625,2.1021170616149902
29-09-1993,3.078125,3.125,788800,3.125,3.125,2.2725589275360107
30-09-1993,3.125,3.125,1268000,3.3125,3.296875,2.3975486755371094
01-10-1993,3.1875,3.296875,548800,3.296875,3.25,2.36346173286438
04-10-1993,3.203125,3.21875,387200,3.25,3.203125,2.329371929168701
05-10-1993,3.03125,3.140625,482400,3.140625,3.03125,2.2043817043304443
06-10-1993,3.03125,3.03125,42400,3.0625,3.0625,2.2271077632904053
07-10-1993,3.046875,3.046875,8000,3.078125,3.078125,2.238471269607544
08-10-1993,3.078125,3.078125,905600,3.125,3.125,2.2725589275360107
11-10-1993,3.109375,3.109375,713600,3.28125,3.28125,2.386186122894287
12-10-1993,3.25,3.265625,176800,3.296875,3.28125,2.386186122894287
13-10-1993,3.25,3.296875,346400,3.296875,3.25,2.36346173286438
14-10-1993,3.28125,3.28125,383200,3.328125,3.296875,2.3975486755371094
15-10-1993,3.296875,3.3125,144000,3.328125,3.296875,2.3975486755371094
18-10-1993,3.296875,3.296875,160000,3.34375,3.296875,2.3975486755371094
19-10-1993,3.28125,3.3125,396800,3.3125,3.296875,2.3975486755371094
20-10-1993,3.296875,3.296875,304000,3.3125,3.3125,2.4089126586914062
21-10-1993,3.3125,3.3125,90400,3.328125,3.3125,2.4089126586914062
22-10-1993,3.3125,3.3125,80000,3.328125,3.3125,2.4089126586914062
25-10-1993,3.3125,3.3125,87200,3.328125,3.3125,2.4089126586914062
26-10-1993,3.25,3.328125,502400,3.328125,3.25,2.36346173286438
27-10-1993,3.203125,3.25,40000,3.25,3.203125,2.329371929168701
28-10-1993,3.203125,3.203125,90400,3.25,3.25,2.36346173286438
29-10-1993,3.234375,3.25,408800,3.34375,3.328125,2.4202749729156494
01-11-1993,3.296875,3.3125,64000,3.3125,3.3125,2.4089126586914062
02-11-1993,3.265625,3.3125,287200,3.3125,3.3125,2.4089126586914062
03-11-1993,3.265625,3.296875,40800,3.296875,3.296875,2.3975486755371094
04-11-1993,3.25,3.265625,53600,3.28125,3.25,2.36346173286438
05-11-1993,3.1875,3.234375,114400,3.234375,3.1875,2.3180105686187744
08-11-1993,3.1875,3.21875,150400,3.21875,3.21875,2.34073543548584
09-11-1993,3.1875,3.1875,77600,3.234375,3.203125,2.329371929168701
10-11-1993,3.140625,3.1875,95200,3.1875,3.171875,2.3066470623016357
11-11-1993,3.140625,3.140625,68800,3.171875,3.15625,2.295285224914551
12-11-1993,3.140625,3.15625,271200,3.203125,3.140625,2.283921241760254
15-11-1993,3.140625,3.140625,11200,3.140625,3.140625,2.283921241760254
16-11-1993,3.125,3.125,127200,3.171875,3.15625,2.295285224914551
17-11-1993,2.984375,3.125,299200,3.125,2.984375,2.1702945232391357
18-11-1993,2.96875,2.96875,20000,2.984375,2.96875,2.158931016921997
19-11-1993,2.921875,2.96875,27200,2.96875,2.921875,2.124843120574951
22-11-1993,2.90625,2.90625,11200,2.921875,2.921875,2.124843120574951
23-11-1993,2.90625,2.921875,39200,2.953125,2.9375,2.1362056732177734
24-11-1993,2.9375,2.9375,162400,3.0,3.0,2.1816565990448
26-11-1993,3.03125,3.03125,76800,3.109375,3.109375,2.261195421218872
29-11-1993,3.09375,3.125,27200,3.140625,3.09375,2.249833345413208
30-11-1993,3.078125,3.09375,60800,3.09375,3.078125,2.238471269607544
01-12-1993,3.046875,3.09375,140800,3.09375,3.046875,2.215745449066162
02-12-1993,3.0,3.015625,100800,3.015625,3.015625,2.1930201053619385
03-12-1993,3.0,3.0,28000,3.0,3.0,2.1816565990448
06-12-1993,3.0,3.0,40800,3.046875,3.03125,2.2043817043304443
07-12-1993,2.90625,3.015625,240000,3.015625,2.921875,2.124843120574951
08-12-1993,2.890625,2.890625,128800,2.9375,2.890625,2.1021170616149902
09-12-1993,2.84375,2.875,180800,2.890625,2.875,2.0907535552978516
10-12-1993,2.859375,2.875,204800,2.890625,2.890625,2.1021170616149902
13-12-1993,2.875,2.875,121600,2.9375,2.9375,2.1362056732177734
14-12-1993,2.96875,2.96875,304800,3.046875,3.0,2.1816565990448
15-12-1993,3.0,3.0,964800,3.109375,3.109375,2.261195421218872
16-12-1993,3.09375,3.125,52800,3.140625,3.09375,2.249833345413208
17-12-1993,3.078125,3.09375,27200,3.109375,3.109375,2.261195421218872
20-12-1993,3.09375,3.109375,37600,3.125,3.09375,2.249833345413208
21-12-1993,3.0625,3.09375,421600,3.125,3.125,2.2725589275360107
22-12-1993,3.140625,3.140625,520800,3.1875,3.1875,2.3180105686187744
23-12-1993,3.171875,3.1875,31200,3.1875,3.1875,2.3180105686187744
27-12-1993,3.1875,3.1875,207200,3.3125,3.3125,2.4089126586914062
28-12-1993,3.34375,3.34375,170400,3.375,3.34375,2.4316372871398926
29-12-1993,3.34375,3.34375,220000,3.421875,3.421875,2.488452434539795
30-12-1993,3.359375,3.40625,404000,3.40625,3.359375,2.4430007934570312
31-12-1993,3.375,3.375,269600,3.5,3.5,2.545266628265381
03-01-1994,3.375,3.46875,879200,3.46875,3.375,2.454364776611328
04-01-1994,3.359375,3.359375,27200,3.40625,3.375,2.454364776611328
05-01-1994,3.34375,3.375,119200,3.46875,3.4375,2.4998154640197754
06-01-1994,3.390625,3.4375,127200,3.46875,3.4375,2.4998154640197754
07-01-1994,3.359375,3.40625,78400,3.40625,3.375,2.454364776611328
10-01-1994,3.34375,3.375,404800,3.375,3.359375,2.4430007934570312
11-01-1994,3.34375,3.34375,344800,3.359375,3.34375,2.4316372871398926
12-01-1994,3.296875,3.3125,329600,3.375,3.375,2.454364776611328
13-01-1994,3.328125,3.375,64000,3.375,3.359375,2.4430007934570312
14-01-1994,3.359375,3.375,170400,3.40625,3.40625,2.4770896434783936
17-01-1994,3.390625,3.40625,87200,3.4375,3.4375,2.4998154640197754
18-01-1994,3.46875,3.46875,196800,3.5625,3.5625,2.5907175540924072
19-01-1994,3.53125,3.53125,132800,3.59375,3.59375,2.6134426593780518
20-01-1994,3.59375,3.59375,119200,3.671875,3.671875,2.670257091522217
21-01-1994,3.640625,3.65625,209600,3.78125,3.75,2.72707200050354
24-01-1994,3.75,3.78125,1111200,3.84375,3.78125,2.749795436859131
25-01-1994,3.71875,3.765625,252800,3.765625,3.75,2.72707200050354
26-01-1994,3.71875,3.71875,196000,3.78125,3.78125,2.7613015174865723
27-01-1994,3.78125,3.78125,272000,3.859375,3.859375,2.818354606628418
28-01-1994,3.765625,3.84375,228000,3.84375,3.84375,2.806942939758301
31-01-1994,3.8125,3.8125,601600,4.09375,4.09375,2.9895083904266357
01-02-1994,3.96875,4.078125,346400,4.078125,3.96875,2.8982248306274414
02-02-1994,3.953125,3.96875,84800,4.0,3.953125,2.886815071105957
03-02-1994,3.9375,3.9375,118400,3.96875,3.96875,2.8982248306274414
04-02-1994,4.0,4.0625,390400,4.078125,4.015625,2.9324564933776855
07-02-1994,3.9375,3.96875,148800,4.03125,4.03125,2.9438674449920654
08-02-1994,4.0,4.03125,654400,4.09375,4.09375,2.9895083904266357
09-02-1994,4.125,4.125,1688000,4.21875,4.1875,3.0579705238342285
10-02-1994,4.078125,4.1875,215200,4.1875,4.109375,3.000919818878174
11-02-1994,4.0,4.078125,69600,4.078125,4.0,2.921046495437622
14-02-1994,3.875,3.96875,291200,3.96875,3.90625,2.8525846004486084
15-02-1994,3.796875,3.90625,45600,3.90625,3.796875,2.772711753845215
16-02-1994,3.765625,3.765625,400000,3.828125,3.828125,2.7955336570739746
17-02-1994,3.796875,3.796875,119200,3.90625,3.90625,2.8525846004486084
18-02-1994,3.9375,3.9375,174400,3.984375,3.9375,2.8754055500030518
22-02-1994,3.96875,3.96875,34400,4.0,4.0,2.921046495437622
23-02-1994,3.890625,3.96875,38400,3.96875,3.890625,2.841174840927124
24-02-1994,3.8125,3.921875,344000,3.921875,3.859375,2.818354606628418
25-02-1994,3.78125,3.8125,34400,3.8125,3.78125,2.7613015174865723
28-02-1994,3.71875,3.75,163200,3.84375,3.84375,2.806942939758301
01-03-1994,3.78125,3.84375,242400,3.875,3.8125,2.7841222286224365
02-03-1994,3.6875,3.75,215200,3.765625,3.765625,2.749891757965088
03-03-1994,3.71875,3.734375,587200,3.78125,3.75,2.7384815216064453
04-03-1994,3.75,3.75,207200,3.78125,3.75,2.7384815216064453
07-03-1994,3.78125,3.78125,68000,3.859375,3.84375,2.806942939758301
08-03-1994,3.859375,3.859375,116000,4.0,4.0,2.921046495437622
09-03-1994,3.9375,3.984375,187200,4.09375,4.0625,2.966686964035034
10-03-1994,4.0625,4.09375,7200,4.09375,4.0625,2.966686964035034
11-03-1994,4.0625,4.0625,212000,4.0625,4.0625,2.966686964035034
14-03-1994,4.03125,4.0625,163200,4.09375,4.078125,2.978098154067993
15-03-1994,4.09375,4.09375,36800,4.125,4.125,3.012329578399658
16-03-1994,4.125,4.125,183200,4.203125,4.1875,3.0579705238342285
17-03-1994,4.171875,4.203125,100800,4.21875,4.21875,3.0807905197143555
18-03-1994,4.203125,4.234375,119200,4.25,4.203125,3.06938099861145
21-03-1994,4.140625,4.21875,31200,4.21875,4.15625,3.035149574279785
22-03-1994,4.03125,4.125,111200,4.125,4.109375,3.000919818878174
23-03-1994,4.078125,4.078125,55200,4.125,4.125,3.012329578399658
24-03-1994,4.03125,4.109375,330400,4.109375,4.0625,2.966686964035034
25-03-1994,4.015625,4.078125,123200,4.078125,4.0625,2.966686964035034
28-03-1994,4.0,4.03125,15200,4.03125,4.0,2.921046495437622
29-03-1994,3.9375,3.96875,24000,3.96875,3.9375,2.8754055500030518
30-03-1994,3.71875,3.84375,121600,3.84375,3.765625,2.749891757965088
31-03-1994,3.625,3.71875,102400,3.734375,3.734375,2.7270710468292236
