Date,Low,Open,Volume,High,Close,Adjusted Close
16-10-1997,5.5625,5.8125,7436400,5.8125,5.6875,3.8283283710479736
17-10-1997,5.40625,5.65625,3390400,5.75,5.59375,3.7652230262756348
20-10-1997,5.46875,5.5,3068000,5.625,5.53125,3.7231531143188477
21-10-1997,5.5,5.5625,2382400,5.6875,5.59375,3.7652230262756348
22-10-1997,5.59375,5.6875,1525200,5.75,5.71875,3.849362850189209
23-10-1997,5.53125,5.6875,1622400,5.6875,5.59375,3.7652230262756348
24-10-1997,5.5625,5.65625,813600,5.71875,5.71875,3.849362850189209
27-10-1997,5.375,5.65625,1507200,5.75,5.421875,3.649531841278076
28-10-1997,4.9375,5.25,2955600,5.6875,5.59375,3.7652230262756348
29-10-1997,5.59375,5.6875,1859200,5.71875,5.65625,3.8072924613952637
30-10-1997,5.375,5.53125,856000,5.5625,5.5,3.702120542526245
31-10-1997,5.4375,5.4375,561600,5.640625,5.5,3.702120542526245
03-11-1997,5.53125,5.625,1004000,5.84375,5.734375,3.8598806858062744
04-11-1997,5.6875,5.75,364000,5.875,5.78125,3.891432046890259
05-11-1997,5.78125,5.8125,324400,6.0625,5.90625,3.9755704402923584
06-11-1997,5.875,5.875,361600,6.25,6.25,4.206955432891846
07-11-1997,6.03125,6.1875,662400,6.625,6.4375,4.333162784576416
10-11-1997,6.15625,6.3125,266800,6.5,6.15625,4.143848419189453
11-11-1997,5.75,5.9375,618000,6.0,6.0,4.038677215576172
12-11-1997,5.5625,6.0,314800,6.0,5.6875,3.8283283710479736
13-11-1997,5.46875,5.5625,500000,5.625,5.5,3.702120542526245
14-11-1997,5.3125,5.4375,438000,5.5,5.4375,3.660050630569458
17-11-1997,5.5,5.5,284000,5.84375,5.8125,3.9124667644500732
18-11-1997,5.6875,5.875,1429600,5.875,5.71875,3.849362850189209
19-11-1997,5.5625,5.71875,148400,5.8125,5.5625,3.744188070297241
20-11-1997,5.3125,5.625,1268000,5.625,5.5625,3.744188070297241
21-11-1997,5.5,5.5625,640800,5.625,5.53125,3.7231531143188477
24-11-1997,5.5,5.5,64400,5.59375,5.53125,3.7231531143188477
25-11-1997,5.5,5.5625,326800,5.625,5.515625,3.712637186050415
26-11-1997,5.234375,5.5,463200,5.53125,5.253905773162842,3.5364699363708496
28-11-1997,5.25,5.28125,212800,5.3125,5.25,3.533841371536255
01-12-1997,5.25,5.25,475200,5.375,5.265625,3.5443575382232666
02-12-1997,5.28125,5.375,1280800,5.5,5.34375,3.596945285797119
03-12-1997,5.34375,5.4375,934400,5.5,5.5,3.702120542526245
04-12-1997,5.40625,5.5,681600,5.625,5.546875,3.733668804168701
05-12-1997,5.4375,5.5,282800,5.75,5.6875,3.8283283710479736
08-12-1997,5.65625,5.6875,227600,5.75,5.71875,3.849362850189209
09-12-1997,5.59375,5.75,124000,5.8125,5.59375,3.7652230262756348
10-12-1997,5.3125,5.625,269600,5.625,5.375,3.62770938873291
11-12-1997,5.15625,5.25,400800,5.375,5.3125,3.5855250358581543
12-12-1997,5.15625,5.375,412400,5.375,5.15625,3.480067729949951
15-12-1997,5.171875,5.25,289200,5.375,5.21875,3.5222513675689697
16-12-1997,5.125,5.125,190800,5.3125,5.21875,3.5222513675689697
17-12-1997,5.03125,5.15625,584800,5.1875,5.03125,3.395702838897705
18-12-1997,4.96875,5.09375,272400,5.09375,5.0,3.3746111392974854
19-12-1997,4.9375,5.03125,921600,5.03125,4.9375,3.3324291706085205
22-12-1997,4.9375,4.9375,924000,5.3125,5.0625,3.4167943000793457
23-12-1997,4.9375,5.1875,2331200,5.1875,5.0,3.3746111392974854
24-12-1997,4.9375,5.03125,50400,5.03125,4.9375,3.3324291706085205
26-12-1997,4.96875,5.0,1248400,5.0625,5.0625,3.4167943000793457
29-12-1997,5.0,5.0625,430800,5.28125,5.28125,3.564434289932251
30-12-1997,5.0625,5.0625,662800,5.34375,5.28125,3.564434289932251
31-12-1997,5.25,5.40625,911600,5.6875,5.59375,3.7753472328186035
02-01-1998,5.53125,5.53125,112400,5.78125,5.78125,3.9018962383270264
05-01-1998,5.625,6.03125,629600,6.09375,5.625,3.7964394092559814
06-01-1998,5.25,5.59375,915200,5.59375,5.421875,3.6593446731567383
07-01-1998,5.421875,5.421875,164800,5.75,5.5625,3.754255533218384
08-01-1998,5.5,5.5,236000,5.78125,5.75,3.8808023929595947
09-01-1998,5.5,5.65625,140400,5.75,5.5,3.7120745182037354
12-01-1998,5.34375,5.375,927200,5.53125,5.34375,3.606616497039795
13-01-1998,5.3125,5.5,100400,5.5,5.4375,3.669891595840454
14-01-1998,5.34375,5.4375,585600,5.5625,5.359375,3.6171600818634033
15-01-1998,5.34375,5.4375,417200,5.4375,5.375,3.62770938873291
16-01-1998,5.34375,5.4375,69200,5.59375,5.5625,3.754255533218384
20-01-1998,5.5,5.5,348800,5.78125,5.78125,3.9018962383270264
21-01-1998,5.71875,5.75,141600,5.78125,5.75,3.8808023929595947
22-01-1998,5.65625,5.71875,92400,5.75,5.65625,3.8175289630889893
23-01-1998,5.65625,5.65625,211200,5.875,5.8125,3.9229862689971924
26-01-1998,5.625,5.875,497200,5.875,5.71875,3.859712600708008
27-01-1998,5.625,5.75,96400,5.75,5.625,3.7964394092559814
28-01-1998,5.625,5.625,154800,5.6875,5.65625,3.8175289630889893
29-01-1998,5.65625,5.65625,108400,5.8125,5.71875,3.859712600708008
30-01-1998,5.65625,5.796875,130400,5.796875,5.71875,3.859712600708008
02-02-1998,5.78125,5.78125,580800,6.15625,6.0,4.049534797668457
03-02-1998,5.9375,5.9375,159200,6.125,6.0,4.049534797668457
04-02-1998,5.90625,6.0,557600,6.09375,5.90625,3.9862592220306396
05-02-1998,5.875,5.875,73200,5.96875,5.875,3.96516752243042
06-02-1998,5.875,5.96875,246800,6.09375,5.9375,4.007351875305176
09-02-1998,5.90625,5.90625,724800,6.1875,6.0625,4.091717720031738
10-02-1998,6.0625,6.0625,401600,6.3125,6.25,4.218266487121582
11-02-1998,5.53125,6.15625,2063200,6.25,5.75,3.8808023929595947
12-02-1998,5.75,5.8125,464400,5.90625,5.90625,3.9862592220306396
13-02-1998,5.8125,5.96875,163200,5.96875,5.9375,4.007351875305176
17-02-1998,5.875,6.03125,697200,6.03125,5.90625,3.9862592220306396
18-02-1998,5.90625,6.0,2071200,6.0,5.90625,3.9862592220306396
19-02-1998,5.84375,6.0,184800,6.0,5.84375,3.9440770149230957
20-02-1998,5.78125,5.84375,89200,5.90625,5.78125,3.9018962383270264
23-02-1998,5.71875,5.78125,621600,5.84375,5.71875,3.859712600708008
24-02-1998,5.5,5.71875,417600,5.828125,5.5,3.7120745182037354
25-02-1998,5.46875,5.5,201200,5.625,5.59375,3.7753472328186035
26-02-1998,5.46875,5.5625,149200,5.5625,5.46875,3.6909821033477783
27-02-1998,5.46875,5.53125,278000,5.6875,5.6875,3.8386216163635254
02-03-1998,5.40625,5.601562976837158,360400,5.6875,5.40625,3.648800849914551
03-03-1998,5.34375,5.5,414000,5.5,5.375,3.62770938873291
04-03-1998,5.375,5.5,489600,5.5,5.40625,3.648800849914551
05-03-1998,5.34375,5.34375,228000,5.4375,5.40625,3.648800849914551
06-03-1998,5.375,5.375,424400,5.5,5.4375,3.669891595840454
09-03-1998,5.375,5.5,106400,5.5,5.4375,3.669891595840454
10-03-1998,5.375,5.4375,232400,5.4375,5.375,3.637744426727295
11-03-1998,5.375,5.4375,1950800,5.5625,5.515625,3.732917070388794
12-03-1998,5.5,5.5,297200,5.625,5.53125,3.7434909343719482
13-03-1998,5.5,5.53125,247200,5.78125,5.6875,3.8492400646209717
16-03-1998,5.625,5.75,792400,5.96875,5.90625,3.997286319732666
17-03-1998,5.6875,5.8125,916400,5.84375,5.75,3.891537666320801
18-03-1998,5.6875,5.6875,1550000,5.78125,5.78125,3.9126899242401123
19-03-1998,5.75,5.8125,597200,5.921875,5.875,3.9761362075805664
20-03-1998,5.8125,5.8125,258000,5.90625,5.875,3.9761362075805664
23-03-1998,5.8125,5.8125,368000,5.90625,5.8125,3.933838129043579
24-03-1998,5.8125,5.84375,906800,6.03125,6.0,4.060737133026123
25-03-1998,5.875,6.0,408400,6.15625,5.875,3.9761362075805664
26-03-1998,5.875,6.0625,344800,6.0625,5.875,3.9761362075805664
27-03-1998,5.875,5.875,220800,6.0,5.953125,4.029012203216553
30-03-1998,5.96875,5.96875,136000,6.03125,6.0,4.060737133026123
31-03-1998,6.0,6.0,1022400,6.5625,6.5,4.399130821228027
01-04-1998,6.078125,6.15625,1616800,6.25,6.1875,4.187633037567139
02-04-1998,6.0625,6.15625,1160000,6.75,6.6875,4.526028156280518
03-04-1998,6.25,6.40625,1657600,6.484375,6.28125,4.251081466674805
06-04-1998,6.1875,6.25,317200,6.5,6.328125,4.282807350158691
07-04-1998,6.1875,6.28125,139600,6.28125,6.1875,4.187633037567139
08-04-1998,6.125,6.1875,496000,6.21875,6.125,4.145333766937256
09-04-1998,5.9375,6.125,221600,6.1875,6.0,4.060737133026123
13-04-1998,5.6875,6.0,314000,6.0,5.8125,3.933838129043579
14-04-1998,5.71875,5.84375,233600,5.90625,5.78125,3.9126899242401123
15-04-1998,5.59375,5.71875,2683200,5.75,5.75,3.891537666320801
16-04-1998,5.6875,5.6875,126400,5.9375,5.828125,3.9444141387939453
17-04-1998,5.75,5.84375,326400,5.9375,5.828125,3.9444141387939453
20-04-1998,5.6875,5.71875,279600,5.8125,5.8125,3.933838129043579
21-04-1998,5.71875,5.8125,226000,5.8125,5.75,3.891537666320801
22-04-1998,5.71875,5.8125,903600,5.84375,5.8125,3.933838129043579
23-04-1998,5.6875,5.84375,685200,5.84375,5.78125,3.9126899242401123
24-04-1998,5.71875,5.75,143200,5.78125,5.75,3.891537666320801
