Date,Low,Open,Volume,High,Close,Adjusted Close
05-01-2010,35.0,35.0,10000,35.0,35.0,35.0
06-01-2010,35.0,35.0,0,35.0,35.0,35.0
07-01-2010,35.0,35.25,9800,35.5,35.0,35.0
08-01-2010,33.5,34.54999923706055,32200,34.54999923706055,33.5,33.5
11-01-2010,33.5,33.5,3700,33.5,33.5,33.5
12-01-2010,33.5,33.5,5100,33.54999923706055,33.5,33.5
13-01-2010,32.5,33.0099983215332,226300,33.0099983215332,32.75,32.75
14-01-2010,32.75,32.75,150500,32.75,32.75,32.75
15-01-2010,32.25,32.5,45500,32.5,32.25,32.25
19-01-2010,31.75,32.25,19400,32.25,32.0,32.0
20-01-2010,31.5,31.5,600,31.75,31.75,31.75
21-01-2010,31.5,31.5,600,31.600000381469727,31.600000381469727,31.600000381469727
22-01-2010,31.5,31.5,200,31.5,31.5,31.5
25-01-2010,31.0,31.100000381469727,1300,31.25,31.25,31.25
26-01-2010,30.75,31.0,300,31.0,30.75,30.75
27-01-2010,30.549999237060547,30.549999237060547,77000,31.0,30.75,30.75
28-01-2010,30.75,31.0,10400,31.0,30.75,30.75
29-01-2010,30.5,30.850000381469727,30700,30.850000381469727,30.6299991607666,30.6299991607666
01-02-2010,30.25,30.25,3500,30.5,30.5,30.5
02-02-2010,30.5,30.5,600,30.5,30.5,30.5
03-02-2010,29.75,30.100000381469727,5200,30.100000381469727,29.75,29.75
04-02-2010,30.0,30.0,29400,30.25,30.25,30.25
05-02-2010,30.0,30.479999542236328,1800,30.5,30.5,30.5
08-02-2010,29.75,30.0,47400,30.0,29.850000381469727,29.850000381469727
09-02-2010,29.100000381469727,29.100000381469727,29700,29.799999237060547,29.799999237060547,29.799999237060547
10-02-2010,29.399999618530273,29.399999618530273,107600,29.850000381469727,29.75,29.75
11-02-2010,29.5,29.739999771118164,10000,29.739999771118164,29.739999771118164,29.739999771118164
12-02-2010,29.739999771118164,29.739999771118164,100,29.739999771118164,29.739999771118164,29.739999771118164
16-02-2010,29.739999771118164,29.739999771118164,0,29.739999771118164,29.739999771118164,29.739999771118164
17-02-2010,29.739999771118164,29.739999771118164,0,29.739999771118164,29.739999771118164,29.739999771118164
18-02-2010,29.100000381469727,29.100000381469727,1700,29.700000762939453,29.700000762939453,29.700000762939453
19-02-2010,29.700000762939453,29.700000762939453,0,29.700000762939453,29.700000762939453,29.700000762939453
22-02-2010,29.100000381469727,29.100000381469727,19700,29.719999313354492,29.700000762939453,29.700000762939453
23-02-2010,29.700000762939453,29.700000762939453,0,29.700000762939453,29.700000762939453,29.700000762939453
24-02-2010,29.700000762939453,29.700000762939453,0,29.700000762939453,29.700000762939453,29.700000762939453
25-02-2010,29.5,29.5,2800,29.700000762939453,29.5,29.5
26-02-2010,29.25,29.25,2700,29.75,29.75,29.75
01-03-2010,29.75,29.75,24800,30.100000381469727,30.100000381469727,30.100000381469727
02-03-2010,30.0,30.100000381469727,29100,30.399999618530273,30.399999618530273,30.399999618530273
03-03-2010,30.5,30.5,131800,30.75,30.75,30.75
04-03-2010,30.75,31.0,17000,31.5,31.020000457763672,31.020000457763672
05-03-2010,31.25,31.25,48900,31.75,31.75,31.75
08-03-2010,31.5,31.5,49100,31.75,31.75,31.75
09-03-2010,31.979999542236328,32.0,134900,32.75,32.75,32.75
10-03-2010,32.0,32.95000076293945,111000,33.0,33.0,33.0
11-03-2010,32.5,33.0,33100,33.0,32.5,32.5
12-03-2010,32.5,33.0,207600,33.0,32.5,32.5
15-03-2010,32.5,33.0,247100,33.5,33.0,33.0
16-03-2010,32.25,32.25,16500,33.0,32.75,32.75
17-03-2010,33.0,33.0,115000,34.0,34.0,34.0
18-03-2010,34.0,34.0,15400,34.75,34.75,34.75
19-03-2010,34.5,34.75,1300,34.75,34.75,34.75
22-03-2010,34.25,34.75,6000,34.75,34.43000030517578,34.43000030517578
23-03-2010,34.25,34.25,53700,35.25,35.0,35.0
24-03-2010,35.0,35.0,1400,35.0,35.0,35.0
25-03-2010,34.5,34.75,91000,35.0,34.5,34.5
26-03-2010,34.75,35.0,57800,35.0,34.75,34.75
29-03-2010,34.400001525878906,34.5,205600,35.0,34.5,34.5
30-03-2010,34.45000076293945,34.5,44000,34.52000045776367,34.45000076293945,34.45000076293945
31-03-2010,34.25,34.5,91700,34.5,34.5,34.5
01-04-2010,34.349998474121094,34.5,59600,35.0,35.0,35.0
05-04-2010,34.5,34.5,45500,35.0,35.0,35.0
06-04-2010,34.54999923706055,35.0,1300,35.0,34.54999923706055,34.54999923706055
07-04-2010,34.54999923706055,34.54999923706055,51800,35.0,34.54999923706055,34.54999923706055
08-04-2010,34.54999923706055,34.54999923706055,0,34.54999923706055,34.54999923706055,34.54999923706055
09-04-2010,34.54999923706055,34.54999923706055,50500,34.70000076293945,34.70000076293945,34.70000076293945
