Date,Low,Open,Volume,High,Close,Adjusted Close
04-10-1989,2.4375,2.46875,20636000,2.546875,2.5,1.9924113750457764
05-10-1989,2.5,2.515625,6453600,2.625,2.578125,2.054672956466675
06-10-1989,2.546875,2.59375,2755200,2.625,2.546875,2.0297701358795166
09-10-1989,2.5,2.546875,1084000,2.546875,2.546875,2.0297701358795166
10-10-1989,2.5,2.5625,1493600,2.5625,2.53125,2.0173163414001465
11-10-1989,2.46875,2.5,1260000,2.515625,2.515625,2.0048649311065674
12-10-1989,2.515625,2.515625,602400,2.546875,2.53125,2.0173163414001465
13-10-1989,2.46875,2.53125,3970400,2.53125,2.484375,1.9799590110778809
16-10-1989,2.375,2.375,3924800,2.46875,2.46875,1.9675073623657227
17-10-1989,2.4375,2.4375,1843200,2.5,2.5,1.9924113750457764
18-10-1989,2.484375,2.5,1128000,2.5625,2.546875,2.0297701358795166
19-10-1989,2.53125,2.53125,1040000,2.546875,2.546875,2.0297701358795166
20-10-1989,2.515625,2.53125,237600,2.53125,2.53125,2.0173163414001465
23-10-1989,2.546875,2.546875,87200,2.5625,2.546875,2.0297701358795166
24-10-1989,2.53125,2.546875,689600,2.5625,2.5625,2.042222023010254
25-10-1989,2.515625,2.546875,608000,2.578125,2.546875,2.0297701358795166
26-10-1989,2.546875,2.546875,228800,2.5625,2.546875,2.0297701358795166
27-10-1989,2.5,2.546875,456000,2.546875,2.515625,2.0048649311065674
30-10-1989,2.5,2.515625,250400,2.515625,2.5,1.9924113750457764
31-10-1989,2.5,2.5,424800,2.515625,2.5,1.9924113750457764
01-11-1989,2.515625,2.515625,715200,2.5625,2.5625,2.042222023010254
02-11-1989,2.59375,2.59375,130400,2.640625,2.640625,2.104485511779785
03-11-1989,2.625,2.625,1118400,2.75,2.734375,2.1791999340057373
06-11-1989,2.578125,2.71875,264800,2.71875,2.578125,2.054672956466675
07-11-1989,2.5,2.546875,727200,2.6875,2.6875,2.14184308052063
08-11-1989,2.671875,2.6875,236800,2.71875,2.71875,2.166748285293579
09-11-1989,2.6875,2.71875,60800,2.71875,2.6875,2.14184308052063
10-11-1989,2.546875,2.6875,210400,2.6875,2.5625,2.042222023010254
13-11-1989,2.515625,2.5625,92800,2.5625,2.546875,2.0297701358795166
14-11-1989,2.484375,2.578125,428000,2.578125,2.53125,2.0173163414001465
15-11-1989,2.53125,2.546875,176000,2.578125,2.5625,2.042222023010254
16-11-1989,2.546875,2.546875,301600,2.59375,2.59375,2.067126512527466
17-11-1989,2.59375,2.59375,249600,2.640625,2.640625,2.104485511779785
20-11-1989,2.609375,2.65625,43200,2.65625,2.609375,2.079580783843994
21-11-1989,2.59375,2.59375,108800,2.671875,2.671875,2.129389524459839
22-11-1989,2.6875,2.6875,255200,2.75,2.75,2.1916534900665283
24-11-1989,2.78125,2.78125,572000,2.953125,2.921875,2.328632354736328
27-11-1989,2.859375,2.90625,253600,2.9375,2.875,2.291273832321167
28-11-1989,2.828125,2.875,560000,2.875,2.828125,2.253915786743164
29-11-1989,2.78125,2.8125,60800,2.8125,2.796875,2.229011058807373
30-11-1989,2.8125,2.8125,712800,2.90625,2.890625,2.303725242614746
01-12-1989,2.890625,2.890625,356800,2.953125,2.90625,2.3161795139312744
04-12-1989,2.875,2.9375,172000,2.984375,2.984375,2.3784422874450684
05-12-1989,2.90625,2.953125,93600,2.984375,2.90625,2.3161795139312744
06-12-1989,2.90625,2.90625,668800,3.0,2.984375,2.3784422874450684
07-12-1989,2.921875,2.984375,215200,2.984375,2.953125,2.353536367416382
08-12-1989,2.921875,2.921875,122400,2.953125,2.953125,2.353536367416382
11-12-1989,2.9375,2.96875,306400,3.03125,3.0,2.3908936977386475
12-12-1989,2.984375,3.015625,1119200,3.03125,3.015625,2.403345823287964
13-12-1989,2.984375,3.0,400000,3.15625,3.15625,2.5154199600219727
14-12-1989,3.109375,3.125,391200,3.140625,3.125,2.4905154705047607
15-12-1989,3.09375,3.140625,155200,3.140625,3.109375,2.478062868118286
18-12-1989,3.03125,3.078125,224000,3.125,3.03125,2.415800094604492
19-12-1989,3.03125,3.03125,215200,3.0625,3.0625,2.4407052993774414
20-12-1989,3.046875,3.0625,166400,3.109375,3.078125,2.4531571865081787
21-12-1989,3.0625,3.109375,174400,3.125,3.109375,2.478062868118286
22-12-1989,3.109375,3.125,173600,3.125,3.125,2.4905154705047607
26-12-1989,3.078125,3.109375,97600,3.109375,3.078125,2.4531571865081787
27-12-1989,3.03125,3.0625,144000,3.0625,3.03125,2.415800094604492
28-12-1989,3.03125,3.046875,11200,3.046875,3.03125,2.415800094604492
29-12-1989,3.015625,3.03125,219200,3.15625,3.15625,2.5154199600219727
02-01-1990,3.03125,3.125,194400,3.125,3.046875,2.4282522201538086
03-01-1990,3.03125,3.0625,361600,3.0625,3.03125,2.415800094604492
04-01-1990,2.953125,3.03125,166400,3.0625,2.953125,2.353536367416382
05-01-1990,2.859375,2.9375,100800,2.9375,2.90625,2.3161795139312744
08-01-1990,2.84375,2.875,880800,2.890625,2.859375,2.278820753097534
09-01-1990,2.8125,2.828125,282400,2.84375,2.8125,2.241464614868164
10-01-1990,2.6875,2.765625,784000,2.765625,2.703125,2.159093141555786
11-01-1990,2.703125,2.71875,347200,2.765625,2.75,2.196535348892212
12-01-1990,2.6875,2.71875,159200,2.734375,2.71875,2.171574115753174
15-01-1990,2.71875,2.734375,25600,2.734375,2.71875,2.171574115753174
16-01-1990,2.625,2.6875,172800,2.703125,2.703125,2.159093141555786
17-01-1990,2.71875,2.71875,216000,2.8125,2.71875,2.171574115753174
18-01-1990,2.6875,2.6875,157600,2.71875,2.703125,2.159093141555786
19-01-1990,2.734375,2.734375,8800,2.75,2.75,2.196535348892212
22-01-1990,2.71875,2.734375,56800,2.75,2.734375,2.184053897857666
23-01-1990,2.734375,2.765625,101600,2.765625,2.75,2.196535348892212
24-01-1990,2.6875,2.734375,26400,2.734375,2.6875,2.146613121032715
25-01-1990,2.671875,2.6875,249600,2.71875,2.71875,2.171574115753174
26-01-1990,2.671875,2.703125,45600,2.71875,2.671875,2.13413143157959
29-01-1990,2.625,2.6875,444000,2.6875,2.640625,2.1091725826263428
30-01-1990,2.578125,2.625,548000,2.65625,2.65625,2.1216530799865723
31-01-1990,2.6875,2.6875,757600,2.859375,2.859375,2.2838964462280273
01-02-1990,2.84375,2.875,149600,2.875,2.859375,2.2838964462280273
02-02-1990,2.875,2.875,720000,2.90625,2.875,2.296377182006836
05-02-1990,2.875,2.90625,163200,2.90625,2.875,2.296377182006836
06-02-1990,2.84375,2.875,99200,2.90625,2.890625,2.30885648727417
07-02-1990,2.90625,2.90625,32800,2.9375,2.9375,2.3462986946105957
08-02-1990,2.96875,2.96875,346400,3.125,3.046875,2.4336607456207275
09-02-1990,2.96875,3.078125,179200,3.125,3.0,2.396219491958618
12-02-1990,2.90625,3.0,28000,3.0,2.90625,2.3213388919830322
13-02-1990,2.9375,2.9375,26400,2.953125,2.953125,2.358778715133667
14-02-1990,2.9375,2.953125,32800,2.96875,2.9375,2.3462986946105957
15-02-1990,2.953125,2.953125,152000,2.96875,2.953125,2.358778715133667
16-02-1990,2.96875,2.96875,32000,2.96875,2.96875,2.371258497238159
20-02-1990,2.953125,2.984375,23200,2.984375,2.953125,2.358778715133667
21-02-1990,2.90625,2.953125,553600,2.953125,2.90625,2.3213388919830322
22-02-1990,2.84375,2.90625,148000,2.90625,2.84375,2.2714157104492188
23-02-1990,2.6875,2.78125,575200,2.78125,2.71875,2.171574115753174
26-02-1990,2.734375,2.734375,477600,2.75,2.75,2.196535348892212
27-02-1990,2.765625,2.765625,357600,2.84375,2.84375,2.2714157104492188
28-02-1990,2.796875,2.8125,145600,2.828125,2.796875,2.2339749336242676
01-03-1990,2.75,2.796875,225600,2.796875,2.75,2.196535348892212
02-03-1990,2.6875,2.75,931200,2.78125,2.703125,2.159093141555786
05-03-1990,2.65625,2.671875,146400,2.703125,2.671875,2.13413143157959
06-03-1990,2.625,2.671875,258400,2.734375,2.734375,2.184053897857666
07-03-1990,2.703125,2.734375,174400,2.75,2.75,2.196535348892212
08-03-1990,2.734375,2.75,146400,2.796875,2.78125,2.2214956283569336
09-03-1990,2.734375,2.75,194400,2.78125,2.734375,2.184053897857666
12-03-1990,2.625,2.703125,1072800,2.71875,2.6875,2.146613121032715
13-03-1990,2.671875,2.671875,662400,2.6875,2.6875,2.146613121032715
14-03-1990,2.671875,2.671875,298400,2.765625,2.765625,2.2090139389038086
15-03-1990,2.71875,2.78125,192000,2.796875,2.71875,2.171574115753174
16-03-1990,2.734375,2.75,271200,2.78125,2.78125,2.2214956283569336
19-03-1990,2.75,2.75,476000,2.765625,2.765625,2.2090139389038086
20-03-1990,2.75,2.75,898400,2.90625,2.796875,2.2339749336242676
21-03-1990,2.796875,2.796875,102400,2.8125,2.796875,2.2339749336242676
22-03-1990,2.75,2.75,177600,2.765625,2.765625,2.2090139389038086
23-03-1990,2.796875,2.796875,320000,2.796875,2.796875,2.2339749336242676
26-03-1990,2.75,2.78125,37600,2.78125,2.75,2.196535348892212
27-03-1990,2.734375,2.734375,24000,2.75,2.75,2.196535348892212
28-03-1990,2.84375,2.84375,706400,2.9375,2.921875,2.3338186740875244
29-03-1990,2.890625,2.921875,361600,2.9375,2.90625,2.3213388919830322
30-03-1990,2.921875,2.921875,161600,2.921875,2.921875,2.3338186740875244
