Date,Low,Open,Volume,High,Close,Adjusted Close
11-08-2000,384.0,408.0,792528,448.0,420.0,342.1835632324219
14-08-2000,384.0,419.0,80228,420.0,384.0,312.8536682128906
15-08-2000,384.0,389.0,48422,396.0,388.0,316.1124572753906
16-08-2000,386.0,386.0,42166,418.0,396.0,322.6302795410156
17-08-2000,382.0,392.0,47247,400.0,384.0,312.8536682128906
18-08-2000,396.0,401.0,60400,460.0,458.0,373.1430969238281
21-08-2000,446.0,482.0,66547,520.0,486.0,395.955322265625
22-08-2000,432.0,492.0,33878,502.0,432.0,351.9603576660156
23-08-2000,408.0,434.0,17925,440.0,416.0,338.9246826171875
24-08-2000,386.0,414.0,18441,418.0,386.0,314.4830017089844
25-08-2000,388.0,402.0,20113,414.0,412.0,335.6658020019531
28-08-2000,400.0,429.0,19491,433.5,420.0,342.1835632324219
29-08-2000,404.0,430.0,22728,432.0,428.0,348.70147705078125
30-08-2000,424.0,427.0,19891,470.0,454.0,369.88421630859375
31-08-2000,476.0,482.0,87397,528.0,518.0,422.0264587402344
01-09-2000,480.0,516.0,27738,520.0,504.0,410.620361328125
05-09-2000,496.0,506.0,23025,520.0,498.0,405.7320556640625
06-09-2000,488.0,516.0,20559,520.0,496.0,404.1025695800781
07-09-2000,428.0,512.0,23959,512.0,460.0,374.77252197265625
08-09-2000,440.0,456.5,15956,464.0,448.0,364.9958801269531
11-09-2000,432.0,442.0,34547,448.0,444.0,361.73699951171875
12-09-2000,412.0,435.0,33853,442.0,416.0,338.9246826171875
13-09-2000,396.0,408.0,10363,420.0,400.0,325.8891906738281
14-09-2000,400.0,444.0,8109,444.0,406.0,330.7775573730469
15-09-2000,400.0,402.0,3600,416.0,402.0,327.5185852050781
18-09-2000,382.0,420.0,18659,424.0,386.0,314.4830017089844
19-09-2000,344.0,419.0,48038,420.0,360.0,293.3001708984375
20-09-2000,312.0,368.0,24103,370.0,332.0,270.4880065917969
21-09-2000,326.0,330.0,25247,344.0,340.0,277.0057373046875
22-09-2000,302.0,307.0,8456,346.0,338.0,275.3763122558594
25-09-2000,300.0,340.0,21066,346.0,302.0,246.04635620117188
26-09-2000,288.0,316.0,19634,318.0,296.0,241.15797424316406
27-09-2000,276.0,301.0,16756,302.0,299.0,243.60215759277344
28-09-2000,292.0,296.0,22041,344.0,320.0,260.71136474609375
29-09-2000,279.0,323.0,19125,324.0,284.0,231.38137817382812
02-10-2000,268.0,300.0,6888,301.0,272.0,221.60462951660156
03-10-2000,248.0,275.0,10128,284.0,254.0,206.93966674804688
