Date,Low,Open,Volume,High,Close,Adjusted Close
04-06-1999,5.0625,5.125,7386600,7.921875,7.4375,7.4375
07-06-1999,7.3125,7.90625,1234600,8.3125,7.75,7.75
08-06-1999,7.75,7.8125,1477200,10.1875,9.84375,9.84375
09-06-1999,9.3125,10.0,1332600,10.59375,9.6875,9.6875
10-06-1999,8.5,9.6875,545600,9.84375,8.59375,8.59375
11-06-1999,7.9375,8.625,446200,8.6875,8.0,8.0
14-06-1999,7.25,7.96875,503600,8.0,7.625,7.625
15-06-1999,7.4375,7.4375,384400,8.0625,7.75,7.75
16-06-1999,7.8125,7.875,135400,8.9375,8.34375,8.34375
17-06-1999,8.375,8.4375,814000,10.40625,10.03125,10.03125
18-06-1999,9.28125,10.25,428600,11.0625,9.3125,9.3125
21-06-1999,9.5,9.9375,410400,10.875,9.75,9.75
22-06-1999,9.625,10.25,207600,10.25,9.875,9.875
23-06-1999,9.125,9.75,337800,9.8125,9.3125,9.3125
24-06-1999,8.5625,9.21875,198200,9.3125,9.0,9.0
25-06-1999,8.84375,9.0,1423000,11.6875,11.3125,11.3125
28-06-1999,11.5,12.25,1403200,14.5,13.9375,13.9375
29-06-1999,12.875,14.03125,2018200,18.25,15.75,15.75
30-06-1999,16.0,16.96875,2313600,22.5625,20.5,20.5
01-07-1999,19.0,21.875,1578400,23.0,19.25,19.25
02-07-1999,17.0,18.9375,1060600,19.9375,18.5,18.5
06-07-1999,18.0625,18.375,736800,21.3125,20.78125,20.78125
07-07-1999,18.75,21.0,587400,21.5,19.75,19.75
08-07-1999,20.25,20.625,672000,22.0,21.96875,21.96875
09-07-1999,22.0,22.40625,1105600,25.9375,25.375,25.375
12-07-1999,26.5,27.5,1173600,28.25,27.46875,27.46875
13-07-1999,23.75,27.25,697800,27.3125,25.34375,25.34375
14-07-1999,26.1875,26.25,339200,27.625,26.71875,26.71875
15-07-1999,27.8125,28.5,2381000,37.0,35.625,35.625
16-07-1999,33.03125,35.59375,3667000,42.5,34.5625,34.5625
19-07-1999,32.75,36.0,1256000,36.375,34.5,34.5
20-07-1999,30.84375,33.625,900400,34.0,31.40625,31.40625
21-07-1999,27.75,32.8125,1656400,35.75,29.34375,29.34375
22-07-1999,28.0,31.0,918800,31.5625,30.40625,30.40625
23-07-1999,28.75,30.40625,419600,30.625,29.4375,29.4375
26-07-1999,25.125,29.03125,683200,29.21875,25.75,25.75
27-07-1999,25.625,26.875,477400,28.0,27.0,27.0
28-07-1999,26.5,26.59375,446000,29.125,28.8125,28.8125
29-07-1999,25.125,28.0,569800,28.0,25.375,25.375
30-07-1999,21.90625,26.75,698400,26.75,25.0,25.0
02-08-1999,21.5625,23.8125,296400,25.0,22.25,22.25
03-08-1999,19.5,19.5,1086600,21.5,20.5625,20.5625
04-08-1999,16.5,19.25,1538600,19.375,17.25,17.25
05-08-1999,13.875,16.0625,1604800,18.0625,17.3125,17.3125
06-08-1999,16.0,16.03125,1064600,18.75,16.0625,16.0625
09-08-1999,14.625,17.1875,371400,17.5,14.9375,14.9375
10-08-1999,14.875,14.875,943400,19.0,18.75,18.75
11-08-1999,17.0,19.9375,1462400,22.78125,21.4375,21.4375
12-08-1999,20.375,22.28125,1445400,24.5,22.75,22.75
