Date,Low,Open,Volume,High,Close,Adjusted Close
22-06-1993,1.40625,1.625,22363200,1.625,1.4375,1.2528120279312134
23-06-1993,1.4375,1.46875,3168800,1.5,1.46875,1.2800469398498535
24-06-1993,1.46875,1.46875,703200,1.5,1.46875,1.2800469398498535
25-06-1993,1.46875,1.46875,1654400,1.53125,1.5,1.3072824478149414
28-06-1993,1.5,1.5,1398400,1.53125,1.5,1.3072824478149414
29-06-1993,1.46875,1.53125,756800,1.53125,1.53125,1.334517240524292
30-06-1993,1.40625,1.46875,1027200,1.46875,1.40625,1.225577473640442
01-07-1993,1.40625,1.46875,627200,1.46875,1.46875,1.2800469398498535
02-07-1993,1.40625,1.46875,213600,1.46875,1.40625,1.225577473640442
06-07-1993,1.40625,1.40625,141600,1.46875,1.40625,1.225577473640442
07-07-1993,1.25,1.34375,1111200,1.375,1.328125,1.157489538192749
08-07-1993,1.28125,1.28125,648800,1.375,1.3125,1.1438720226287842
09-07-1993,1.28125,1.28125,255200,1.34375,1.34375,1.1711070537567139
12-07-1993,1.28125,1.28125,828000,1.34375,1.3125,1.1438720226287842
13-07-1993,1.28125,1.28125,182400,1.375,1.359375,1.1847245693206787
14-07-1993,1.34375,1.34375,583200,1.5,1.46875,1.2800469398498535
15-07-1993,1.4375,1.46875,230400,1.5,1.5,1.3072824478149414
16-07-1993,1.4375,1.5,128800,1.5,1.4375,1.2528120279312134
19-07-1993,1.4375,1.5,692000,1.5,1.46875,1.2800469398498535
20-07-1993,1.4375,1.4375,68800,1.5,1.46875,1.2800469398498535
21-07-1993,1.4375,1.4375,35200,1.5,1.4375,1.2528120279312134
22-07-1993,1.46875,1.46875,448800,1.5,1.46875,1.2800469398498535
23-07-1993,1.34375,1.46875,332800,1.5,1.390625,1.2119598388671875
26-07-1993,1.28125,1.34375,286400,1.34375,1.34375,1.1711070537567139
27-07-1993,1.28125,1.28125,411200,1.34375,1.28125,1.1166367530822754
28-07-1993,1.28125,1.3125,70400,1.34375,1.28125,1.1166367530822754
29-07-1993,1.28125,1.34375,144800,1.375,1.375,1.1983420848846436
30-07-1993,1.296875,1.3125,984800,1.375,1.34375,1.1711070537567139
02-08-1993,1.3125,1.3125,64000,1.34375,1.3125,1.1438720226287842
03-08-1993,1.3125,1.3125,64000,1.34375,1.3125,1.1438720226287842
04-08-1993,1.3125,1.34375,65600,1.34375,1.3125,1.1438720226287842
05-08-1993,1.3125,1.3125,39200,1.34375,1.3125,1.1438720226287842
06-08-1993,1.3125,1.3125,23200,1.34375,1.3125,1.1438720226287842
09-08-1993,1.3125,1.3125,51200,1.34375,1.3125,1.1438720226287842
10-08-1993,1.21875,1.28125,568800,1.3125,1.25,1.089401364326477
11-08-1993,1.0625,1.21875,1015200,1.21875,1.1875,1.0349317789077759
12-08-1993,1.125,1.1875,1605600,1.1875,1.140625,0.9940792322158813
13-08-1993,1.125,1.125,319200,1.1875,1.125,0.9804614782333374
16-08-1993,1.125,1.125,200000,1.25,1.1875,1.0349317789077759
17-08-1993,1.1875,1.1875,459200,1.25,1.1875,1.0349317789077759
18-08-1993,1.1875,1.1875,50400,1.25,1.21875,1.0621670484542847
19-08-1993,1.125,1.1875,548000,1.21875,1.203125,1.0485494136810303
20-08-1993,1.125,1.125,8000,1.21875,1.1875,1.0349317789077759
23-08-1993,1.171875,1.21875,49600,1.21875,1.171875,1.0213143825531006
24-08-1993,1.15625,1.15625,9600,1.21875,1.15625,1.0076968669891357
25-08-1993,1.15625,1.1875,48000,1.21875,1.15625,1.0076968669891357
26-08-1993,1.140625,1.15625,176800,1.21875,1.15625,1.0076968669891357
27-08-1993,1.15625,1.15625,64000,1.21875,1.15625,1.0076968669891357
30-08-1993,1.15625,1.21875,89600,1.21875,1.15625,1.0076968669891357
31-08-1993,1.15625,1.15625,23200,1.21875,1.21875,1.0621670484542847
01-09-1993,1.140625,1.140625,138400,1.1875,1.15625,1.0076968669891357
02-09-1993,1.15625,1.21875,479200,1.21875,1.1875,1.0349317789077759
03-09-1993,1.15625,1.1875,395200,1.21875,1.21875,1.0621670484542847
07-09-1993,1.125,1.21875,280800,1.21875,1.1875,1.0349317789077759
08-09-1993,1.0625,1.125,715200,1.1875,1.0625,0.925991415977478
09-09-1993,1.0625,1.125,97600,1.15625,1.15625,1.0076968669891357
10-09-1993,1.09375,1.15625,194400,1.15625,1.15625,1.0076968669891357
13-09-1993,1.09375,1.125,52000,1.15625,1.15625,1.0076968669891357
14-09-1993,1.09375,1.15625,582400,1.21875,1.21875,1.0621670484542847
15-09-1993,1.1875,1.1875,358400,1.34375,1.34375,1.1711070537567139
16-09-1993,1.25,1.28125,76000,1.34375,1.3125,1.1438720226287842
17-09-1993,1.25,1.25,145600,1.34375,1.25,1.089401364326477
20-09-1993,1.25,1.25,38400,1.25,1.25,1.089401364326477
21-09-1993,1.125,1.25,268000,1.25,1.140625,0.9940792322158813
22-09-1993,1.15625,1.15625,80000,1.21875,1.1875,1.0349317789077759
23-09-1993,1.1875,1.21875,360800,1.25,1.1875,1.0349317789077759
24-09-1993,1.1875,1.234375,92000,1.25,1.25,1.089401364326477
27-09-1993,1.21875,1.25,378400,1.34375,1.34375,1.1711070537567139
28-09-1993,1.28125,1.296875,1453600,1.40625,1.375,1.1983420848846436
29-09-1993,1.375,1.40625,96000,1.46875,1.4375,1.2528120279312134
30-09-1993,1.46875,1.46875,468000,1.53125,1.5,1.3072824478149414
01-10-1993,1.46875,1.53125,623200,1.53125,1.46875,1.2800469398498535
04-10-1993,1.46875,1.53125,53600,1.53125,1.46875,1.2800469398498535
05-10-1993,1.46875,1.46875,534400,1.53125,1.46875,1.2800469398498535
06-10-1993,1.46875,1.46875,162400,1.53125,1.46875,1.2800469398498535
07-10-1993,1.375,1.46875,436000,1.484375,1.4375,1.2528120279312134
08-10-1993,1.34375,1.4375,52000,1.4375,1.40625,1.225577473640442
11-10-1993,1.34375,1.375,106400,1.40625,1.34375,1.1711070537567139
12-10-1993,1.34375,1.40625,139200,1.40625,1.375,1.1983420848846436
13-10-1993,1.34375,1.40625,40800,1.40625,1.34375,1.1711070537567139
14-10-1993,1.34375,1.40625,179200,1.40625,1.34375,1.1711070537567139
15-10-1993,1.34375,1.4375,25600,1.4375,1.34375,1.1711070537567139
18-10-1993,1.34375,1.4375,120000,1.4375,1.4375,1.2528120279312134
19-10-1993,1.375,1.4375,305600,1.46875,1.375,1.1983420848846436
20-10-1993,1.40625,1.46875,825600,1.640625,1.625,1.4162224531173706
21-10-1993,1.46875,1.65625,1156000,1.671875,1.5625,1.3617522716522217
22-10-1993,1.53125,1.5625,234400,1.625,1.59375,1.3889877796173096
25-10-1993,1.53125,1.53125,237600,1.59375,1.546875,1.348134994506836
26-10-1993,1.4375,1.53125,505600,1.546875,1.5,1.3072824478149414
27-10-1993,1.375,1.5,288800,1.5,1.390625,1.2119598388671875
28-10-1993,1.375,1.4375,564800,1.4375,1.40625,1.225577473640442
29-10-1993,1.3125,1.46875,344800,1.46875,1.375,1.1983420848846436
01-11-1993,1.3125,1.375,216000,1.40625,1.40625,1.225577473640442
02-11-1993,1.3125,1.40625,727200,1.40625,1.375,1.1983420848846436
03-11-1993,1.34375,1.40625,169600,1.40625,1.40625,1.225577473640442
04-11-1993,1.3125,1.40625,283200,1.40625,1.3125,1.1438720226287842
05-11-1993,1.28125,1.34375,76000,1.375,1.3125,1.1438720226287842
08-11-1993,1.25,1.25,32000,1.28125,1.28125,1.1166367530822754
09-11-1993,1.25,1.25,32000,1.34375,1.34375,1.1711070537567139
10-11-1993,1.25,1.34375,302400,1.40625,1.40625,1.225577473640442
11-11-1993,1.34375,1.34375,84000,1.4375,1.4375,1.2528120279312134
12-11-1993,1.34375,1.4375,41600,1.4375,1.375,1.1983420848846436
15-11-1993,1.34375,1.34375,23200,1.40625,1.40625,1.225577473640442
16-11-1993,1.34375,1.4375,93600,1.4375,1.34375,1.1711070537567139
17-11-1993,1.34375,1.34375,12000,1.4375,1.4375,1.2528120279312134
18-11-1993,1.34375,1.4375,7200,1.4375,1.34375,1.1711070537567139
19-11-1993,1.34375,1.34375,25600,1.4375,1.34375,1.1711070537567139
22-11-1993,1.34375,1.34375,12000,1.34375,1.34375,1.1711070537567139
23-11-1993,1.34375,1.390625,389600,1.4375,1.4375,1.2528120279312134
24-11-1993,1.34375,1.375,31200,1.375,1.375,1.1983420848846436
26-11-1993,1.375,1.375,3200,1.4375,1.4375,1.2528120279312134
29-11-1993,1.34375,1.4375,4800,1.4375,1.4375,1.2528120279312134
30-11-1993,1.34375,1.4375,4800,1.4375,1.34375,1.1711070537567139
01-12-1993,1.34375,1.34375,42400,1.390625,1.375,1.1983420848846436
02-12-1993,1.34375,1.34375,258400,1.40625,1.375,1.1983420848846436
03-12-1993,1.34375,1.40625,431200,1.4375,1.40625,1.225577473640442
06-12-1993,1.3125,1.4375,443200,1.4375,1.3125,1.1438720226287842
07-12-1993,1.25,1.375,152000,1.375,1.25,1.089401364326477
08-12-1993,1.25,1.25,30400,1.34375,1.34375,1.1711070537567139
09-12-1993,1.203125,1.28125,386400,1.34375,1.28125,1.1166367530822754
10-12-1993,1.21875,1.25,89600,1.28125,1.21875,1.0621670484542847
13-12-1993,1.21875,1.21875,4000,1.28125,1.28125,1.1166367530822754
14-12-1993,1.21875,1.25,424000,1.28125,1.25,1.089401364326477
15-12-1993,1.21875,1.21875,419200,1.25,1.25,1.089401364326477
16-12-1993,1.21875,1.25,83200,1.28125,1.21875,1.0621670484542847
17-12-1993,1.21875,1.25,267200,1.28125,1.25,1.089401364326477
20-12-1993,1.15625,1.25,900000,1.25,1.21875,1.0621670484542847
21-12-1993,1.15625,1.15625,115200,1.25,1.203125,1.0485494136810303
22-12-1993,1.15625,1.25,425600,1.25,1.171875,1.0213143825531006
23-12-1993,1.15625,1.21875,84000,1.21875,1.21875,1.0621670484542847
27-12-1993,1.1875,1.1875,53600,1.21875,1.203125,1.0485494136810303
28-12-1993,1.1875,1.21875,119200,1.21875,1.21875,1.0621670484542847
29-12-1993,1.1875,1.1875,1266400,1.234375,1.21875,1.0621670484542847
30-12-1993,1.1875,1.21875,432800,1.234375,1.1875,1.0349317789077759
31-12-1993,1.1875,1.1875,1416000,1.25,1.21875,1.0621670484542847
03-01-1994,1.1875,1.21875,138400,1.28125,1.25,1.089401364326477
04-01-1994,1.1875,1.1875,737600,1.25,1.25,1.089401364326477
05-01-1994,1.203125,1.25,579200,1.25,1.25,1.089401364326477
06-01-1994,1.1875,1.1875,79200,1.25,1.25,1.089401364326477
07-01-1994,1.21875,1.25,406400,1.28125,1.28125,1.1166367530822754
10-01-1994,1.25,1.28125,214400,1.28125,1.25,1.089401364326477
11-01-1994,1.28125,1.3125,1140000,1.46875,1.4375,1.2528120279312134
12-01-1994,1.40625,1.46875,240800,1.5,1.5,1.3072824478149414
13-01-1994,1.40625,1.5,768000,1.5,1.40625,1.225577473640442
14-01-1994,1.4375,1.5,483200,1.59375,1.53125,1.334517240524292
17-01-1994,1.53125,1.59375,153600,1.59375,1.5625,1.3617522716522217
18-01-1994,1.53125,1.59375,301600,1.625,1.5625,1.3617522716522217
19-01-1994,1.5,1.59375,110400,1.59375,1.59375,1.3889877796173096
20-01-1994,1.5,1.59375,49600,1.59375,1.5,1.3072824478149414
21-01-1994,1.46875,1.5,322400,1.59375,1.46875,1.2800469398498535
24-01-1994,1.4375,1.5,289600,1.53125,1.53125,1.334517240524292
25-01-1994,1.4375,1.53125,1208800,1.53125,1.4375,1.2528120279312134
26-01-1994,1.4375,1.5,58400,1.5,1.5,1.3072824478149414
27-01-1994,1.46875,1.5,50400,1.53125,1.53125,1.334517240524292
28-01-1994,1.4375,1.53125,196800,1.53125,1.53125,1.334517240524292
31-01-1994,1.4375,1.4375,35200,1.53125,1.53125,1.334517240524292
01-02-1994,1.4375,1.53125,52000,1.53125,1.4375,1.2528120279312134
02-02-1994,1.4375,1.4375,47200,1.53125,1.5,1.3072824478149414
03-02-1994,1.4375,1.46875,92800,1.53125,1.5,1.3072824478149414
04-02-1994,1.375,1.5,289600,1.5,1.4375,1.2528120279312134
07-02-1994,1.34375,1.4375,225600,1.4375,1.4375,1.2528120279312134
08-02-1994,1.34375,1.375,181600,1.40625,1.34375,1.1711070537567139
09-02-1994,1.34375,1.34375,168800,1.40625,1.40625,1.225577473640442
10-02-1994,1.375,1.4375,484000,1.5,1.46875,1.2800469398498535
11-02-1994,1.453125,1.5,717600,1.5,1.453125,1.2664295434951782
14-02-1994,1.40625,1.40625,152000,1.5,1.46875,1.2800469398498535
15-02-1994,1.40625,1.5,60800,1.5,1.453125,1.2664295434951782
16-02-1994,1.4375,1.453125,560000,1.5,1.4375,1.2528120279312134
17-02-1994,1.4375,1.5,361600,1.5,1.5,1.3072824478149414
18-02-1994,1.4375,1.5,177600,1.5,1.484375,1.293664574623108
22-02-1994,1.4375,1.5,144000,1.5,1.5,1.3072824478149414
23-02-1994,1.4375,1.4375,440800,1.5,1.4375,1.2528120279312134
24-02-1994,1.4375,1.5,36000,1.5,1.484375,1.293664574623108
25-02-1994,1.4375,1.484375,108000,1.5,1.453125,1.2664295434951782
28-02-1994,1.4375,1.5,618400,1.53125,1.515625,1.3208997249603271
01-03-1994,1.46875,1.53125,36000,1.53125,1.53125,1.334517240524292
02-03-1994,1.46875,1.53125,647200,1.625,1.59375,1.3889877796173096
03-03-1994,1.5625,1.625,2040800,1.75,1.703125,1.4843099117279053
04-03-1994,1.65625,1.71875,900800,1.78125,1.75,1.5251625776290894
07-03-1994,1.71875,1.78125,718400,1.78125,1.75,1.5251625776290894
08-03-1994,1.6875,1.78125,315200,1.78125,1.78125,1.5523980855941772
09-03-1994,1.71875,1.78125,154400,1.8125,1.78125,1.5523980855941772
10-03-1994,1.71875,1.8125,64800,1.8125,1.8125,1.5796328783035278
11-03-1994,1.71875,1.796875,29600,1.8125,1.8125,1.5796328783035278
14-03-1994,1.71875,1.71875,138400,1.8125,1.75,1.5251625776290894
15-03-1994,1.75,1.8125,95200,1.8125,1.78125,1.5523980855941772
16-03-1994,1.75,1.78125,772000,1.90625,1.90625,1.661337971687317
17-03-1994,1.84375,1.90625,312000,1.90625,1.90625,1.661337971687317
18-03-1994,1.84375,1.84375,432800,1.9375,1.90625,1.661337971687317
21-03-1994,1.78125,1.9375,291200,1.9375,1.78125,1.5523980855941772
22-03-1994,1.78125,1.84375,460800,1.84375,1.828125,1.5932505130767822
23-03-1994,1.8125,1.84375,73600,1.875,1.875,1.6341029405593872
24-03-1994,1.78125,1.859375,436800,1.875,1.875,1.6341029405593872
25-03-1994,1.78125,1.875,249600,1.9375,1.84375,1.6068676710128784
28-03-1994,1.71875,1.84375,244000,1.9375,1.75,1.5251625776290894
29-03-1994,1.75,1.75,1088000,1.8125,1.8125,1.5796328783035278
30-03-1994,1.625,1.71875,345600,1.734375,1.625,1.4162224531173706
31-03-1994,1.625,1.6875,88000,1.71875,1.71875,1.4979277849197388
04-04-1994,1.625,1.71875,129600,1.71875,1.71875,1.4979277849197388
05-04-1994,1.625,1.71875,204800,1.75,1.75,1.5251625776290894
06-04-1994,1.6875,1.6875,37600,1.78125,1.78125,1.5523980855941772
07-04-1994,1.75,1.8125,40800,1.8125,1.75,1.5251625776290894
08-04-1994,1.6875,1.8125,66400,1.8125,1.78125,1.5523980855941772
11-04-1994,1.6875,1.6875,52800,1.78125,1.78125,1.5523980855941772
12-04-1994,1.6875,1.78125,172000,1.78125,1.78125,1.5523980855941772
13-04-1994,1.625,1.6875,332800,1.78125,1.65625,1.4434568881988525
14-04-1994,1.59375,1.71875,103200,1.71875,1.609375,1.4026050567626953
15-04-1994,1.59375,1.6875,56000,1.6875,1.6875,1.4706929922103882
18-04-1994,1.59375,1.6875,128000,1.6875,1.6640629768371582,1.4502665996551514
19-04-1994,1.65625,1.71875,137600,1.78125,1.65625,1.4434568881988525
20-04-1994,1.65625,1.75,37600,1.75,1.65625,1.4434568881988525
21-04-1994,1.6875,1.75,160000,1.78125,1.78125,1.5523980855941772
22-04-1994,1.71875,1.78125,196000,1.78125,1.765625,1.5387800931930542
25-04-1994,1.71875,1.78125,169600,1.78125,1.71875,1.4979277849197388
26-04-1994,1.6875,1.75,224800,1.78125,1.71875,1.4979277849197388
28-04-1994,1.6875,1.78125,1191200,1.875,1.78125,1.5523980855941772
29-04-1994,1.8125,1.875,548000,1.875,1.828125,1.5932505130767822
02-05-1994,1.78125,1.78125,50400,1.875,1.8125,1.5796328783035278
03-05-1994,1.78125,1.78125,26400,1.875,1.796875,1.5660151243209839
04-05-1994,1.78125,1.78125,466400,1.875,1.875,1.6341029405593872
05-05-1994,1.78125,1.78125,183200,1.875,1.84375,1.6068676710128784
06-05-1994,1.78125,1.78125,57600,1.875,1.8125,1.5796328783035278
09-05-1994,1.78125,1.78125,62400,1.875,1.84375,1.6068676710128784
10-05-1994,1.78125,1.78125,12800,1.875,1.875,1.6341029405593872
11-05-1994,1.78125,1.875,943200,1.875,1.78125,1.5523980855941772
12-05-1994,1.78125,1.875,31200,1.875,1.8125,1.5796328783035278
13-05-1994,1.78125,1.78125,42400,1.78125,1.78125,1.5523980855941772
16-05-1994,1.75,1.78125,37600,1.84375,1.84375,1.6068676710128784
17-05-1994,1.65625,1.75,367200,1.78125,1.75,1.5251625776290894
18-05-1994,1.65625,1.75,13600,1.75,1.71875,1.4979277849197388
