Date,Low,Open,Volume,High,Close,Adjusted Close
21-02-1973,4.546875,4.546875,20000,4.546875,4.546875,2.5017971992492676
22-02-1973,4.578125,4.578125,6400,4.578125,4.578125,2.5189926624298096
23-02-1973,4.734375,4.734375,43200,4.734375,4.734375,2.6049654483795166
26-02-1973,4.734375,4.734375,4800,4.734375,4.734375,2.6049654483795166
27-02-1973,4.671875,4.671875,1600,4.671875,4.671875,2.5705761909484863
28-02-1973,4.625,4.625,65600,4.625,4.625,2.5447840690612793
01-03-1973,4.640625,4.640625,3200,4.640625,4.640625,2.5533814430236816
02-03-1973,4.625,4.625,1600,4.625,4.625,2.5447840690612793
05-03-1973,4.59375,4.59375,14400,4.59375,4.59375,2.5275893211364746
06-03-1973,4.609375,4.609375,108000,4.609375,4.609375,2.536186933517456
07-03-1973,4.5,4.5,36000,4.5,4.5,2.476006031036377
08-03-1973,4.5,4.5,8000,4.5,4.5,2.476006031036377
09-03-1973,4.375,4.375,16800,4.375,4.375,2.407228469848633
12-03-1973,4.25,4.25,17600,4.25,4.25,2.338451385498047
13-03-1973,4.3125,4.3125,14400,4.3125,4.3125,2.37283992767334
14-03-1973,4.265625,4.265625,13600,4.265625,4.265625,2.3470470905303955
15-03-1973,4.25,4.25,28000,4.25,4.25,2.338451385498047
16-03-1973,4.25,4.25,121600,4.25,4.25,2.338451385498047
19-03-1973,4.265625,4.265625,16800,4.265625,4.265625,2.3470470905303955
20-03-1973,4.21875,4.21875,20000,4.21875,4.21875,2.3212549686431885
21-03-1973,4.15625,4.15625,16800,4.15625,4.15625,2.2868669033050537
22-03-1973,3.890625,3.890625,16000,3.890625,3.890625,2.1407134532928467
23-03-1973,3.8125,3.8125,44000,3.8125,3.8125,2.0977272987365723
26-03-1973,3.78125,3.78125,25600,3.78125,3.78125,2.080533266067505
27-03-1973,4.0,4.0,25600,4.0,4.0,2.2008941173553467
28-03-1973,4.234375,4.234375,12800,4.234375,4.234375,2.3298535346984863
29-03-1973,4.375,4.375,25600,4.375,4.375,2.407228469848633
30-03-1973,4.375,4.375,35200,4.375,4.375,2.407228469848633
02-04-1973,4.34375,4.34375,16000,4.34375,4.34375,2.39003324508667
03-04-1973,4.203125,4.203125,127200,4.203125,4.203125,2.31265926361084
04-04-1973,4.09375,4.09375,32800,4.09375,4.09375,2.2524778842926025
05-04-1973,4.0,4.0,29600,4.0,4.0,2.2008941173553467
06-04-1973,3.90625,3.90625,55200,3.90625,3.90625,2.14931058883667
09-04-1973,4.03125,4.03125,36000,4.03125,4.03125,2.218087911605835
10-04-1973,4.125,4.125,12000,4.125,4.125,2.26967191696167
11-04-1973,4.125,4.125,53600,4.125,4.125,2.26967191696167
12-04-1973,4.125,4.125,16000,4.125,4.125,2.26967191696167
13-04-1973,4.09375,4.09375,12000,4.09375,4.09375,2.2524778842926025
16-04-1973,3.96875,3.96875,24000,3.96875,3.96875,2.1836986541748047
17-04-1973,4.03125,4.03125,12800,4.03125,4.03125,2.218087911605835
18-04-1973,4.03125,4.03125,2400,4.03125,4.03125,2.218087911605835
19-04-1973,4.0625,4.0625,25600,4.0625,4.0625,2.235283136367798
23-04-1973,4.125,4.125,10400,4.125,4.125,2.26967191696167
24-04-1973,4.0625,4.0625,3200,4.0625,4.0625,2.235283136367798
25-04-1973,4.0625,4.0625,12800,4.0625,4.0625,2.235283136367798
26-04-1973,4.09375,4.09375,25600,4.09375,4.09375,2.2524778842926025
27-04-1973,4.078125,4.078125,4000,4.078125,4.078125,2.2438807487487793
30-04-1973,4.015625,4.015625,20000,4.015625,4.015625,2.2094919681549072
01-05-1973,3.8125,3.8125,41600,3.8125,3.8125,2.0977272987365723
02-05-1973,3.875,3.875,38400,3.875,3.875,2.1321165561676025
03-05-1973,3.90625,0.0,13600,4.0,4.0,2.2008941173553467
04-05-1973,4.03125,0.0,13600,4.171875,4.125,2.26967191696167
07-05-1973,4.0625,0.0,4800,4.09375,4.0625,2.235283136367798
08-05-1973,3.96875,0.0,7200,4.09375,4.0,2.2008941173553467
09-05-1973,3.875,0.0,283200,3.96875,3.921875,2.1579084396362305
10-05-1973,3.921875,0.0,4000,3.984375,3.984375,2.1922965049743652
11-05-1973,3.953125,0.0,24800,3.984375,3.953125,2.175102949142456
14-05-1973,3.875,0.0,10400,3.921875,3.875,2.1321165561676025
15-05-1973,3.84375,0.0,57600,3.875,3.84375,2.1149215698242188
16-05-1973,3.796875,0.0,121600,3.8125,3.796875,2.089129686355591
17-05-1973,3.734375,0.0,23200,3.8125,3.734375,2.0547420978546143
18-05-1973,3.46875,0.0,49600,3.734375,3.46875,1.9085875749588013
21-05-1973,3.375,0.0,60000,3.46875,3.40625,1.8741990327835083
22-05-1973,3.40625,0.0,39200,3.5,3.484375,1.917185664176941
23-05-1973,3.5,0.0,9600,3.625,3.625,1.9945604801177979
24-05-1973,3.625,0.0,9600,3.703125,3.703125,2.0375466346740723
25-05-1973,3.8125,0.0,50400,3.921875,3.828125,2.1063241958618164
29-05-1973,3.8125,0.0,35200,3.890625,3.8125,2.0977272987365723
30-05-1973,3.65625,0.0,18400,3.78125,3.65625,2.0117554664611816
31-05-1973,3.546875,0.0,10400,3.625,3.546875,1.9515748023986816
01-06-1973,3.5,0.0,38400,3.53125,3.53125,1.942976713180542
04-06-1973,3.46875,0.0,30400,3.53125,3.5,1.9257820844650269
05-06-1973,3.5,0.0,22400,3.6875,3.625,1.9945604801177979
06-06-1973,3.5,0.0,16800,3.59375,3.515625,1.9343798160552979
07-06-1973,3.5,0.0,11200,3.5625,3.5625,1.9601713418960571
08-06-1973,3.578125,0.0,11200,3.609375,3.578125,1.9687693119049072
11-06-1973,3.609375,0.0,4800,3.640625,3.625,1.9945604801177979
12-06-1973,3.671875,0.0,4000,3.734375,3.734375,2.0547420978546143
13-06-1973,3.75,0.0,15200,3.78125,3.75,2.063337564468384
14-06-1973,3.703125,0.0,19200,3.890625,3.875,2.1321165561676025
15-06-1973,3.75,0.0,70400,3.84375,3.75,2.063337564468384
18-06-1973,3.6875,0.0,27200,3.71875,3.6875,2.028949737548828
19-06-1973,3.71875,0.0,1600,3.75,3.75,2.063337564468384
20-06-1973,3.6875,0.0,47200,3.71875,3.6875,2.028949737548828
21-06-1973,3.5,0.0,392000,3.671875,3.5,1.9257820844650269
22-06-1973,3.5,0.0,14400,3.5,3.5,1.9257820844650269
25-06-1973,3.453125,0.0,6400,3.46875,3.453125,1.899990200996399
26-06-1973,3.4375,0.0,11200,3.53125,3.5,1.9257820844650269
27-06-1973,3.53125,0.0,800,3.53125,3.53125,1.942976713180542
28-06-1973,3.515625,0.0,8000,3.625,3.625,1.9945604801177979
29-06-1973,3.5625,0.0,3200,3.59375,3.5625,1.9601713418960571
02-07-1973,3.5,0.0,40800,3.53125,3.5,1.9257820844650269
03-07-1973,3.515625,0.0,9600,3.546875,3.546875,1.9515748023986816
05-07-1973,3.515625,0.0,3200,3.53125,3.53125,1.942976713180542
06-07-1973,3.484375,0.0,176800,3.53125,3.484375,1.917185664176941
09-07-1973,3.5,0.0,16000,3.546875,3.546875,1.9515748023986816
10-07-1973,3.5625,0.0,10400,3.625,3.625,1.9945604801177979
11-07-1973,3.640625,0.0,13600,3.671875,3.640625,2.0031583309173584
12-07-1973,3.6875,0.0,10400,3.75,3.75,2.063337564468384
13-07-1973,3.71875,0.0,11200,3.75,3.71875,2.046144723892212
16-07-1973,3.71875,0.0,7200,3.71875,3.71875,2.046144723892212
17-07-1973,3.75,0.0,9600,3.875,3.875,2.1321165561676025
18-07-1973,3.875,3.875,0,3.875,3.875,2.1321165561676025
19-07-1973,3.90625,0.0,8000,4.03125,4.03125,2.218087911605835
20-07-1973,4.0625,0.0,4000,4.09375,4.09375,2.2524778842926025
23-07-1973,4.28125,0.0,36800,4.484375,4.484375,2.467409133911133
24-07-1973,4.484375,0.0,20800,4.515625,4.484375,2.467409133911133
25-07-1973,4.5,0.0,9600,4.5625,4.5625,2.51039457321167
26-07-1973,4.5625,0.0,28000,4.6875,4.6875,2.579174280166626
27-07-1973,4.71875,0.0,47200,4.75,4.75,2.6135623455047607
30-07-1973,4.671875,0.0,17600,4.75,4.75,2.6135623455047607
31-07-1973,4.71875,0.0,800,4.71875,4.71875,2.596367597579956
01-08-1973,4.5,0.0,24000,4.6875,4.5,2.476006031036377
02-08-1973,4.40625,0.0,16800,4.46875,4.40625,2.4244227409362793
03-08-1973,4.40625,4.40625,0,4.40625,4.40625,2.4244227409362793
06-08-1973,4.40625,0.0,16000,4.484375,4.484375,2.467409133911133
07-08-1973,4.5,0.0,10400,4.5625,4.5625,2.51039457321167
08-08-1973,4.546875,0.0,15200,4.5625,4.546875,2.5017971992492676
09-08-1973,4.5,0.0,212800,4.546875,4.546875,2.5017971992492676
10-08-1973,4.5,0.0,24000,4.546875,4.5,2.476006031036377
13-08-1973,4.46875,0.0,12800,4.484375,4.46875,2.458812713623047
14-08-1973,4.453125,0.0,13600,4.5,4.453125,2.4502146244049072
15-08-1973,4.40625,0.0,20000,4.484375,4.40625,2.4244227409362793
16-08-1973,4.4375,0.0,8800,4.46875,4.46875,2.458812713623047
17-08-1973,4.46875,4.46875,0,4.46875,4.46875,2.458812713623047
20-08-1973,4.46875,0.0,10400,4.5,4.46875,2.458812713623047
21-08-1973,4.328125,0.0,28000,4.46875,4.328125,2.3814358711242676
22-08-1973,4.3125,0.0,27200,4.375,4.3125,2.37283992767334
23-08-1973,4.359375,0.0,70400,4.375,4.375,2.407228469848633
24-08-1973,4.375,0.0,164000,4.375,4.375,2.407228469848633
27-08-1973,4.375,0.0,7200,4.40625,4.40625,2.4244227409362793
28-08-1973,4.375,0.0,16800,4.40625,4.375,2.407228469848633
29-08-1973,4.375,0.0,35200,4.421875,4.421875,2.4330201148986816
30-08-1973,4.375,0.0,26400,4.4375,4.421875,2.4330201148986816
31-08-1973,4.421875,0.0,800,4.421875,4.421875,2.4330201148986816
04-09-1973,4.4375,0.0,10400,4.46875,4.46875,2.458812713623047
05-09-1973,4.484375,0.0,15200,4.5,4.5,2.476006031036377
06-09-1973,4.484375,0.0,40000,4.546875,4.546875,2.5017971992492676
07-09-1973,4.546875,0.0,6400,4.625,4.625,2.5447840690612793
10-09-1973,4.65625,0.0,3200,4.6875,4.6875,2.579174280166626
11-09-1973,4.625,0.0,41600,4.65625,4.625,2.5447840690612793
12-09-1973,4.53125,0.0,15200,4.625,4.53125,2.4932010173797607
13-09-1973,4.5,0.0,8000,4.5,4.5,2.476006031036377
14-09-1973,4.5,0.0,9600,4.53125,4.5,2.476006031036377
17-09-1973,4.46875,0.0,10400,4.5,4.484375,2.467409133911133
18-09-1973,4.515625,0.0,8800,4.53125,4.53125,2.4932010173797607
19-09-1973,4.5,0.0,8800,4.5625,4.53125,2.4932010173797607
20-09-1973,4.625,0.0,20000,4.71875,4.71875,2.596367597579956
21-09-1973,4.75,0.0,68800,4.8125,4.796875,2.6393539905548096
24-09-1973,4.796875,0.0,88800,4.9375,4.9375,2.7167298793792725
25-09-1973,4.8125,0.0,78400,4.90625,4.8125,2.6479501724243164
26-09-1973,4.71875,0.0,16800,4.78125,4.75,2.6135623455047607
27-09-1973,4.71875,0.0,10400,4.75,4.75,2.6135623455047607
28-09-1973,4.703125,0.0,7200,4.734375,4.703125,2.587770700454712
01-10-1973,4.6875,0.0,56800,4.78125,4.78125,2.630755662918091
02-10-1973,4.765625,0.0,8000,4.796875,4.765625,2.622159004211426
03-10-1973,4.75,0.0,48800,4.8125,4.8125,2.6479501724243164
04-10-1973,4.84375,0.0,8800,4.859375,4.859375,2.6737430095672607
05-10-1973,4.859375,0.0,78400,5.0,5.0,2.7511184215545654
08-10-1973,4.921875,0.0,7200,4.984375,4.921875,2.708132028579712
09-10-1973,4.890625,0.0,20800,5.0,4.96875,2.7339236736297607
10-10-1973,4.875,0.0,11200,4.96875,4.96875,2.7339236736297607
11-10-1973,5.0,0.0,32800,5.0625,5.0625,2.7855072021484375
12-10-1973,5.0,0.0,13600,5.109375,5.0,2.7511184215545654
15-10-1973,4.96875,0.0,20800,5.0,4.96875,2.7339236736297607
16-10-1973,4.875,0.0,13600,4.9375,4.875,2.682340621948242
17-10-1973,4.875,0.0,1600,4.90625,4.875,2.682340621948242
18-10-1973,4.90625,0.0,10400,5.0,5.0,2.7511184215545654
19-10-1973,4.96875,0.0,23200,5.125,5.125,2.819896936416626
22-10-1973,5.03125,0.0,9600,5.03125,5.03125,2.7683122158050537
23-10-1973,4.96875,0.0,50400,5.0625,5.0,2.7511184215545654
24-10-1973,4.96875,0.0,24000,5.0,4.96875,2.7339236736297607
25-10-1973,4.9375,0.0,13600,5.0625,5.0625,2.7855072021484375
26-10-1973,5.03125,0.0,8800,5.15625,5.15625,2.8370919227600098
29-10-1973,5.15625,0.0,36800,5.265625,5.21875,2.8714780807495117
30-10-1973,5.1875,0.0,10400,5.21875,5.1875,2.8542842864990234
31-10-1973,5.3125,0.0,23200,5.421875,5.421875,2.983243465423584
01-11-1973,5.46875,0.0,28000,5.59375,5.59375,3.077815294265747
02-11-1973,5.5625,0.0,47200,5.625,5.59375,3.077815294265747
05-11-1973,5.40625,0.0,136800,5.609375,5.40625,2.974647045135498
06-11-1973,5.21875,0.0,27200,5.34375,5.21875,2.8714780807495117
07-11-1973,5.21875,0.0,4800,5.28125,5.28125,2.9058680534362793
08-11-1973,5.3125,0.0,16000,5.375,5.375,2.9574527740478516
09-11-1973,5.40625,0.0,10400,5.4375,5.40625,2.974647045135498
12-11-1973,5.25,0.0,24800,5.40625,5.25,2.888673782348633
13-11-1973,5.21875,0.0,24000,5.25,5.21875,2.8714780807495117
14-11-1973,5.21875,0.0,88800,5.25,5.21875,2.8714780807495117
15-11-1973,5.15625,0.0,26400,5.21875,5.15625,2.8370919227600098
16-11-1973,4.96875,0.0,21600,5.125,5.03125,2.7683122158050537
19-11-1973,4.90625,0.0,45600,5.0625,4.90625,2.6995344161987305
20-11-1973,4.5625,0.0,66400,4.875,4.5625,2.51039457321167
21-11-1973,4.59375,0.0,37600,4.65625,4.609375,2.536186933517456
23-11-1973,4.578125,0.0,800,4.578125,4.578125,2.5189926624298096
26-11-1973,4.421875,0.0,31200,4.546875,4.421875,2.4330201148986816
27-11-1973,4.328125,0.0,19200,4.390625,4.34375,2.39003324508667
28-11-1973,4.34375,0.0,34400,4.40625,4.40625,2.4244227409362793
29-11-1973,4.375,0.0,4800,4.4375,4.4375,2.441617965698242
30-11-1973,4.40625,0.0,89600,4.5,4.46875,2.458812713623047
03-12-1973,3.953125,0.0,144000,4.4375,3.953125,2.175102949142456
04-12-1973,3.9375,0.0,8800,4.0,4.0,2.2008941173553467
05-12-1973,3.90625,0.0,34400,3.96875,3.9375,2.1665046215057373
06-12-1973,3.921875,0.0,52000,4.125,4.125,2.26967191696167
07-12-1973,4.1875,0.0,24000,4.609375,4.46875,2.458812713623047
10-12-1973,4.28125,0.0,84800,4.4375,4.3125,2.37283992767334
11-12-1973,4.28125,0.0,129600,4.4375,4.3125,2.37283992767334
12-12-1973,4.1875,0.0,66400,4.3125,4.1875,2.304060935974121
13-12-1973,4.0625,0.0,32000,4.1875,4.0625,2.235283136367798
14-12-1973,4.09375,0.0,32800,4.203125,4.15625,2.2868669033050537
17-12-1973,4.125,0.0,24800,4.25,4.140625,2.2782695293426514
