Date,Low,Open,Volume,High,Close,Adjusted Close
01-03-1990,1.96875,0.0,17829600,2.4375,2.390625,2.390625
02-03-1990,2.25,0.0,2263200,2.4375,2.25,2.25
05-03-1990,2.21875,0.0,741600,2.3125,2.28125,2.28125
06-03-1990,2.1875,0.0,779200,2.34375,2.234375,2.234375
07-03-1990,2.15625,0.0,293600,2.25,2.15625,2.15625
08-03-1990,2.15625,0.0,839200,2.25,2.21875,2.21875
09-03-1990,2.15625,0.0,360800,2.28125,2.21875,2.21875
12-03-1990,2.1875,0.0,151200,2.21875,2.1875,2.1875
13-03-1990,2.15625,0.0,204000,2.21875,2.1875,2.1875
14-03-1990,2.15625,0.0,215200,2.1875,2.171875,2.171875
15-03-1990,2.15625,0.0,880800,2.34375,2.3125,2.3125
16-03-1990,2.34375,0.0,255200,2.40625,2.34375,2.34375
19-03-1990,2.34375,0.0,146400,2.40625,2.40625,2.40625
20-03-1990,2.375,0.0,69600,2.40625,2.40625,2.40625
21-03-1990,2.3125,0.0,63200,2.40625,2.34375,2.34375
22-03-1990,2.25,0.0,182400,2.40625,2.25,2.25
23-03-1990,2.25,0.0,12000,2.3125,2.3125,2.3125
26-03-1990,2.28125,2.34375,18400,2.34375,2.28125,2.28125
27-03-1990,2.21875,2.296875,141600,2.296875,2.28125,2.28125
28-03-1990,2.1875,2.1875,136800,2.25,2.21875,2.21875
29-03-1990,2.21875,2.25,164000,2.28125,2.21875,2.21875
30-03-1990,2.21875,2.21875,453600,2.34375,2.34375,2.34375
02-04-1990,2.25,2.28125,113600,2.3125,2.3125,2.3125
03-04-1990,2.28125,2.3125,48800,2.3125,2.28125,2.28125
04-04-1990,2.1875,2.3125,333600,2.3125,2.1875,2.1875
05-04-1990,2.21875,2.25,15200,2.25,2.25,2.25
06-04-1990,2.15625,2.1875,111200,2.25,2.1875,2.1875
09-04-1990,2.125,2.15625,88800,2.1875,2.125,2.125
10-04-1990,2.0625,2.1875,356800,2.1875,2.125,2.125
11-04-1990,2.125,2.15625,240000,2.1875,2.171875,2.171875
12-04-1990,2.125,2.1875,120800,2.21875,2.15625,2.15625
16-04-1990,2.125,2.21875,84800,2.21875,2.125,2.125
17-04-1990,2.09375,2.125,103200,2.15625,2.09375,2.09375
18-04-1990,2.09375,2.09375,7200,2.125,2.125,2.125
19-04-1990,2.125,2.125,16000,2.140625,2.140625,2.140625
20-04-1990,2.125,2.1875,30400,2.1875,2.125,2.125
23-04-1990,2.1875,2.1875,268000,2.25,2.1875,2.1875
24-04-1990,2.21875,2.28125,125600,2.28125,2.25,2.25
25-04-1990,2.25,2.25,93600,2.34375,2.3125,2.3125
26-04-1990,2.375,2.4375,371200,2.53125,2.53125,2.53125
27-04-1990,2.5,2.5625,232000,2.65625,2.578125,2.578125
30-04-1990,2.53125,2.53125,42400,2.65625,2.65625,2.65625
01-05-1990,2.59375,2.65625,23200,2.65625,2.65625,2.65625
02-05-1990,2.5,2.625,230400,2.625,2.53125,2.53125
03-05-1990,2.53125,2.59375,596000,2.71875,2.6875,2.6875
04-05-1990,2.6875,2.71875,252800,2.84375,2.8125,2.8125
07-05-1990,2.84375,2.90625,31200,2.90625,2.84375,2.84375
08-05-1990,2.71875,2.8125,635200,2.890625,2.828125,2.828125
09-05-1990,2.8125,2.90625,113600,2.9375,2.84375,2.84375
10-05-1990,2.78125,2.875,80800,2.875,2.84375,2.84375
11-05-1990,2.84375,2.84375,187200,2.90625,2.90625,2.90625
14-05-1990,2.90625,2.96875,85600,3.03125,2.96875,2.96875
15-05-1990,2.9375,3.0,54400,3.03125,2.9375,2.9375
16-05-1990,2.9375,3.03125,123200,3.03125,3.03125,3.03125
17-05-1990,3.0,3.03125,192000,3.125,3.09375,3.09375
18-05-1990,2.90625,3.125,234400,3.125,2.96875,2.96875
21-05-1990,3.0,3.0,103200,3.09375,3.09375,3.09375
22-05-1990,3.03125,3.03125,250400,3.125,3.09375,3.09375
23-05-1990,3.125,3.125,215200,3.25,3.125,3.125
24-05-1990,3.0625,3.09375,144800,3.15625,3.125,3.125
25-05-1990,3.03125,3.0625,67200,3.125,3.09375,3.09375
29-05-1990,3.0625,3.0625,16800,3.0625,3.0625,3.0625
30-05-1990,3.0625,3.125,59200,3.125,3.0625,3.0625
31-05-1990,2.96875,3.03125,125600,3.03125,2.96875,2.96875
01-06-1990,2.78125,2.96875,776000,3.0,2.875,2.875
04-06-1990,2.71875,2.84375,717600,2.84375,2.8125,2.8125
05-06-1990,2.515625,2.71875,804000,2.8125,2.65625,2.65625
06-06-1990,2.59375,2.625,922400,2.9375,2.9375,2.9375
07-06-1990,2.8125,2.9375,101600,2.9375,2.875,2.875
08-06-1990,2.75,2.8125,41600,2.8125,2.765625,2.765625
11-06-1990,2.71875,2.78125,120800,2.8125,2.8125,2.8125
12-06-1990,2.65625,2.8125,1218400,2.828125,2.734375,2.734375
13-06-1990,2.671875,2.71875,1096800,2.75,2.71875,2.71875
