Date,Low,Open,Volume,High,Close,Adjusted Close
28-07-2000,14.75,14.9375,18615200,21.125,19.5859375,19.5859375
31-07-2000,15.75,19.125,2481800,19.34375,17.5,17.5
01-08-2000,16.5,17.40625,1216200,20.0625,17.75,17.75
02-08-2000,16.78125,16.8125,856400,19.5,19.0625,19.0625
03-08-2000,18.5,19.0625,1368000,23.875,22.125,22.125
04-08-2000,19.875,22.7421875,1284200,22.75,20.46875,20.46875
07-08-2000,19.5,21.46875,565600,24.125,21.125,21.125
08-08-2000,20.28125,21.09375,329600,22.25,20.4921875,20.4921875
09-08-2000,20.0,20.84375,326800,21.40625,21.40625,21.40625
10-08-2000,20.75,21.3125,657800,23.625,22.5,22.5
11-08-2000,20.9375,22.46875,394800,22.5,20.9375,20.9375
14-08-2000,19.8125,21.3125,473400,21.375,20.0,20.0
15-08-2000,19.5,20.21875,307000,20.5,20.0,20.0
16-08-2000,20.875,21.03125,554200,21.875,21.3125,21.3125
17-08-2000,20.9375,21.1875,487200,21.9375,20.9375,20.9375
18-08-2000,20.9375,20.9375,164800,23.5,22.0,22.0
21-08-2000,22.0,22.0,314400,23.875,22.59375,22.59375
22-08-2000,21.0625,22.625,362600,22.625,21.0625,21.0625
23-08-2000,20.375,21.25,332400,22.0,20.5625,20.5625
24-08-2000,19.9375,20.625,214000,20.9375,20.0078125,20.0078125
25-08-2000,20.03125,20.03125,558400,21.1875,20.875,20.875
28-08-2000,20.375,21.8125,319200,21.875,20.8125,20.8125
29-08-2000,20.6875,20.8125,172400,21.25,21.25,21.25
30-08-2000,19.71875,20.875,842800,21.0,20.0,20.0
31-08-2000,19.9375,19.9375,890600,23.625,22.375,22.375
01-09-2000,21.75,23.0,376200,23.5,23.3125,23.3125
05-09-2000,21.5,23.5625,192000,23.71875,22.875,22.875
06-09-2000,20.875,23.40625,443000,23.40625,21.0,21.0
07-09-2000,20.5625,21.875,324800,22.5,22.5,22.5
08-09-2000,21.1875,22.5,353000,22.5,21.46875,21.46875
11-09-2000,20.1875,21.5,601600,22.0,20.5625,20.5625
12-09-2000,19.5,20.625,247800,20.8125,20.375,20.375
13-09-2000,17.5625,19.953125,617400,20.5,18.25,18.25
14-09-2000,17.9375,18.453125,275800,18.8125,18.5,18.5
15-09-2000,18.25,18.5,232200,19.0,18.875,18.875
18-09-2000,16.09375,17.75,342000,18.5,17.0,17.0
19-09-2000,16.5,17.0,567200,17.59375,16.65625,16.65625
20-09-2000,16.3125,16.9375,483200,17.59375,17.0,17.0
21-09-2000,17.4375,17.71875,72400,17.8125,17.6875,17.6875
22-09-2000,17.03125,17.03125,174400,19.9375,19.625,19.625
25-09-2000,19.75,20.265625,534800,20.4375,19.9375,19.9375
26-09-2000,19.5,20.0,599200,20.0,19.90625,19.90625
27-09-2000,19.6875,19.6875,148200,21.375,20.8125,20.8125
28-09-2000,20.375,20.375,109800,21.9375,21.875,21.875
29-09-2000,21.5,21.875,470000,25.8125,22.6875,22.6875
02-10-2000,22.0,23.625,91600,24.375,22.875,22.875
03-10-2000,18.6875,22.78125,161800,23.15625,20.0,20.0
04-10-2000,17.625,19.8125,388000,19.8125,18.0625,18.0625
05-10-2000,17.75,18.25,286200,18.6875,17.8125,17.8125
06-10-2000,15.0,18.0,543200,18.0,15.03125,15.03125
09-10-2000,14.625,16.0,1147400,16.46875,15.375,15.375
10-10-2000,15.125,15.4453125,689000,16.375,16.25,16.25
11-10-2000,15.75,16.0390625,149000,16.75,16.0,16.0
12-10-2000,15.5,16.25,310600,16.375,16.125,16.125
13-10-2000,15.875,16.0,56600,17.5625,17.5625,17.5625
16-10-2000,17.65625,18.0,255600,20.0,17.75,17.75
17-10-2000,17.5625,17.625,228400,18.5625,18.09375,18.09375
18-10-2000,16.5,17.25,92200,17.75,17.375,17.375
19-10-2000,16.25,17.84375,64400,18.4375,17.3125,17.3125
20-10-2000,16.5,16.75,108000,17.25,16.5,16.5
23-10-2000,16.0625,17.125,132200,17.1875,17.0,17.0
24-10-2000,16.625,17.25,415200,17.3125,17.0625,17.0625
25-10-2000,16.40625,17.0625,124200,19.0,18.0,18.0
26-10-2000,17.5625,17.5625,502400,19.4375,19.375,19.375
27-10-2000,18.25,20.0,463600,20.1171875,18.25,18.25
30-10-2000,15.5,18.25,160200,18.25,16.25,16.25
31-10-2000,15.9375,16.25,117000,16.5,16.25,16.25
01-11-2000,16.0,16.375,512400,16.9375,16.78125,16.78125
02-11-2000,16.6875,17.0,337000,18.1875,17.8125,17.8125
03-11-2000,17.125,17.125,119600,18.625,18.25,18.25
06-11-2000,18.9375,19.0625,512200,21.0,20.3125,20.3125
07-11-2000,20.0,20.3671875,181200,20.5,20.5,20.5
08-11-2000,20.25,20.5625,46000,20.5625,20.3125,20.3125
09-11-2000,19.21875,20.3125,347000,20.5,19.4375,19.4375
10-11-2000,19.0,19.125,159200,19.59375,19.0,19.0
13-11-2000,16.125,19.0078125,170800,19.0078125,18.5,18.5
14-11-2000,16.375,18.6328125,81800,18.9375,16.96875,16.96875
15-11-2000,15.75,16.75,226800,17.0,15.875,15.875
16-11-2000,12.6875,16.25,524200,16.25,12.6875,12.6875
17-11-2000,10.8125,12.7578125,397400,13.4375,11.4375,11.4375
20-11-2000,10.6875,11.5,415400,11.8125,10.6875,10.6875
21-11-2000,10.65625,10.6875,2234000,11.0625,10.65625,10.65625
22-11-2000,7.1875,10.390625,474600,10.8125,8.0,8.0
24-11-2000,8.0,8.0,561400,10.3125,9.75,9.75
27-11-2000,8.75,10.1875,646200,10.1875,9.59375,9.59375
28-11-2000,8.15625,9.5,408400,9.6875,8.875,8.875
29-11-2000,8.8125,8.875,384000,9.3125,9.03125,9.03125
30-11-2000,7.53125,8.375,208800,9.15625,9.15625,9.15625
01-12-2000,9.3125,9.5,883000,10.0,9.625,9.625
04-12-2000,9.625,9.96875,146200,10.09375,9.8125,9.8125
05-12-2000,10.1875,10.5,412800,12.5,12.0625,12.0625
06-12-2000,11.4375,12.0625,199600,12.1875,11.6875,11.6875
07-12-2000,11.125,11.375,463000,12.125,11.625,11.625
08-12-2000,10.34375,11.75,153400,11.875,11.375,11.375
11-12-2000,10.5,11.0,120200,11.1875,10.5,10.5
12-12-2000,10.25,10.28125,793800,11.4375,10.9375,10.9375
13-12-2000,11.125,11.1875,736800,12.0,11.28125,11.28125
14-12-2000,10.5,11.28125,110800,11.28125,10.8125,10.8125
15-12-2000,10.3125,11.6796875,96800,11.6875,11.5,11.5
18-12-2000,11.375,11.390625,407800,12.0625,11.8125,11.8125
19-12-2000,10.8125,11.75,459200,12.25,10.875,10.875
20-12-2000,8.5,10.25,157400,10.25,8.9375,8.9375
21-12-2000,8.9375,9.5,539400,10.125,9.0,9.0
22-12-2000,9.1875,9.6484375,122400,10.875,9.5,9.5
26-12-2000,8.875,9.3203125,46400,9.34375,8.9375,8.9375
27-12-2000,8.375,9.1875,154600,9.3125,8.75,8.75
28-12-2000,8.25,8.9375,183200,9.0,8.5,8.5
29-12-2000,7.6875,8.5,470000,8.5,8.03125,8.03125
02-01-2001,7.5,8.0,145200,8.25,7.625,7.625
03-01-2001,5.875,7.6171875,177800,7.625,6.90625,6.90625
04-01-2001,6.875,7.625,632800,8.0,7.0625,7.0625
05-01-2001,5.75,7.0625,699000,7.0625,5.96875,5.96875
08-01-2001,4.0625,6.5,507600,7.125,4.4375,4.4375
09-01-2001,4.3125,4.8125,397200,5.03125,4.3125,4.3125
10-01-2001,4.3125,4.5625,181600,5.25,5.25,5.25
11-01-2001,5.25,5.25,293600,7.0625,6.6875,6.6875
12-01-2001,6.1875,6.6171875,21400,6.65625,6.5,6.5
16-01-2001,6.0,6.4296875,191800,6.75,6.75,6.75
17-01-2001,6.625,6.625,171200,8.0,7.53125,7.53125
18-01-2001,7.1875,7.375,286200,7.75,7.3125,7.3125
19-01-2001,6.90625,7.625,245400,7.625,7.5,7.5
22-01-2001,7.1875,7.5,173200,7.5,7.21875,7.21875
23-01-2001,7.2421875,7.2421875,303400,9.375,8.625,8.625
24-01-2001,8.625,8.8984375,1334800,9.375,9.34375,9.34375
25-01-2001,9.0,9.15625,959200,9.46875,9.375,9.375
26-01-2001,8.9375,9.34375,483200,10.09375,10.03125,10.03125
29-01-2001,9.78125,10.1875,555800,11.25,10.875,10.875
30-01-2001,10.4375,10.6796875,623800,11.0625,10.65625,10.65625
31-01-2001,10.0,10.65625,415600,10.6875,10.5,10.5
01-02-2001,10.0,10.4375,65600,10.5625,10.21875,10.21875
02-02-2001,8.53125,10.2109375,145000,10.2109375,9.125,9.125
05-02-2001,8.125,8.9140625,70200,8.9375,8.125,8.125
06-02-2001,7.5,8.5625,90200,8.6875,8.0,8.0
07-02-2001,7.6875,8.0,351800,8.5,8.15625,8.15625
08-02-2001,7.875,8.1484375,57600,8.15625,8.15625,8.15625
09-02-2001,7.5625,7.9296875,68400,8.15625,8.15625,8.15625
12-02-2001,8.0234375,8.0234375,98400,8.25,8.1875,8.1875
13-02-2001,8.125,8.25,82800,8.25,8.125,8.125
14-02-2001,8.0703125,8.125,40600,8.25,8.1875,8.1875
15-02-2001,7.34375,8.25,494400,8.25,8.0,8.0
16-02-2001,7.90625,7.9140625,82400,8.90625,8.40625,8.40625
20-02-2001,7.5625,8.0,360600,8.0,8.0,8.0
