Date,Low,Open,Volume,High,Close,Adjusted Close
02-05-1988,2.75,0.0,800,3.0,2.75,2.541578769683838
03-05-1988,2.75,0.0,400,3.125,2.75,2.541578769683838
04-05-1988,2.75,0.0,2800,3.125,2.75,2.541578769683838
05-05-1988,2.75,2.75,0,2.75,2.75,2.541578769683838
06-05-1988,2.75,0.0,800,3.125,2.75,2.541578769683838
09-05-1988,2.75,0.0,400,3.125,2.75,2.541578769683838
10-05-1988,2.75,0.0,0,3.125,2.75,2.541578769683838
11-05-1988,2.75,0.0,2000,3.125,2.75,2.541578769683838
12-05-1988,2.75,0.0,0,3.0,2.75,2.541578769683838
13-05-1988,2.75,2.75,0,2.75,2.75,2.541578769683838
16-05-1988,2.75,0.0,0,3.0,2.75,2.541578769683838
17-05-1988,2.75,2.75,0,2.75,2.75,2.541578769683838
18-05-1988,2.75,0.0,7200,3.0,2.75,2.541578769683838
19-05-1988,2.625,0.0,2400,2.875,2.625,2.4260520935058594
20-05-1988,2.625,0.0,1600,2.875,2.625,2.4260520935058594
23-05-1988,2.625,2.625,0,2.625,2.625,2.4260520935058594
24-05-1988,2.625,2.625,0,2.625,2.625,2.4260520935058594
25-05-1988,2.6875,0.0,800,2.875,2.6875,2.483815908432007
26-05-1988,2.6875,2.6875,0,2.6875,2.6875,2.483815908432007
27-05-1988,2.75,0.0,8000,2.9375,2.75,2.541578769683838
31-05-1988,2.75,2.75,0,2.75,2.75,2.541578769683838
01-06-1988,2.75,0.0,400,2.9375,2.75,2.541578769683838
02-06-1988,2.75,0.0,400,2.9375,2.75,2.541578769683838
03-06-1988,2.875,0.0,1600,3.25,2.875,2.657104730606079
06-06-1988,2.875,0.0,4400,3.25,2.875,2.657104730606079
07-06-1988,2.875,2.875,0,2.875,2.875,2.657104730606079
08-06-1988,2.9375,0.0,2800,3.25,2.9375,2.71486759185791
09-06-1988,2.9375,0.0,0,3.25,2.9375,2.71486759185791
10-06-1988,2.9375,0.0,2000,3.25,2.9375,2.71486759185791
13-06-1988,2.9375,2.9375,0,2.9375,2.9375,2.71486759185791
14-06-1988,2.9375,0.0,400,3.25,2.9375,2.71486759185791
15-06-1988,2.9375,2.9375,0,2.9375,2.9375,2.71486759185791
16-06-1988,2.9375,2.9375,0,2.9375,2.9375,2.71486759185791
17-06-1988,2.9375,0.0,400,3.25,2.9375,2.71486759185791
20-06-1988,2.9375,2.9375,0,2.9375,2.9375,2.71486759185791
