Date,Low,Open,Volume,High,Close,Adjusted Close
16-08-2000,0.140625,0.140625,0,0.140625,0.140625,0.140625
17-08-2000,0.140625,0.140625,0,0.140625,0.140625,0.140625
18-08-2000,0.140625,0.140625,0,0.140625,0.140625,0.140625
21-08-2000,0.140625,0.140625,0,0.140625,0.140625,0.140625
22-08-2000,0.9375,0.9375,2500,0.9375,0.9375,0.9375
23-08-2000,1.9375,1.9375,200,1.9375,1.9375,1.9375
24-08-2000,1.9375,1.9375,0,1.9375,1.9375,1.9375
25-08-2000,1.5,1.875,1300,1.875,1.875,1.875
28-08-2000,1.5,1.5,300,1.5,1.5,1.5
29-08-2000,1.5,1.5,0,1.5,1.5,1.5
30-08-2000,1.5,1.5,0,1.5,1.5,1.5
31-08-2000,1.5,1.5,0,1.5,1.5,1.5
01-09-2000,1.5,1.5,0,1.5,1.5,1.5
05-09-2000,1.5,1.5,0,1.5,1.5,1.5
06-09-2000,2.375,3.0,1300,3.0,2.375,2.375
07-09-2000,2.375,2.375,0,2.375,2.375,2.375
08-09-2000,2.375,2.375,0,2.375,2.375,2.375
11-09-2000,2.375,2.375,0,2.375,2.375,2.375
12-09-2000,2.375,2.375,0,2.375,2.375,2.375
13-09-2000,2.375,2.375,0,2.375,2.375,2.375
14-09-2000,2.375,2.375,0,2.375,2.375,2.375
15-09-2000,2.375,2.375,0,2.375,2.375,2.375
18-09-2000,2.375,2.375,0,2.375,2.375,2.375
19-09-2000,2.375,2.375,0,2.375,2.375,2.375
20-09-2000,2.375,2.375,0,2.375,2.375,2.375
21-09-2000,2.375,2.375,0,2.375,2.375,2.375
22-09-2000,2.375,2.375,0,2.375,2.375,2.375
25-09-2000,1.0625,1.0625,1600,1.0625,1.0625,1.0625
26-09-2000,1.0625,1.0625,1000,1.25,1.25,1.25
27-09-2000,1.25,1.25,0,1.25,1.25,1.25
28-09-2000,1.25,1.25,0,1.25,1.25,1.25
29-09-2000,1.25,1.25,0,1.25,1.25,1.25
02-10-2000,1.25,1.25,0,1.25,1.25,1.25
03-10-2000,1.25,1.25,0,1.25,1.25,1.25
04-10-2000,1.25,1.25,0,1.25,1.25,1.25
05-10-2000,1.25,1.25,0,1.25,1.25,1.25
06-10-2000,1.25,1.25,0,1.25,1.25,1.25
09-10-2000,1.25,1.25,0,1.25,1.25,1.25
10-10-2000,0.625,0.625,1100,0.625,0.625,0.625
11-10-2000,0.625,0.625,0,0.625,0.625,0.625
12-10-2000,0.625,0.625,0,0.625,0.625,0.625
13-10-2000,0.625,0.625,0,0.625,0.625,0.625
16-10-2000,0.53125,0.53125,200,0.53125,0.53125,0.53125
17-10-2000,0.53125,0.53125,0,0.53125,0.53125,0.53125
18-10-2000,0.53125,0.53125,0,0.53125,0.53125,0.53125
19-10-2000,0.53125,0.53125,0,0.53125,0.53125,0.53125
20-10-2000,0.53125,0.53125,200,0.53125,0.53125,0.53125
23-10-2000,0.53125,0.53125,2400,2.0,2.0,2.0
24-10-2000,0.5625,0.5625,3900,0.5625,0.5625,0.5625
