Date,Low,Open,Volume,High,Close,Adjusted Close
21-11-1995,1.078125,1.078125,51412800,1.328125,1.28125,1.0571225881576538
22-11-1995,1.265625,1.28125,11921600,1.609375,1.5625,1.2891740798950195
24-11-1995,1.5625,1.5625,2419200,1.703125,1.6875,1.392308235168457
27-11-1995,1.53125,1.78125,6720000,1.8125,1.578125,1.3020659685134888
28-11-1995,1.5625,1.578125,3451200,1.609375,1.59375,1.3149572610855103
29-11-1995,1.5625,1.5625,3628800,1.8125,1.796875,1.4825501441955566
30-11-1995,1.765625,1.796875,8254400,1.984375,1.890625,1.5599009990692139
01-12-1995,1.859375,1.921875,2616000,1.96875,1.875,1.5470091104507446
04-12-1995,1.875,1.875,5961600,2.40625,2.34375,1.9337612390518188
05-12-1995,2.203125,2.34375,2907200,2.375,2.2109375,1.8241817951202393
06-12-1995,2.078125,2.234375,3456000,2.265625,2.09375,1.7274935245513916
07-12-1995,1.984375,2.09375,2665600,2.09375,1.984375,1.6372510194778442
08-12-1995,1.984375,1.984375,3099200,2.265625,2.203125,1.8177353143692017
11-12-1995,2.171875,2.21875,564800,2.234375,2.234375,1.8435184955596924
12-12-1995,2.171875,2.25,2086400,2.359375,2.296875,1.895085334777832
13-12-1995,2.28125,2.3359375,1510400,2.3359375,2.3125,1.9079777002334595
14-12-1995,2.296875,2.296875,668800,2.328125,2.296875,1.895085334777832
15-12-1995,2.234375,2.296875,2635200,2.34375,2.234375,1.8435184955596924
18-12-1995,1.96875,2.25,1246400,2.296875,2.015625,1.663034439086914
19-12-1995,1.91015625,1.953125,4568000,2.0625,2.03125,1.6759262084960938
20-12-1995,2.0,2.09375,2275200,2.15625,2.125,1.7532765865325928
21-12-1995,2.09375,2.15625,321600,2.171875,2.109375,1.7403850555419922
22-12-1995,2.0625,2.0625,1657600,2.1875,2.125,1.7532765865325928
26-12-1995,2.109375,2.125,2286400,2.28125,2.265625,1.8693021535873413
27-12-1995,2.1953125,2.28125,2633600,2.359375,2.328125,1.9208697080612183
28-12-1995,2.296875,2.296875,2569600,2.5,2.453125,2.02400279045105
29-12-1995,2.453125,2.484375,1920000,2.609375,2.5078125,2.0691237449645996
02-01-1996,2.375,2.5,1892800,2.5,2.375,1.95954430103302
03-01-1996,2.09375,2.375,3336000,2.40625,2.125,1.7532765865325928
04-01-1996,1.6875,2.140625,6041600,2.140625,1.875,1.5470091104507446
05-01-1996,1.8125,1.890625,3273600,2.0625,1.9375,1.5985753536224365
08-01-1996,1.953125,1.96875,166400,2.0,1.953125,1.6114674806594849
09-01-1996,1.65625,2.0,2500800,2.0,1.6875,1.392308235168457
10-01-1996,1.578125,1.609375,3016000,1.71875,1.625,1.3407411575317383
11-01-1996,1.734375,1.765625,3654400,1.890625,1.796875,1.4825501441955566
12-01-1996,1.6875,1.875,793600,1.875,1.75,1.4438749551773071
15-01-1996,1.640625,1.75,668800,1.765625,1.703125,1.4052000045776367
16-01-1996,1.421875,1.671875,3932800,1.6875,1.6875,1.392308235168457
17-01-1996,1.578125,1.59375,1545600,1.6875,1.671875,1.3794162273406982
18-01-1996,1.625,1.625,3180800,1.6875,1.6875,1.392308235168457
19-01-1996,1.640625,1.6796875,4825600,1.921875,1.830078125,1.509945034980774
22-01-1996,1.828125,1.875,1913600,1.9375,1.875,1.5470091104507446
23-01-1996,1.859375,1.859375,1126400,1.921875,1.8984375,1.566346287727356
24-01-1996,1.890625,1.90625,1267200,2.0625,2.0,1.6501429080963135
25-01-1996,2.0,2.046875,2702400,2.171875,2.109375,1.7403850555419922
26-01-1996,2.0625,2.09375,982400,2.1875,2.1484375,1.7726144790649414
29-01-1996,2.109375,2.140625,936000,2.1875,2.125,1.7532765865325928
30-01-1996,1.875,2.078125,3513600,2.125,2.0,1.6501429080963135
31-01-1996,1.921875,1.96875,1129600,2.078125,1.921875,1.5856841802597046
01-02-1996,1.921875,1.953125,857600,2.03125,1.96875,1.6243592500686646
02-02-1996,1.921875,2.03125,1857600,2.03125,1.9453125,1.6050214767456055
05-02-1996,1.921875,1.9375,964800,2.015625,2.015625,1.663034439086914
06-02-1996,1.984375,2.015625,2483200,2.203125,2.078125,1.7146018743515015
07-02-1996,2.046875,2.125,3126400,2.1875,2.125,1.7532765865325928
08-02-1996,2.15625,2.203125,2886400,2.328125,2.265625,1.8693021535873413
09-02-1996,2.234375,2.265625,1934400,2.390625,2.234375,1.8435184955596924
12-02-1996,2.0625,2.2578125,2108800,2.2578125,2.203125,1.8177353143692017
13-02-1996,2.09375,2.140625,2425600,2.359375,2.25,1.8564108610153198
14-02-1996,2.25,2.28125,2414400,2.375,2.3671875,1.9530988931655884
15-02-1996,2.328125,2.3671875,4148800,2.515625,2.421875,1.9982197284698486
16-02-1996,2.203125,2.53125,4108800,2.578125,2.234375,1.8435184955596924
20-02-1996,2.171875,2.21875,1452800,2.2734375,2.171875,1.7919520139694214
21-02-1996,2.171875,2.1875,1270400,2.25,2.25,1.8564108610153198
22-02-1996,2.234375,2.25,2659200,2.359375,2.34375,1.9337612390518188
23-02-1996,2.15625,2.3125,2572800,2.359375,2.21875,1.8306270837783813
26-02-1996,2.09375,2.15625,3064000,2.15625,2.125,1.7532765865325928
27-02-1996,2.046875,2.1484375,2192000,2.1484375,2.078125,1.7146018743515015
28-02-1996,2.0625,2.0625,763200,2.125,2.078125,1.7146018743515015
29-02-1996,1.90625,2.078125,2452800,2.1328125,1.984375,1.6372510194778442
01-03-1996,1.921875,2.015625,456000,2.015625,1.9375,1.5985753536224365
04-03-1996,1.921875,1.984375,278400,1.984375,1.984375,1.6372510194778442
05-03-1996,1.9375,1.984375,670400,2.0,1.9375,1.5985753536224365
06-03-1996,1.9375,1.9375,166400,2.03125,1.96875,1.6243592500686646
07-03-1996,1.96875,1.96875,398400,2.03125,1.984375,1.6372510194778442
08-03-1996,1.953125,1.984375,246400,2.046875,1.953125,1.6114674806594849
11-03-1996,1.953125,1.953125,163200,2.015625,2.015625,1.663034439086914
12-03-1996,1.9375,1.953125,187200,2.015625,1.9375,1.5985753536224365
13-03-1996,1.9375,2.0,137600,2.0,1.9375,1.5985753536224365
14-03-1996,1.9375,2.0,499200,2.0,1.953125,1.6114674806594849
15-03-1996,1.953125,1.953125,3489600,2.015625,2.015625,1.663034439086914
18-03-1996,1.953125,1.953125,1588800,2.015625,1.953125,1.6114674806594849
19-03-1996,1.953125,2.015625,144000,2.015625,1.96875,1.6243592500686646
20-03-1996,1.921875,1.96875,534400,2.0,1.921875,1.5856841802597046
21-03-1996,1.921875,1.921875,563200,1.984375,1.921875,1.5856841802597046
22-03-1996,1.875,1.984375,1032000,1.984375,1.921875,1.5856841802597046
25-03-1996,1.921875,1.984375,340800,2.015625,2.015625,1.663034439086914
26-03-1996,1.921875,1.953125,475200,2.015625,1.921875,1.5856841802597046
27-03-1996,1.921875,1.984375,339200,1.984375,1.984375,1.6372510194778442
28-03-1996,1.921875,1.984375,163200,1.984375,1.921875,1.5856841802597046
29-03-1996,1.921875,1.984375,796800,1.984375,1.984375,1.6372510194778442
01-04-1996,1.796875,1.984375,1193600,1.984375,1.859375,1.5341168642044067
02-04-1996,1.796875,1.859375,729600,1.859375,1.796875,1.4825501441955566
03-04-1996,1.796875,1.796875,48000,1.859375,1.796875,1.4825501441955566
04-04-1996,1.6875,1.859375,1596800,1.859375,1.71875,1.4180915355682373
08-04-1996,1.6875,1.71875,491200,1.75,1.6875,1.392308235168457
09-04-1996,1.6875,1.6875,500800,1.75,1.6953125,1.3987538814544678
10-04-1996,1.6875,1.6875,1577600,1.75,1.6875,1.392308235168457
11-04-1996,1.6875,1.75,809600,1.75,1.703125,1.4052000045776367
12-04-1996,1.625,1.75,6328000,1.75,1.6875,1.392308235168457
15-04-1996,1.6875,1.75,809600,1.75,1.6875,1.392308235168457
16-04-1996,1.6875,1.75,606400,1.75,1.6875,1.392308235168457
17-04-1996,1.6875,1.6875,128000,1.75,1.6875,1.392308235168457
18-04-1996,1.69140625,1.75,96000,1.75,1.75,1.4438749551773071
19-04-1996,1.6875,1.6875,1664000,1.78125,1.7578125,1.450321078300476
22-04-1996,1.71875,1.78125,500800,1.78125,1.765625,1.456766963005066
23-04-1996,1.734375,1.734375,822400,1.8125,1.8125,1.4954419136047363
24-04-1996,1.75,1.8125,1388800,1.875,1.8671875,1.5405632257461548
25-04-1996,1.8125,1.8515625,1884800,2.046875,1.984375,1.6372510194778442
26-04-1996,2.0,2.046875,1382400,2.1875,2.140625,1.7661683559417725
29-04-1996,2.109375,2.1875,483200,2.1875,2.109375,1.7403850555419922
30-04-1996,2.0,2.15625,766400,2.15625,2.0,1.6501429080963135
01-05-1996,1.96875,2.0625,243200,2.0625,1.96875,1.6243592500686646
02-05-1996,1.96875,2.03125,206400,2.03125,1.96875,1.6243592500686646
03-05-1996,1.9375,2.0,392000,2.03125,2.0,1.6501429080963135
06-05-1996,1.9375,1.953125,1449600,2.0,2.0,1.6501429080963135
07-05-1996,2.0,2.0625,331200,2.0625,2.0625,1.701709508895874
08-05-1996,2.0,2.0,2251200,2.0625,2.0625,1.701709508895874
09-05-1996,2.015625,2.015625,2867200,2.25,2.25,1.8564108610153198
10-05-1996,2.1875,2.21875,3934400,2.3203125,2.3203125,1.9144231081008911
13-05-1996,2.28125,2.34375,3163200,2.453125,2.40625,1.9853287935256958
14-05-1996,2.359375,2.40625,2824000,2.46875,2.359375,1.9466534852981567
15-05-1996,2.359375,2.359375,2094400,2.421875,2.421875,1.9982197284698486
16-05-1996,2.125,2.25,5265600,2.28125,2.28125,1.8821941614151
17-05-1996,2.21875,2.28125,4318400,2.28125,2.21875,1.8306270837783813
20-05-1996,2.171875,2.21875,6369600,2.28125,2.171875,1.7919520139694214
21-05-1996,2.171875,2.171875,1406400,2.234375,2.171875,1.7919520139694214
22-05-1996,2.171875,2.171875,878400,2.234375,2.171875,1.7919520139694214
23-05-1996,2.171875,2.234375,1516800,2.234375,2.171875,1.7919520139694214
24-05-1996,2.140625,2.234375,233600,2.234375,2.140625,1.7661683559417725
28-05-1996,2.046875,2.109375,416000,2.171875,2.109375,1.7403850555419922
29-05-1996,2.046875,2.046875,1569600,2.109375,2.078125,1.7146018743515015
30-05-1996,2.078125,2.078125,62400,2.078125,2.078125,1.7146018743515015
31-05-1996,2.078125,2.140625,4156800,2.140625,2.140625,1.7661683559417725
03-06-1996,2.078125,2.140625,2275200,2.140625,2.109375,1.7403850555419922
04-06-1996,2.078125,2.140625,596800,2.140625,2.09375,1.7274935245513916
05-06-1996,2.0625,2.078125,1793600,2.140625,2.078125,1.7146018743515015
06-06-1996,2.0625,2.125,502400,2.125,2.0625,1.701709508895874
07-06-1996,2.046875,2.046875,923200,2.109375,2.078125,1.7146018743515015
10-06-1996,2.015625,2.078125,104000,2.078125,2.015625,1.663034439086914
11-06-1996,2.015625,2.0625,179200,2.078125,2.015625,1.663034439086914
12-06-1996,2.015625,2.015625,156800,2.078125,2.078125,1.7146018743515015
13-06-1996,2.015625,2.078125,5417600,2.21875,2.140625,1.7661683559417725
14-06-1996,2.109375,2.1875,553600,2.203125,2.171875,1.7919520139694214
17-06-1996,2.046875,2.171875,305600,2.171875,2.046875,1.6888177394866943
18-06-1996,1.8125,2.046875,1616000,2.078125,1.8125,1.4954419136047363
19-06-1996,1.8125,1.875,1459200,1.875,1.8359375,1.5147796869277954
20-06-1996,1.8125,1.8515625,1216000,1.875,1.8359375,1.5147796869277954
21-06-1996,1.8125,1.8125,140800,1.875,1.875,1.5470091104507446
24-06-1996,1.8125,1.875,1096000,1.875,1.875,1.5470091104507446
25-06-1996,1.8125,1.8125,580800,1.875,1.8125,1.4954419136047363
26-06-1996,1.8125,1.84375,472000,1.875,1.8125,1.4954419136047363
27-06-1996,1.78125,1.78125,523200,1.84375,1.78125,1.4696582555770874
28-06-1996,1.78125,1.8125,1696000,1.859375,1.859375,1.5341168642044067
01-07-1996,1.796875,1.796875,430400,1.859375,1.828125,1.508333683013916
02-07-1996,1.796875,1.828125,40000,1.828125,1.8125,1.4954419136047363
03-07-1996,1.8125,1.8125,308800,1.8125,1.8125,1.4954419136047363
05-07-1996,1.8125,1.8125,0,1.8125,1.8125,1.4954419136047363
08-07-1996,1.796875,1.84375,251200,1.84375,1.8125,1.4954419136047363
09-07-1996,1.671875,1.78125,371200,1.78125,1.734375,1.4309834241867065
10-07-1996,1.625,1.6875,355200,1.734375,1.6875,1.392308235168457
11-07-1996,1.59375,1.6875,270400,1.6875,1.59375,1.3149572610855103
12-07-1996,1.59375,1.59375,144000,1.65625,1.65625,1.3665244579315186
15-07-1996,1.5625,1.65625,526400,1.65625,1.5625,1.2891740798950195
16-07-1996,1.5625,1.5625,116800,1.625,1.5625,1.2891740798950195
17-07-1996,1.5625,1.625,360000,1.625,1.5625,1.2891740798950195
18-07-1996,1.5625,1.59375,249600,1.625,1.625,1.3407411575317383
19-07-1996,1.5625,1.5625,148800,1.625,1.625,1.3407411575317383
22-07-1996,1.5625,1.625,94400,1.625,1.625,1.3407411575317383
23-07-1996,1.515625,1.5625,230400,1.59375,1.515625,1.2504990100860596
24-07-1996,1.484375,1.53125,126400,1.578125,1.515625,1.2504990100860596
25-07-1996,1.515625,1.5625,180800,1.5625,1.515625,1.2504990100860596
26-07-1996,1.515625,1.515625,232000,1.5625,1.515625,1.2504990100860596
29-07-1996,1.5,1.5625,156800,1.5625,1.546875,1.2762824296951294
30-07-1996,1.484375,1.484375,320000,1.546875,1.546875,1.2762824296951294
31-07-1996,1.25,1.546875,2108800,1.546875,1.5,1.2376073598861694
01-08-1996,1.2734375,1.40625,18251200,1.40625,1.359375,1.1215813159942627
02-08-1996,1.40625,1.46875,5177600,1.734375,1.640625,1.353632926940918
05-08-1996,1.625,1.6875,928000,1.6875,1.6875,1.392308235168457
06-08-1996,1.546875,1.6875,2342400,1.6875,1.578125,1.3020659685134888
07-08-1996,1.5625,1.625,1617600,1.703125,1.6875,1.392308235168457
08-08-1996,1.671875,1.6875,4144000,1.796875,1.796875,1.4825501441955566
09-08-1996,1.796875,1.875,3920000,1.921875,1.8515625,1.527671456336975
12-08-1996,1.84375,1.90625,1324800,1.953125,1.875,1.5470091104507446
13-08-1996,1.6875,1.921875,1468800,1.921875,1.78125,1.4696582555770874
14-08-1996,1.71875,1.78125,1563200,1.796875,1.734375,1.4309834241867065
15-08-1996,1.59375,1.828125,3273600,1.875,1.765625,1.456766963005066
16-08-1996,1.6875,1.765625,281600,1.765625,1.6875,1.392308235168457
19-08-1996,1.65625,1.75,193600,1.75,1.65625,1.3665244579315186
20-08-1996,1.625,1.65625,361600,1.71875,1.640625,1.353632926940918
21-08-1996,1.640625,1.6875,2564800,1.6875,1.6484375,1.3600789308547974
22-08-1996,1.671875,1.6875,1323200,1.75,1.71875,1.4180915355682373
23-08-1996,1.703125,1.765625,513600,1.765625,1.703125,1.4052000045776367
26-08-1996,1.65625,1.703125,139200,1.71875,1.71875,1.4180915355682373
27-08-1996,1.65625,1.71875,278400,1.71875,1.703125,1.4052000045776367
28-08-1996,1.65625,1.65625,2308800,1.765625,1.7421875,1.4374293088912964
29-08-1996,1.6875,1.71875,548800,1.78125,1.6875,1.392308235168457
30-08-1996,1.6875,1.75,401600,1.75,1.75,1.4438749551773071
03-09-1996,1.65625,1.6875,726400,1.78125,1.78125,1.4696582555770874
04-09-1996,1.734375,1.78125,1267200,1.796875,1.796875,1.4825501441955566
05-09-1996,1.734375,1.796875,2460800,1.796875,1.734375,1.4309834241867065
06-09-1996,1.734375,1.734375,507200,1.796875,1.796875,1.4825501441955566
09-09-1996,1.75,1.78125,89600,1.8125,1.75,1.4438749551773071
10-09-1996,1.71875,1.765625,2142400,1.78125,1.75,1.4438749551773071
11-09-1996,1.625,1.71875,843200,1.71875,1.625,1.3407411575317383
12-09-1996,1.625,1.6875,392000,1.703125,1.6875,1.392308235168457
13-09-1996,1.671875,1.71875,1168000,1.75,1.671875,1.3794162273406982
16-09-1996,1.671875,1.734375,1195200,1.734375,1.671875,1.3794162273406982
17-09-1996,1.625,1.734375,156800,1.734375,1.625,1.3407411575317383
18-09-1996,1.53125,1.625,435200,1.625,1.53125,1.2633906602859497
19-09-1996,1.53125,1.59375,7120000,1.59375,1.59375,1.3149572610855103
20-09-1996,1.53125,1.59375,14971200,1.71875,1.6875,1.392308235168457
23-09-1996,1.671875,1.71875,2121600,1.765625,1.765625,1.456766963005066
24-09-1996,1.703125,1.765625,1950400,1.8203125,1.78125,1.4696582555770874
25-09-1996,1.78125,1.78125,5817600,2.0,1.953125,1.6114674806594849
26-09-1996,1.875,1.9375,6572800,2.0,1.95703125,1.6146906614303589
27-09-1996,1.90625,1.96875,1297600,1.96875,1.9140625,1.5792381763458252
30-09-1996,1.875,1.9375,2612800,1.9375,1.875,1.5470091104507446
01-10-1996,1.75,1.875,1824000,1.9375,1.75,1.4438749551773071
02-10-1996,1.734375,1.796875,2398400,1.859375,1.796875,1.4825501441955566
03-10-1996,1.796875,1.84375,580800,1.890625,1.8828125,1.5534545183181763
04-10-1996,1.8671875,1.90625,1924800,1.90625,1.890625,1.5599009990692139
07-10-1996,1.8671875,1.8671875,556800,1.90625,1.875,1.5470091104507446
08-10-1996,1.84375,1.875,1600000,1.9375,1.890625,1.5599009990692139
09-10-1996,1.8125,1.90625,1878400,1.9140625,1.84375,1.5212252140045166
10-10-1996,1.765625,1.765625,1307200,1.8515625,1.796875,1.4825501441955566
11-10-1996,1.8125,1.828125,3108800,1.953125,1.953125,1.6114674806594849
14-10-1996,1.921875,1.953125,2216000,2.0,1.984375,1.6372510194778442
15-10-1996,1.953125,2.015625,5948800,2.1875,2.1796875,1.7983976602554321
16-10-1996,2.15625,2.1875,7945600,2.3125,2.19921875,1.8145124912261963
17-10-1996,2.09375,2.203125,760000,2.203125,2.1953125,1.8112894296646118
18-10-1996,1.96875,2.21875,1739200,2.21875,2.078125,1.7146018743515015
21-10-1996,2.03125,2.078125,1288000,2.09375,2.09375,1.7274935245513916
