Date,Low,Open,Volume,High,Close,Adjusted Close
22-07-1985,30.25,30.625,1036000,31.125,30.375,23.394071578979492
23-07-1985,30.0,30.625,41800,30.75,30.125,23.201526641845703
24-07-1985,29.25,30.0,16900,30.125,29.5,22.720169067382812
25-07-1985,29.25,29.25,42600,30.0,30.0,23.105253219604492
26-07-1985,29.625,29.75,27300,29.875,29.875,23.008983612060547
29-07-1985,29.5,29.875,37300,29.875,29.625,22.816438674926758
30-07-1985,29.0,29.375,23700,29.625,29.0,22.335079193115234
31-07-1985,28.0,28.875,26700,29.0,28.125,21.661176681518555
01-08-1985,28.125,28.125,7200,28.5,28.25,21.757450103759766
02-08-1985,28.125,28.375,29000,28.75,28.625,22.0462646484375
05-08-1985,28.5,28.625,14100,28.75,28.75,22.142534255981445
06-08-1985,28.625,28.875,24800,29.0,28.625,22.0462646484375
07-08-1985,28.5,28.625,7400,28.75,28.5,21.949993133544922
08-08-1985,28.25,28.375,4600,28.625,28.625,22.0462646484375
09-08-1985,28.375,28.5,1800,28.625,28.375,21.85371971130371
12-08-1985,28.25,28.25,2000,28.5,28.25,21.757450103759766
13-08-1985,28.0,28.125,54300,28.25,28.25,21.757450103759766
14-08-1985,28.125,28.25,900,28.25,28.25,21.757450103759766
15-08-1985,28.125,28.25,14400,28.375,28.25,21.757450103759766
16-08-1985,27.625,28.25,6600,28.25,27.75,21.37236213684082
19-08-1985,27.125,27.625,11600,27.625,27.125,20.891002655029297
20-08-1985,27.0,27.0,28200,27.25,27.25,20.987274169921875
21-08-1985,27.0,27.0,14400,27.25,27.125,20.891002655029297
22-08-1985,27.25,27.375,4600,27.375,27.25,20.987274169921875
23-08-1985,27.125,27.25,1800,27.25,27.125,20.891002655029297
26-08-1985,26.75,26.875,6300,26.875,26.75,20.602184295654297
27-08-1985,26.375,26.75,6200,26.75,26.5,20.40964126586914
28-08-1985,26.75,26.75,15800,27.125,27.0,20.794729232788086
29-08-1985,27.25,27.25,2500,27.25,27.25,20.987274169921875
30-08-1985,27.125,27.125,9800,27.25,27.125,20.891002655029297
03-09-1985,27.125,27.25,4100,27.375,27.25,20.987274169921875
04-09-1985,27.0,27.125,1800,27.125,27.0,20.794729232788086
05-09-1985,26.625,26.75,9100,26.875,26.625,20.50591278076172
06-09-1985,26.375,26.5,10500,26.5,26.5,20.40964126586914
09-09-1985,26.125,26.375,2800,26.375,26.125,20.120824813842773
10-09-1985,25.625,26.125,9800,26.125,25.625,19.73573875427246
11-09-1985,24.625,25.5,8400,25.5,24.625,18.96556282043457
12-09-1985,24.375,24.625,8300,24.75,24.375,18.773019790649414
13-09-1985,24.0,24.125,5700,24.25,24.0,18.484203338623047
16-09-1985,24.0,24.0,7700,24.375,24.375,18.773019790649414
17-09-1985,24.0,24.25,5900,24.375,24.375,18.773019790649414
18-09-1985,24.125,24.375,51500,25.125,25.125,19.350648880004883
19-09-1985,25.25,25.25,7300,25.5,25.5,19.63946533203125
20-09-1985,25.75,25.75,9200,26.25,26.0,20.024553298950195
23-09-1985,26.125,26.25,7000,26.375,26.125,20.120824813842773
24-09-1985,26.0,26.25,2900,26.25,26.0,20.024553298950195
25-09-1985,25.75,25.875,800,25.875,25.75,19.83201026916504
26-09-1985,25.625,25.625,700,25.75,25.75,19.83201026916504
30-09-1985,25.125,25.625,31400,25.625,25.5,19.63946533203125
01-10-1985,25.5,25.5,43700,25.5,25.5,19.63946533203125
02-10-1985,25.125,25.25,3800,25.25,25.25,19.446922302246094
03-10-1985,25.125,25.125,54100,26.125,26.0,20.024553298950195
04-10-1985,26.0,26.125,1700,26.25,26.25,20.21709442138672
07-10-1985,26.25,26.375,16200,26.75,26.75,20.602184295654297
08-10-1985,26.75,26.75,217100,27.125,26.875,20.698457717895508
09-10-1985,26.875,26.875,1000,27.0,27.0,20.794729232788086
10-10-1985,26.75,27.0,1300,27.0,27.0,20.794729232788086
11-10-1985,26.875,27.0,46000,27.125,27.125,20.891002655029297
14-10-1985,27.0,27.0,300,27.0,27.0,20.794729232788086
15-10-1985,26.5,26.875,4700,26.875,26.5,20.40964126586914
16-10-1985,26.5,26.5,53400,27.75,27.75,21.37236213684082
17-10-1985,27.125,27.5,40700,27.625,27.375,21.083547592163086
18-10-1985,26.875,27.25,15100,27.25,26.875,20.698457717895508
21-10-1985,26.875,26.875,16100,27.75,27.25,20.987274169921875
22-10-1985,26.5,26.5,16300,27.25,27.25,20.987274169921875
23-10-1985,26.875,27.0,2500,27.125,27.125,20.891002655029297
24-10-1985,26.625,26.875,21400,26.875,26.625,20.50591278076172
25-10-1985,26.5,26.75,3700,26.75,26.5,20.40964126586914
28-10-1985,26.5,26.625,16700,26.625,26.5,20.40964126586914
29-10-1985,26.125,26.5,15100,26.625,26.125,20.120824813842773
30-10-1985,25.75,26.375,10100,26.375,25.75,19.83201026916504
31-10-1985,24.375,25.5,125000,25.5,24.625,18.96556282043457
01-11-1985,24.0,24.625,44400,24.625,24.5,18.869291305541992
04-11-1985,24.0,24.625,22600,24.75,24.25,18.676746368408203
05-11-1985,21.0,24.125,147500,24.25,22.5,17.328943252563477
06-11-1985,22.5,23.0,308800,23.5,22.5,17.328943252563477
07-11-1985,22.5,22.75,71600,23.0,22.75,17.521486282348633
08-11-1985,22.375,22.875,26200,22.875,22.875,17.617755889892578
11-11-1985,23.0,23.0,48100,23.375,23.375,18.002845764160156
12-11-1985,23.375,23.375,55100,24.25,24.25,18.676746368408203
13-11-1985,24.0,24.5,35200,24.625,24.625,18.96556282043457
14-11-1985,24.375,24.625,60900,24.875,24.625,18.96556282043457
15-11-1985,24.5,24.5,29600,24.75,24.625,18.96556282043457
18-11-1985,24.5,24.75,40700,24.875,24.75,19.06183433532715
19-11-1985,24.5,24.625,50700,25.25,25.25,19.446922302246094
20-11-1985,25.25,25.25,55000,25.875,25.75,19.83201026916504
21-11-1985,25.625,25.75,36100,26.25,26.0,20.024553298950195
22-11-1985,26.0,26.0,16700,26.25,26.25,20.21709442138672
25-11-1985,26.0,26.125,38800,26.25,26.125,20.120824813842773
