Date,Low,Open,Volume,High,Close,Adjusted Close
17-03-1980,1.53125,1.53125,25600,1.578125,1.53125,0.4706490635871887
18-03-1980,1.53125,1.53125,81600,1.578125,1.53125,0.4706490635871887
19-03-1980,1.546875,1.546875,40000,1.59375,1.546875,0.47545167803764343
20-03-1980,1.53125,1.546875,11200,1.578125,1.53125,0.4706490635871887
21-03-1980,1.515625,1.53125,19200,1.5625,1.515625,0.46584630012512207
24-03-1980,1.484375,1.515625,112000,1.53125,1.484375,0.45624127984046936
25-03-1980,1.46875,1.484375,49600,1.515625,1.46875,0.45143869519233704
26-03-1980,1.484375,1.484375,17600,1.53125,1.484375,0.45624127984046936
27-03-1980,1.46875,1.484375,78400,1.515625,1.46875,0.45143869519233704
28-03-1980,1.46875,1.46875,16000,1.515625,1.46875,0.45143869519233704
31-03-1980,1.40625,1.453125,128000,1.453125,1.40625,0.43222859501838684
01-04-1980,1.390625,1.40625,54400,1.4375,1.390625,0.4274260103702545
02-04-1980,1.40625,1.40625,20800,1.453125,1.40625,0.43222859501838684
03-04-1980,1.390625,1.40625,8000,1.4375,1.390625,0.4274260103702545
07-04-1980,1.375,1.390625,43200,1.421875,1.375,0.42262354493141174
08-04-1980,1.375,1.375,62400,1.421875,1.375,0.42262354493141174
09-04-1980,1.390625,1.390625,33600,1.4375,1.390625,0.4274260103702545
10-04-1980,1.421875,1.421875,24000,1.46875,1.421875,0.43703094124794006
11-04-1980,1.4375,1.4375,33600,1.484375,1.4375,0.44183364510536194
14-04-1980,1.421875,1.4375,32000,1.46875,1.421875,0.43703094124794006
15-04-1980,1.421875,1.421875,33600,1.46875,1.421875,0.43703094124794006
16-04-1980,1.421875,1.421875,76800,1.46875,1.421875,0.43703094124794006
17-04-1980,1.421875,1.421875,8000,1.46875,1.421875,0.43703094124794006
18-04-1980,1.46875,1.46875,52800,1.515625,1.46875,0.45143869519233704
21-04-1980,1.421875,1.46875,70400,1.46875,1.421875,0.43703094124794006
22-04-1980,1.46875,1.46875,83200,1.515625,1.46875,0.45143869519233704
23-04-1980,1.46875,1.46875,19200,1.515625,1.46875,0.45143869519233704
24-04-1980,1.46875,1.46875,3200,1.515625,1.46875,0.45143869519233704
25-04-1980,1.453125,1.46875,17600,1.5,1.453125,0.4466361999511719
28-04-1980,1.46875,1.46875,56000,1.515625,1.46875,0.45143869519233704
29-04-1980,1.515625,1.515625,64000,1.5625,1.515625,0.46584630012512207
30-04-1980,1.515625,1.515625,4800,1.5625,1.515625,0.46584630012512207
01-05-1980,1.515625,1.515625,108800,1.5625,1.515625,0.46584630012512207
02-05-1980,1.515625,1.515625,17600,1.5625,1.515625,0.46584630012512207
05-05-1980,1.515625,1.515625,48000,1.5625,1.515625,0.46584630012512207
06-05-1980,1.515625,1.515625,14400,1.5625,1.515625,0.46584630012512207
07-05-1980,1.5,1.515625,32000,1.546875,1.5,0.4610438048839569
08-05-1980,1.484375,1.5,102400,1.53125,1.484375,0.45624127984046936
09-05-1980,1.46875,1.484375,62400,1.515625,1.46875,0.45143869519233704
12-05-1980,1.453125,1.46875,17600,1.5,1.453125,0.4466361999511719
13-05-1980,1.453125,1.453125,8000,1.5,1.453125,0.4466361999511719
14-05-1980,1.453125,1.453125,20800,1.5,1.453125,0.4466361999511719
15-05-1980,1.5,1.5,140800,1.546875,1.5,0.4610438048839569
16-05-1980,1.5,1.5,116800,1.546875,1.5,0.4610438048839569
19-05-1980,1.515625,1.515625,44800,1.5625,1.515625,0.46584630012512207
20-05-1980,1.5,1.515625,134400,1.546875,1.5,0.4610438048839569
21-05-1980,1.53125,1.53125,76800,1.578125,1.53125,0.4706490635871887
22-05-1980,1.53125,1.53125,49600,1.578125,1.53125,0.4706490635871887
23-05-1980,1.546875,1.546875,38400,1.59375,1.546875,0.47545167803764343
27-05-1980,1.546875,1.546875,12800,1.59375,1.546875,0.47545167803764343
28-05-1980,1.609375,1.609375,83200,1.65625,1.609375,0.4946613311767578
29-05-1980,1.578125,1.609375,57600,1.625,1.578125,0.485056608915329
30-05-1980,1.578125,1.578125,24000,1.625,1.578125,0.485056608915329
02-06-1980,1.578125,1.578125,22400,1.625,1.578125,0.485056608915329
03-06-1980,1.5625,1.578125,22400,1.609375,1.5625,0.4802541136741638
04-06-1980,1.5625,1.5625,30400,1.609375,1.5625,0.4802541136741638
05-06-1980,1.5625,1.5625,57600,1.609375,1.5625,0.4802541136741638
06-06-1980,1.5625,1.5625,11200,1.609375,1.5625,0.4802541136741638
09-06-1980,1.5625,1.5625,38400,1.609375,1.5625,0.4802541136741638
10-06-1980,1.59375,1.59375,44800,1.640625,1.59375,0.4898587763309479
11-06-1980,1.625,1.625,96000,1.671875,1.625,0.4994641840457916
12-06-1980,1.640625,1.640625,16000,1.6875,1.640625,0.504266619682312
13-06-1980,1.640625,1.640625,12800,1.6875,1.640625,0.504266619682312
16-06-1980,1.65625,1.65625,32000,1.703125,1.65625,0.5090693235397339
17-06-1980,1.671875,1.671875,6400,1.71875,1.671875,0.5138719081878662
18-06-1980,1.671875,1.671875,11200,1.71875,1.671875,0.5138719081878662
19-06-1980,1.671875,1.671875,56000,1.71875,1.671875,0.5138719081878662
20-06-1980,1.65625,1.671875,49600,1.703125,1.65625,0.5090693235397339
23-06-1980,1.6875,1.6875,36800,1.734375,1.6875,0.5186744928359985
24-06-1980,1.6875,1.6875,25600,1.734375,1.6875,0.5186744928359985
25-06-1980,1.6875,1.6875,3200,1.734375,1.6875,0.5186744928359985
26-06-1980,1.6875,1.6875,94400,1.734375,1.6875,0.5186744928359985
27-06-1980,1.6875,1.6875,12800,1.734375,1.6875,0.5186744928359985
30-06-1980,1.6875,1.6875,20800,1.734375,1.6875,0.5186744928359985
01-07-1980,1.6875,1.6875,22400,1.734375,1.6875,0.5186744928359985
02-07-1980,1.6875,1.6875,6400,1.734375,1.6875,0.5186744928359985
03-07-1980,1.6875,1.6875,59200,1.734375,1.6875,0.5186744928359985
07-07-1980,1.71875,1.71875,30400,1.734375,1.71875,0.5282792448997498
08-07-1980,1.765625,1.765625,49600,1.78125,1.765625,0.5426871180534363
09-07-1980,1.84375,1.84375,182400,1.859375,1.84375,0.5666996836662292
10-07-1980,1.84375,1.84375,60800,1.859375,1.84375,0.5666996836662292
11-07-1980,1.84375,1.84375,28800,1.859375,1.84375,0.5666996836662292
14-07-1980,1.875,1.875,96000,1.890625,1.875,0.5763046145439148
15-07-1980,1.875,1.875,27200,1.890625,1.875,0.5763046145439148
16-07-1980,1.90625,1.90625,76800,1.921875,1.90625,0.5859097838401794
17-07-1980,1.9375,1.9375,417600,1.953125,1.9375,0.595514714717865
18-07-1980,1.9375,1.9375,44800,1.96875,1.9375,0.595514714717865
21-07-1980,1.9375,1.9375,33600,1.984375,1.9375,0.595514714717865
22-07-1980,1.953125,1.953125,40000,1.984375,1.953125,0.6003174185752869
23-07-1980,1.953125,1.953125,22400,1.984375,1.953125,0.6003174185752869
24-07-1980,1.953125,1.953125,72000,1.984375,1.953125,0.6003174185752869
25-07-1980,1.96875,1.96875,115200,2.0,1.96875,0.6051201224327087
28-07-1980,2.03125,2.03125,83200,2.0625,2.03125,0.6243302226066589
29-07-1980,2.140625,2.140625,120000,2.15625,2.140625,0.6579480171203613
30-07-1980,2.203125,2.203125,108800,2.21875,2.203125,0.6771581172943115
31-07-1980,2.203125,2.203125,273600,2.234375,2.203125,0.6771581172943115
01-08-1980,2.234375,2.234375,217600,2.265625,2.234375,0.6867632865905762
04-08-1980,2.234375,2.234375,57600,2.265625,2.234375,0.6867632865905762
05-08-1980,2.234375,2.234375,148800,2.265625,2.234375,0.6867632865905762
06-08-1980,2.234375,2.234375,67200,2.265625,2.234375,0.6867632865905762
07-08-1980,2.234375,2.234375,243200,2.25,2.234375,0.6867632865905762
08-08-1980,2.25,2.25,67200,2.28125,2.25,0.6915656328201294
11-08-1980,2.296875,2.296875,120000,2.3125,2.296875,0.705973207950592
12-08-1980,2.28125,2.296875,60800,2.296875,2.28125,0.7011707425117493
13-08-1980,2.1875,2.21875,305600,2.21875,2.1875,0.6723556518554688
14-08-1980,2.15625,2.1875,64000,2.1875,2.15625,0.6627504825592041
15-08-1980,2.171875,2.171875,59200,2.203125,2.171875,0.6675528287887573
18-08-1980,2.0625,2.09375,204800,2.09375,2.0625,0.633935272693634
19-08-1980,2.046875,2.0625,211200,2.0625,2.046875,0.6291324496269226
20-08-1980,2.046875,2.046875,91200,2.0625,2.046875,0.6291324496269226
21-08-1980,2.0625,2.0625,59200,2.078125,2.0625,0.633935272693634
22-08-1980,2.09375,2.09375,62400,2.125,2.09375,0.6435403823852539
25-08-1980,2.09375,2.09375,24000,2.125,2.09375,0.6435403823852539
26-08-1980,2.0625,2.09375,28800,2.09375,2.0625,0.633935272693634
27-08-1980,2.03125,2.0625,248000,2.0625,2.03125,0.6243302226066589
28-08-1980,2.015625,2.03125,54400,2.0625,2.015625,0.6195279359817505
29-08-1980,2.015625,2.015625,46400,2.046875,2.015625,0.6195279359817505
02-09-1980,2.046875,2.046875,65600,2.0625,2.046875,0.6291324496269226
03-09-1980,2.046875,2.046875,25600,2.078125,2.046875,0.6291324496269226
04-09-1980,2.078125,2.078125,70400,2.09375,2.078125,0.6387377977371216
05-09-1980,2.078125,2.078125,73600,2.09375,2.078125,0.6387377977371216
08-09-1980,2.09375,2.09375,68800,2.125,2.09375,0.6435403823852539
09-09-1980,2.125,2.125,68800,2.140625,2.125,0.6531455516815186
10-09-1980,2.125,2.125,32000,2.15625,2.125,0.6531455516815186
11-09-1980,2.125,2.125,4800,2.15625,2.125,0.6531455516815186
12-09-1980,2.15625,2.15625,73600,2.1875,2.15625,0.6627504825592041
15-09-1980,2.15625,2.15625,24000,2.1875,2.15625,0.6627504825592041
16-09-1980,2.1875,2.1875,20800,2.21875,2.1875,0.6723556518554688
17-09-1980,2.1875,2.1875,25600,2.21875,2.1875,0.6723556518554688
18-09-1980,2.1875,2.1875,44800,2.21875,2.1875,0.6723556518554688
