Date,Low,Open,Volume,High,Close,Adjusted Close
23-04-1993,2.34375,2.4375,16484800,2.4375,2.40625,2.40625
26-04-1993,2.34375,2.375,3334400,2.40625,2.34375,2.34375
27-04-1993,2.28125,2.375,2046400,2.375,2.3125,2.3125
28-04-1993,2.28125,2.34375,897600,2.34375,2.28125,2.28125
29-04-1993,2.28125,2.28125,844800,2.34375,2.3125,2.3125
30-04-1993,2.3125,2.34375,1180800,2.40625,2.34375,2.34375
03-05-1993,2.3125,2.40625,623200,2.40625,2.34375,2.34375
04-05-1993,2.3125,2.375,555200,2.40625,2.375,2.375
05-05-1993,2.375,2.375,900800,2.4375,2.4375,2.4375
06-05-1993,2.375,2.4375,635200,2.46875,2.453125,2.453125
07-05-1993,2.40625,2.40625,170400,2.46875,2.40625,2.40625
10-05-1993,2.40625,2.46875,438400,2.5,2.4375,2.4375
11-05-1993,2.4375,2.4375,312800,2.53125,2.46875,2.46875
12-05-1993,2.4375,2.5,907200,2.53125,2.53125,2.53125
13-05-1993,2.46875,2.53125,608000,2.59375,2.59375,2.59375
14-05-1993,2.53125,2.59375,774400,2.78125,2.734375,2.734375
17-05-1993,2.625,2.78125,349600,2.78125,2.6875,2.6875
18-05-1993,2.59375,2.625,555200,2.6875,2.65625,2.65625
19-05-1993,2.5625,2.65625,408800,2.65625,2.609375,2.609375
20-05-1993,2.5625,2.625,428000,2.625,2.5625,2.5625
21-05-1993,2.5625,2.5625,144000,2.625,2.59375,2.59375
24-05-1993,2.5625,2.625,16800,2.625,2.5625,2.5625
25-05-1993,2.5625,2.5625,62400,2.625,2.59375,2.59375
26-05-1993,2.5625,2.625,206400,2.625,2.5625,2.5625
27-05-1993,2.5625,2.59375,196800,2.625,2.625,2.625
28-05-1993,2.5625,2.625,175200,2.65625,2.65625,2.65625
01-06-1993,2.65625,2.65625,525600,2.75,2.65625,2.65625
02-06-1993,2.65625,2.71875,302400,2.78125,2.78125,2.78125
03-06-1993,2.75,2.8125,341600,2.8125,2.8125,2.8125
04-06-1993,2.75,2.8125,86400,2.8125,2.75,2.75
07-06-1993,2.75,2.8125,288000,2.8125,2.8125,2.8125
08-06-1993,2.75,2.8125,616800,2.8125,2.8125,2.8125
09-06-1993,2.75,2.75,96800,2.8125,2.8125,2.8125
10-06-1993,2.78125,2.78125,1295200,2.90625,2.84375,2.84375
11-06-1993,2.84375,2.875,213600,2.90625,2.875,2.875
14-06-1993,2.84375,2.90625,80800,2.90625,2.84375,2.84375
15-06-1993,2.75,2.90625,663200,2.90625,2.8125,2.8125
16-06-1993,2.75,2.75,353600,2.8125,2.75,2.75
17-06-1993,2.75,2.75,135200,2.8125,2.75,2.75
18-06-1993,2.75,2.8125,132800,2.90625,2.875,2.875
21-06-1993,2.84375,2.84375,365600,2.9375,2.890625,2.890625
22-06-1993,2.875,2.9375,92000,2.9375,2.9375,2.9375
23-06-1993,2.875,2.9375,132000,2.9375,2.9375,2.9375
24-06-1993,2.875,2.9375,39200,2.9375,2.9375,2.9375
25-06-1993,2.84375,2.9375,167200,2.9375,2.9375,2.9375
28-06-1993,2.84375,2.9375,244800,2.96875,2.96875,2.96875
29-06-1993,2.90625,2.90625,301600,3.125,3.03125,3.03125
30-06-1993,2.9375,3.09375,194400,3.09375,3.0,3.0
01-07-1993,2.90625,3.0,49600,3.0,2.90625,2.90625
02-07-1993,2.875,2.90625,37600,2.96875,2.9375,2.9375
06-07-1993,2.9375,2.9375,18400,2.9375,2.9375,2.9375
07-07-1993,2.875,2.9375,44000,2.9375,2.9375,2.9375
08-07-1993,2.9375,2.9375,62400,3.0,2.9375,2.9375
09-07-1993,2.9375,3.0,6400,3.0,3.0,3.0
12-07-1993,2.9375,3.0,53600,3.0,3.0,3.0
13-07-1993,2.9375,2.9375,44800,3.0,2.96875,2.96875
14-07-1993,3.0,3.0,4000,3.0,3.0,3.0
15-07-1993,2.9375,3.0,4800,3.0,2.9375,2.9375
16-07-1993,2.9375,3.0,30400,3.0,2.9375,2.9375
19-07-1993,2.90625,2.9375,161600,2.96875,2.90625,2.90625
20-07-1993,2.90625,2.96875,148800,2.96875,2.90625,2.90625
21-07-1993,2.90625,2.90625,13600,3.0,3.0,3.0
22-07-1993,2.90625,3.0,78400,3.0,2.90625,2.90625
23-07-1993,2.90625,2.96875,100800,2.96875,2.9375,2.9375
26-07-1993,2.9375,2.9375,34400,2.96875,2.9375,2.9375
27-07-1993,2.9375,2.9375,33600,2.96875,2.9375,2.9375
28-07-1993,2.9375,3.0,139200,3.0,2.9375,2.9375
29-07-1993,2.9375,3.0,11200,3.0,2.9375,2.9375
30-07-1993,2.9375,2.9375,220000,3.03125,2.96875,2.96875
02-08-1993,2.90625,2.9375,129600,2.96875,2.96875,2.96875
03-08-1993,2.90625,2.96875,192000,2.96875,2.96875,2.96875
04-08-1993,2.90625,2.96875,71200,2.96875,2.90625,2.90625
05-08-1993,2.90625,2.96875,160800,2.96875,2.9375,2.9375
06-08-1993,2.90625,2.96875,338400,2.96875,2.90625,2.90625
09-08-1993,2.875,2.875,67200,2.9375,2.890625,2.890625
10-08-1993,2.875,2.875,638400,2.921875,2.875,2.875
11-08-1993,2.875,2.9375,16800,2.9375,2.9375,2.9375
12-08-1993,2.875,2.875,301600,2.96875,2.96875,2.96875
13-08-1993,2.90625,2.90625,52000,3.0,3.0,3.0
16-08-1993,2.90625,3.0,320800,3.0,2.9375,2.9375
17-08-1993,2.90625,3.0,72800,3.0,3.0,3.0
18-08-1993,2.90625,2.90625,40800,3.0,2.953125,2.953125
19-08-1993,2.90625,2.90625,19200,3.0,2.90625,2.90625
20-08-1993,2.90625,3.0,34400,3.0,2.90625,2.90625
23-08-1993,2.90625,2.90625,412000,2.921875,2.90625,2.90625
24-08-1993,2.90625,2.90625,554400,2.96875,2.96875,2.96875
25-08-1993,2.90625,2.96875,159200,2.96875,2.921875,2.921875
26-08-1993,2.90625,2.90625,35200,2.96875,2.96875,2.96875
27-08-1993,2.96875,2.96875,3200,2.96875,2.96875,2.96875
30-08-1993,2.875,2.90625,187200,2.96875,2.875,2.875
31-08-1993,2.875,2.875,5600,2.9375,2.9375,2.9375
01-09-1993,2.84375,2.875,496800,2.921875,2.875,2.875
02-09-1993,2.8125,2.90625,72800,2.90625,2.84375,2.84375
03-09-1993,2.84375,2.90625,21600,2.90625,2.90625,2.90625
07-09-1993,2.84375,2.90625,38400,2.90625,2.84375,2.84375
08-09-1993,2.796875,2.84375,150400,2.875,2.84375,2.84375
09-09-1993,2.78125,2.78125,176000,2.84375,2.84375,2.84375
10-09-1993,2.8125,2.84375,145600,2.90625,2.90625,2.90625
13-09-1993,2.84375,2.90625,10400,2.90625,2.84375,2.84375
14-09-1993,2.84375,2.84375,108800,2.9375,2.9375,2.9375
15-09-1993,2.875,2.875,31200,2.9375,2.9375,2.9375
16-09-1993,2.875,2.9375,40800,2.9375,2.9375,2.9375
17-09-1993,2.875,2.9375,24800,2.9375,2.9375,2.9375
20-09-1993,2.875,2.9375,144800,2.96875,2.96875,2.96875
21-09-1993,2.9375,2.96875,152000,3.0,3.0,3.0
22-09-1993,2.9375,2.9375,208000,3.0,2.9375,2.9375
23-09-1993,2.9375,3.0,478400,3.0625,3.03125,3.03125
24-09-1993,3.03125,3.125,47200,3.125,3.03125,3.03125
27-09-1993,3.03125,3.09375,85600,3.09375,3.03125,3.03125
28-09-1993,3.03125,3.03125,664000,3.09375,3.09375,3.09375
29-09-1993,3.03125,3.09375,144800,3.09375,3.03125,3.03125
30-09-1993,2.875,3.09375,970400,3.09375,2.90625,2.90625
01-10-1993,2.90625,2.96875,132800,2.96875,2.96875,2.96875
04-10-1993,2.953125,2.96875,26400,2.96875,2.96875,2.96875
05-10-1993,2.9375,2.96875,300000,3.0,2.96875,2.96875
06-10-1993,2.9375,3.03125,34400,3.03125,2.96875,2.96875
07-10-1993,2.96875,3.03125,18400,3.03125,3.03125,3.03125
08-10-1993,2.96875,3.03125,55200,3.09375,3.09375,3.09375
11-10-1993,3.0,3.09375,125600,3.125,3.09375,3.09375
12-10-1993,3.15625,3.15625,242400,3.34375,3.3125,3.3125
13-10-1993,3.21875,3.3125,109600,3.3125,3.25,3.25
14-10-1993,3.21875,3.21875,42400,3.28125,3.28125,3.28125
15-10-1993,3.28125,3.34375,210400,3.5625,3.5625,3.5625
18-10-1993,3.5625,3.59375,160000,3.65625,3.625,3.625
19-10-1993,3.5625,3.625,84000,3.65625,3.625,3.625
20-10-1993,3.59375,3.65625,72800,3.6875,3.6875,3.6875
21-10-1993,3.71875,3.8125,226400,3.9375,3.875,3.875
22-10-1993,3.6875,3.875,720800,4.0625,3.6875,3.6875
25-10-1993,3.59375,3.59375,98400,3.6875,3.625,3.625
26-10-1993,3.65625,3.6875,56800,3.8125,3.75,3.75
27-10-1993,3.84375,3.875,104800,3.90625,3.90625,3.90625
28-10-1993,3.84375,3.90625,52800,3.90625,3.90625,3.90625
29-10-1993,3.84375,3.90625,329600,3.9375,3.84375,3.84375
01-11-1993,3.84375,3.9375,74400,3.9375,3.84375,3.84375
02-11-1993,3.84375,3.84375,87200,3.96875,3.96875,3.96875
03-11-1993,3.84375,3.875,308000,3.9375,3.84375,3.84375
04-11-1993,3.8125,3.9375,49600,3.9375,3.875,3.875
05-11-1993,3.65625,3.78125,105600,3.8125,3.71875,3.71875
