Date,Low,Open,Volume,High,Close,Adjusted Close
28-01-2000,12.0,12.0,11192000,12.1875,12.0,6.674874782562256
31-01-2000,12.0,12.0,1880900,12.0625,12.0625,6.709639072418213
01-02-2000,12.0,12.0,367100,12.0625,12.0,6.674874782562256
02-02-2000,12.0,12.0,697400,12.0625,12.0625,6.709639072418213
03-02-2000,12.0,12.0,579800,12.0625,12.0,6.674874782562256
04-02-2000,11.25,12.0,1681900,12.0625,11.375,6.327224254608154
07-02-2000,10.5,11.125,927200,11.125,10.8125,6.014338493347168
08-02-2000,9.75,10.75,795400,10.875,9.875,5.492863655090332
09-02-2000,9.75,9.875,1710100,10.25,10.125,5.631923675537109
10-02-2000,10.4375,10.5,571500,11.25,10.625,5.910045623779297
11-02-2000,10.0,10.75,1062000,10.9375,10.0625,5.597158908843994
14-02-2000,9.75,10.1875,289000,10.3125,9.8125,5.458098411560059
15-02-2000,9.9375,10.0,541400,10.625,10.4375,5.805750370025635
16-02-2000,10.25,10.5625,360700,10.625,10.5625,5.875277996063232
17-02-2000,10.25,10.875,291600,10.875,10.375,5.7709856033325195
18-02-2000,10.3125,10.5,330700,10.75,10.5,5.84051513671875
22-02-2000,9.875,10.25,314500,10.625,10.3125,5.73621940612793
23-02-2000,9.8125,9.9375,494300,10.3125,10.125,5.631923675537109
24-02-2000,9.875,10.125,919900,10.3125,9.9375,5.527628421783447
25-02-2000,10.0,10.3125,1095500,10.625,10.4375,5.805750370025635
28-02-2000,10.0,10.25,366800,10.3125,10.125,5.631923675537109
29-02-2000,10.0,10.125,1652500,11.25,10.875,6.049103260040283
01-03-2000,10.875,10.875,266700,11.25,11.0,6.118633270263672
02-03-2000,10.8125,10.875,890300,11.9375,11.5,6.396754741668701
03-03-2000,10.875,11.5,160300,11.5,10.9375,6.083868980407715
06-03-2000,10.375,10.5,242800,10.8125,10.75,5.979573726654053
07-03-2000,10.0625,10.625,393500,10.75,10.25,5.7014546394348145
08-03-2000,9.875,10.1875,424200,10.5,10.375,5.7709856033325195
09-03-2000,10.25,10.3125,310100,10.8125,10.5,5.84051513671875
10-03-2000,10.0,10.5,168900,10.5,10.25,5.7014546394348145
13-03-2000,9.5625,10.0,1767400,10.125,9.75,5.423336505889893
14-03-2000,9.75,9.75,660500,10.125,9.875,5.492863655090332
15-03-2000,9.25,9.875,1231100,9.875,9.625,5.353805065155029
16-03-2000,9.5,9.8125,404100,10.25,9.75,5.423336505889893
17-03-2000,9.25,9.75,814800,9.9375,9.5625,5.319039344787598
20-03-2000,9.5,9.6875,473200,9.875,9.625,5.353805065155029
21-03-2000,9.5,9.5625,176200,9.8125,9.625,5.353805065155029
22-03-2000,9.5,9.625,430300,9.75,9.5625,5.319039344787598
23-03-2000,9.5,9.5,477400,9.8125,9.6875,5.388569355010986
24-03-2000,9.5625,9.5625,236700,9.875,9.75,5.423336505889893
27-03-2000,9.75,9.75,67600,10.0,9.875,5.492863655090332
28-03-2000,9.75,9.875,157900,10.0,9.8125,5.458098411560059
29-03-2000,9.8125,9.8125,253000,9.9375,9.8125,5.458098411560059
30-03-2000,9.8125,9.8125,235200,10.125,9.8125,5.458098411560059
31-03-2000,9.75,9.8125,627300,10.5,10.5,5.84051513671875
03-04-2000,10.0625,10.375,108400,10.375,10.3125,5.73621940612793
04-04-2000,10.0,10.375,411000,10.375,10.0625,5.597158908843994
05-04-2000,9.875,9.9375,196100,10.375,10.25,5.7014546394348145
06-04-2000,10.125,10.25,296700,11.125,10.8125,6.014338493347168
07-04-2000,10.25,10.5,262800,10.625,10.5,5.84051513671875
10-04-2000,10.25,10.5,139400,10.75,10.3125,5.73621940612793
11-04-2000,10.25,10.25,315000,10.625,10.5625,5.875277996063232
12-04-2000,10.5625,10.5625,392000,11.0,10.8125,6.014338493347168
13-04-2000,10.625,10.6875,243200,10.8125,10.625,5.910045623779297
14-04-2000,10.0,10.5,269900,10.625,10.125,5.631923675537109
17-04-2000,10.0,10.0,321300,10.375,10.375,5.7709856033325195
18-04-2000,10.25,10.375,862200,10.8125,10.625,5.910045623779297
19-04-2000,10.5,10.5,531900,11.25,10.9375,6.083868980407715
20-04-2000,10.625,10.9375,193500,11.0,10.625,5.910045623779297
24-04-2000,10.75,10.75,355700,11.375,10.875,6.049103260040283
25-04-2000,11.0,11.0625,621900,11.5625,11.25,6.257697105407715
26-04-2000,11.0,11.25,391800,11.375,11.0,6.118633270263672
27-04-2000,10.8125,11.0,246300,11.25,10.8125,6.014338493347168
28-04-2000,11.0,11.125,284100,11.875,11.875,6.605344772338867
01-05-2000,11.375,11.75,138900,11.9375,11.625,6.466286659240723
02-05-2000,11.5625,11.875,159200,11.875,11.75,6.5358171463012695
03-05-2000,11.5,11.625,105600,11.6875,11.5625,6.431522369384766
04-05-2000,11.5,11.5625,180500,11.75,11.75,6.5358171463012695
05-05-2000,11.5625,11.625,240000,12.0,11.9375,6.640110492706299
08-05-2000,11.75,11.875,117900,12.0,11.875,6.605344772338867
09-05-2000,11.625,11.75,87000,11.875,11.8125,6.570580959320068
10-05-2000,11.5625,11.75,383700,12.0625,12.0,6.674874782562256
11-05-2000,11.75,11.875,404400,12.0625,12.0,6.674874782562256
12-05-2000,11.9375,12.0,171600,12.125,12.0,6.674874782562256
15-05-2000,12.0,12.0,227300,12.75,12.625,7.022520542144775
16-05-2000,12.125,12.5,251500,12.625,12.375,6.8834638595581055
