Date,Low,Open,Volume,High,Close,Adjusted Close
28-04-1993,9.0,9.125,7821000,9.375,9.125,5.244569778442383
29-04-1993,9.125,9.125,2118800,9.3125,9.3125,5.352338790893555
30-04-1993,9.125,9.375,536800,9.375,9.1875,5.280493259429932
03-05-1993,9.0625,9.125,509600,9.1875,9.1875,5.280493259429932
04-05-1993,8.9375,9.1875,787400,9.1875,9.0625,5.208651542663574
05-05-1993,8.875,9.0,747200,9.0625,8.875,5.100886344909668
06-05-1993,8.8125,8.9375,392800,9.0,8.8125,5.064962387084961
07-05-1993,8.8125,8.875,180000,8.9375,8.875,5.100886344909668
10-05-1993,8.875,8.9375,269600,9.0625,8.875,5.100886344909668
11-05-1993,8.875,8.9375,109400,8.9375,8.9375,5.136807918548584
12-05-1993,8.6875,8.875,110800,8.875,8.8125,5.064962387084961
13-05-1993,8.75,8.8125,171000,8.8125,8.75,5.029041767120361
14-05-1993,8.75,8.75,166800,8.875,8.75,5.029041767120361
17-05-1993,8.5625,8.75,132000,8.75,8.625,4.9571990966796875
18-05-1993,8.0,8.625,534400,8.625,8.25,4.741668701171875
19-05-1993,8.375,8.375,203600,8.5625,8.4375,4.8494343757629395
20-05-1993,7.9375,8.3125,1189000,8.375,8.125,4.669822692871094
21-05-1993,8.0,8.1875,475600,8.25,8.1875,4.705745697021484
24-05-1993,8.0,8.25,719200,8.25,8.125,4.669822692871094
25-05-1993,7.8125,8.0,326600,8.0625,7.9375,4.5620598793029785
26-05-1993,8.0,8.0,209200,8.3125,8.25,4.741668701171875
27-05-1993,8.25,8.375,307800,8.5625,8.5,4.8853535652160645
28-05-1993,8.4375,8.625,986400,8.8125,8.6875,4.9931182861328125
01-06-1993,8.4375,8.75,116800,8.75,8.5,4.8853535652160645
02-06-1993,8.4375,8.5,205200,8.6875,8.6875,4.9931182861328125
03-06-1993,8.5,8.6875,92000,8.6875,8.5,4.8853535652160645
04-06-1993,8.5,8.5625,118200,8.625,8.5625,4.921276569366455
07-06-1993,8.5,8.5,60000,8.6875,8.625,4.9571990966796875
08-06-1993,8.5,8.625,298200,8.625,8.5625,4.921276569366455
09-06-1993,8.4375,8.5625,27400,8.5625,8.4375,4.8494343757629395
10-06-1993,8.4375,8.4375,153600,8.625,8.5625,4.921276569366455
11-06-1993,8.5625,8.6875,84200,8.8125,8.8125,5.064962387084961
14-06-1993,8.75,8.9375,434000,9.0,8.9375,5.136807918548584
15-06-1993,8.8125,8.875,169600,9.125,8.875,5.100886344909668
16-06-1993,8.875,8.875,288200,9.0625,8.9375,5.136807918548584
17-06-1993,8.8125,9.0,165400,9.0,8.9375,5.136807918548584
18-06-1993,8.8125,8.9375,89400,9.0,8.875,5.100886344909668
21-06-1993,8.8125,8.8125,34200,8.9375,8.875,5.100886344909668
22-06-1993,8.8125,8.9375,143000,9.0625,8.875,5.100886344909668
23-06-1993,8.75,8.875,23600,9.0,8.75,5.029041767120361
24-06-1993,8.75,8.75,58200,9.0,8.8125,5.064962387084961
25-06-1993,8.8125,8.8125,370000,9.25,9.1875,5.280493259429932
28-06-1993,9.0625,9.1875,135200,9.625,9.5625,5.496025562286377
29-06-1993,9.4375,9.75,575600,9.75,9.5,5.460103511810303
30-06-1993,9.375,9.5,132000,9.5,9.5,5.460103511810303
01-07-1993,9.4375,9.5,120800,9.625,9.625,5.531944274902344
02-07-1993,9.5,9.625,239400,9.75,9.5,5.460103511810303
06-07-1993,9.3125,9.5,87200,9.625,9.3125,5.352338790893555
07-07-1993,9.1875,9.375,74400,9.375,9.25,5.316413402557373
08-07-1993,9.25,9.3125,104000,9.5625,9.5,5.460103511810303
09-07-1993,9.4375,9.5,302600,9.5625,9.5,5.460103511810303
12-07-1993,9.4375,9.5625,98200,9.5625,9.5,5.460103511810303
13-07-1993,9.4375,9.5,212400,9.5625,9.5,5.460103511810303
14-07-1993,9.5,9.5,153200,9.75,9.75,5.60378885269165
15-07-1993,9.6875,9.75,133800,9.75,9.75,5.60378885269165
16-07-1993,9.625,9.75,126000,9.75,9.75,5.60378885269165
19-07-1993,9.6875,9.6875,244800,9.8125,9.75,5.60378885269165
20-07-1993,9.6875,9.75,111000,9.75,9.75,5.60378885269165
21-07-1993,9.75,9.8125,117400,9.9375,9.9375,5.711552619934082
22-07-1993,9.9375,9.9375,240600,10.125,10.0625,5.783396244049072
23-07-1993,9.875,10.0625,138200,10.125,9.875,5.675633430480957
26-07-1993,9.75,9.875,236200,10.0625,10.0625,5.783396244049072
27-07-1993,10.125,10.125,259200,10.3125,10.25,5.891163349151611
28-07-1993,10.6875,10.75,583200,11.1875,11.0625,6.358144283294678
29-07-1993,11.125,11.1875,344800,11.6875,11.4375,6.573677062988281
30-07-1993,11.4375,11.5,217800,11.6875,11.6875,6.717364311218262
02-08-1993,11.625,11.6875,511400,11.875,11.625,6.681441783905029
03-08-1993,11.125,11.625,161000,11.625,11.5,6.6095967292785645
04-08-1993,11.375,11.375,129200,11.875,11.8125,6.7892069816589355
05-08-1993,11.875,11.875,270200,12.3125,12.1875,7.0047383308410645
06-08-1993,11.875,12.0625,397600,12.125,11.9375,6.861048221588135
09-08-1993,11.875,11.9375,148200,12.0625,12.0,6.896970748901367
10-08-1993,11.625,12.0,104000,12.0,11.6875,6.717364311218262
11-08-1993,11.6875,11.6875,77400,11.875,11.75,6.753286838531494
12-08-1993,11.4375,11.75,64000,11.75,11.75,6.753286838531494
13-08-1993,11.5625,11.75,17600,11.75,11.6875,6.717364311218262
16-08-1993,11.5,11.6875,119600,11.75,11.75,6.753286838531494
17-08-1993,11.625,11.625,82800,11.9375,11.9375,6.861048221588135
18-08-1993,12.0,12.0,98800,12.25,12.0,6.896970748901367
19-08-1993,11.8125,12.0,96600,12.125,12.125,6.968810558319092
20-08-1993,11.8125,12.0,43600,12.0625,12.0,6.896970748901367
23-08-1993,11.875,11.9375,280200,12.0,12.0,6.896970748901367
24-08-1993,12.0,12.0,279000,12.1875,12.0625,6.932892322540283
25-08-1993,12.0625,12.0625,97600,12.3125,12.3125,7.076578617095947
26-08-1993,11.9375,12.1875,258600,12.1875,12.0,6.999295711517334
27-08-1993,11.4375,12.0625,315800,12.0625,11.5625,6.744113445281982
30-08-1993,11.5,11.5,31600,11.8125,11.8125,6.889932155609131
31-08-1993,11.8125,11.875,58600,11.9375,11.875,6.92638635635376
01-09-1993,11.75,11.875,104000,12.125,12.0625,7.035748481750488
02-09-1993,12.0625,12.0625,174600,12.4375,12.4375,7.2544755935668945
03-09-1993,12.1875,12.4375,349000,12.5,12.25,7.145112991333008
07-09-1993,12.0625,12.0625,86200,12.25,12.1875,7.108661651611328
08-09-1993,12.0,12.1875,123000,12.1875,12.0625,7.035748481750488
09-09-1993,11.875,11.9375,41200,12.0625,11.9375,6.962841510772705
10-09-1993,11.6875,11.8125,126000,11.875,11.75,6.853476047515869
13-09-1993,11.75,11.875,143600,11.875,11.8125,6.889932155609131
14-09-1993,11.3125,11.75,412400,11.75,11.4375,6.671201705932617
15-09-1993,11.25,11.3125,195200,11.4375,11.4375,6.671201705932617
16-09-1993,11.375,11.4375,125400,11.625,11.5625,6.744113445281982
17-09-1993,11.5,11.5,227600,11.625,11.5625,6.744113445281982
20-09-1993,11.6875,11.6875,48200,11.875,11.875,6.92638635635376
21-09-1993,11.5625,11.8125,17600,11.9375,11.5625,6.744113445281982
22-09-1993,11.5,11.5625,47800,11.6875,11.6875,6.817020416259766
23-09-1993,11.75,11.75,218600,12.125,12.0,6.999295711517334
24-09-1993,11.9375,12.0625,43600,12.125,12.0,6.999295711517334
27-09-1993,11.875,12.0625,44600,12.125,11.9375,6.962841510772705
28-09-1993,11.8125,11.9375,24200,12.0,12.0,6.999295711517334
29-09-1993,12.0,12.125,16800,12.125,12.125,7.07220458984375
30-09-1993,12.0625,12.0625,36000,12.375,12.25,7.145112991333008
01-10-1993,12.0,12.25,87200,12.4375,12.0,6.999295711517334
04-10-1993,11.9375,12.0,87600,12.0625,11.9375,6.962841510772705
05-10-1993,11.875,11.9375,20400,12.0,11.9375,6.962841510772705
06-10-1993,12.0,12.0,29400,12.25,12.25,7.145112991333008
07-10-1993,12.125,12.25,50400,12.375,12.1875,7.108661651611328
08-10-1993,11.75,12.1875,287000,12.1875,11.8125,6.889932155609131
11-10-1993,11.875,11.875,9000,12.0625,12.0,6.999295711517334
12-10-1993,12.0,12.0,11000,12.1875,12.0625,7.035748481750488
13-10-1993,12.0,12.1875,26200,12.1875,12.0,6.999295711517334
14-10-1993,11.6875,12.0,50600,12.0,11.8125,6.889932155609131
15-10-1993,11.5625,11.8125,146000,11.8125,11.75,6.853476047515869
18-10-1993,12.0,12.0,500800,12.8125,12.75,7.43674898147583
19-10-1993,12.375,12.6875,179400,12.6875,12.5625,7.327387809753418
20-10-1993,12.1875,12.5,159800,12.5,12.25,7.145112991333008
21-10-1993,12.25,12.25,84200,12.625,12.5625,7.327387809753418
22-10-1993,12.5,12.5625,157400,12.75,12.75,7.43674898147583
25-10-1993,12.75,12.75,230200,13.5,13.125,7.655479907989502
26-10-1993,13.0,13.1875,145400,13.625,13.25,7.728389263153076
27-10-1993,13.375,13.375,426600,13.75,13.5,7.874204635620117
28-10-1993,13.4375,13.5,369800,13.75,13.5,7.874204635620117
29-10-1993,13.25,13.5,81600,13.5,13.25,7.728389263153076
01-11-1993,13.1875,13.1875,121600,13.625,13.5,7.874204635620117
02-11-1993,13.0,13.375,98200,13.4375,13.1875,7.691932678222656
03-11-1993,13.0,13.1875,16200,13.1875,13.0625,7.619025707244873
04-11-1993,12.75,13.0,21200,13.0,12.75,7.43674898147583
05-11-1993,11.75,12.625,102000,12.625,12.375,7.218024253845215
08-11-1993,12.375,12.375,35000,12.5625,12.4375,7.2544755935668945
09-11-1993,12.4375,12.4375,161200,12.625,12.5,7.29093074798584
10-11-1993,12.4375,12.5,175000,12.8125,12.75,7.43674898147583
11-11-1993,12.75,12.8125,116400,12.875,12.8125,7.473207473754883
12-11-1993,12.75,12.8125,21000,12.875,12.8125,7.473207473754883
15-11-1993,12.6875,12.8125,17800,13.0625,13.0625,7.619025707244873
16-11-1993,13.1875,13.375,115600,13.375,13.25,7.728389263153076
17-11-1993,13.125,13.3125,53200,13.375,13.25,7.728389263153076
18-11-1993,12.8125,13.25,69200,13.25,12.8125,7.473207473754883
19-11-1993,12.6875,12.875,16400,12.875,12.8125,7.473207473754883
22-11-1993,12.3125,12.8125,29600,12.8125,12.5,7.29093074798584
23-11-1993,12.375,12.5,7600,12.5,12.375,7.218024253845215
24-11-1993,12.4375,12.4375,24600,12.9375,12.9375,7.6013970375061035
26-11-1993,12.9375,12.9375,2000,12.9375,12.9375,7.6013970375061035
29-11-1993,12.75,13.0,19600,13.0,12.9375,7.6013970375061035
30-11-1993,12.8125,12.8125,7400,12.9375,12.875,7.5646748542785645
01-12-1993,12.875,12.875,36400,13.0,12.9375,7.6013970375061035
02-12-1993,12.8125,12.9375,30800,12.9375,12.875,7.5646748542785645
03-12-1993,12.8125,12.8125,30600,13.0,12.9375,7.6013970375061035
06-12-1993,12.5625,13.0,27000,13.0,12.6875,7.454507350921631
07-12-1993,12.4375,12.5625,11000,12.6875,12.5,7.3443427085876465
08-12-1993,12.4375,12.5,10200,12.6875,12.6875,7.454507350921631
09-12-1993,12.625,12.6875,62400,12.75,12.75,7.491232872009277
10-12-1993,12.5625,12.75,20000,12.75,12.75,7.491232872009277
13-12-1993,12.625,12.625,8000,12.75,12.75,7.491232872009277
14-12-1993,12.4375,12.625,13800,12.625,12.5625,7.381068706512451
15-12-1993,12.3125,12.5,6000,12.5625,12.3125,7.234182834625244
16-12-1993,11.75,12.25,126000,12.25,12.125,7.124015808105469
17-12-1993,12.125,12.25,56800,12.375,12.25,7.197459697723389
20-12-1993,12.125,12.125,46200,12.5,12.375,7.270902633666992
21-12-1993,12.375,12.375,15200,12.5625,12.5625,7.381068706512451
22-12-1993,12.375,12.5,199400,12.5,12.4375,7.307620525360107
23-12-1993,12.5,12.5,67400,12.8125,12.75,7.491232872009277
27-12-1993,12.75,12.75,18200,12.9375,12.9375,7.6013970375061035
28-12-1993,13.0,13.0,55800,13.375,13.375,7.858449935913086
29-12-1993,13.125,13.1875,41800,13.375,13.125,7.7115631103515625
30-12-1993,13.125,13.1875,10600,13.25,13.25,7.785007953643799
31-12-1993,13.375,13.375,33800,13.5,13.375,7.858449935913086
03-01-1994,13.25,13.4375,43800,13.5,13.25,7.785007953643799
04-01-1994,13.3125,13.3125,38200,13.5625,13.5625,7.968618869781494
05-01-1994,13.1875,13.4375,19600,13.5625,13.25,7.785007953643799
06-01-1994,13.1875,13.25,25400,13.3125,13.1875,7.748283863067627
07-01-1994,13.125,13.25,92800,13.375,13.1875,7.748283863067627
10-01-1994,13.1875,13.25,80200,13.5625,13.5625,7.968618869781494
11-01-1994,13.3125,13.5625,44600,13.5625,13.375,7.858449935913086
12-01-1994,13.3125,13.3125,11200,13.5,13.4375,7.895169734954834
13-01-1994,13.25,13.4375,52200,13.4375,13.375,7.858449935913086
14-01-1994,13.3125,13.4375,10600,13.4375,13.4375,7.895169734954834
17-01-1994,13.4375,13.5,64400,14.1875,14.125,8.29910945892334
18-01-1994,14.0,14.125,66000,14.1875,14.0,8.225668907165527
19-01-1994,13.75,14.0625,15200,14.0625,13.75,8.078781127929688
20-01-1994,13.625,13.625,14400,13.9375,13.9375,8.188949584960938
21-01-1994,13.75,13.9375,70200,14.0,14.0,8.225668907165527
24-01-1994,14.0,14.0,14000,14.0625,14.0625,8.262388229370117
25-01-1994,14.0,14.0625,44600,14.0625,14.0625,8.262388229370117
26-01-1994,13.875,14.0625,13800,14.0625,13.875,8.152219772338867
27-01-1994,13.5625,13.75,62000,13.8125,13.625,8.005334854125977
28-01-1994,13.5625,13.75,22400,13.75,13.5625,7.968618869781494
31-01-1994,13.5625,13.5625,139800,13.625,13.5625,7.968618869781494
01-02-1994,13.4375,13.5625,120800,13.625,13.5625,7.968618869781494
02-02-1994,13.4375,13.5625,31600,13.5625,13.5625,7.968618869781494
03-02-1994,13.4375,13.5625,41000,13.5625,13.4375,7.895169734954834
04-02-1994,13.375,13.4375,165400,13.5625,13.375,7.858449935913086
07-02-1994,13.3125,13.375,27400,13.4375,13.3125,7.8217291831970215
08-02-1994,13.375,13.4375,221000,14.3125,14.125,8.29910945892334
09-02-1994,14.0,14.25,170000,14.5,14.0625,8.262388229370117
10-02-1994,14.0,14.0,97600,14.1875,14.0,8.225668907165527
11-02-1994,13.625,13.6875,83400,13.8125,13.8125,8.11550521850586
14-02-1994,13.8125,13.8125,28600,13.9375,13.875,8.152219772338867
15-02-1994,13.625,13.8125,29400,13.8125,13.625,8.005334854125977
16-02-1994,13.375,13.5,42600,13.6875,13.375,7.858449935913086
17-02-1994,13.375,13.4375,71800,13.6875,13.5,7.931891918182373
18-02-1994,13.375,13.5625,34800,13.5625,13.5,7.931891918182373
22-02-1994,13.25,13.375,44400,13.4375,13.25,7.785007953643799
23-02-1994,13.0625,13.25,77800,13.3125,13.3125,7.875219821929932
