Date,Low,Open,Volume,High,Close,Adjusted Close
03-10-1995,18.5,18.75,10364800,19.875,19.625,13.567538261413574
04-10-1995,18.75,19.5,1810800,19.625,18.75,12.962620735168457
05-10-1995,19.0,19.125,1216500,19.5,19.375,13.394708633422852
06-10-1995,19.375,19.625,1538100,19.875,19.875,13.74038028717041
09-10-1995,19.375,19.875,869200,19.875,19.375,13.394708633422852
10-10-1995,19.0,19.375,840800,19.5,19.25,13.308295249938965
11-10-1995,19.25,19.375,630400,19.5,19.375,13.394708633422852
12-10-1995,19.125,19.375,519700,19.5,19.375,13.394708633422852
13-10-1995,19.5,19.5,557300,20.0,20.0,13.826794624328613
16-10-1995,19.625,20.125,188700,20.125,19.75,13.653958320617676
17-10-1995,19.625,19.75,244600,19.875,19.75,13.653958320617676
18-10-1995,19.5,19.625,152500,19.75,19.625,13.567538261413574
19-10-1995,19.5,19.5,180400,19.625,19.625,13.567538261413574
20-10-1995,19.375,19.625,298900,19.75,19.5,13.481123924255371
23-10-1995,19.125,19.25,731100,19.375,19.25,13.308295249938965
24-10-1995,19.0,19.375,670500,19.375,19.0,13.135451316833496
25-10-1995,19.0,19.125,749900,19.25,19.0,13.135451316833496
26-10-1995,19.0,19.125,810900,19.125,19.0,13.135451316833496
27-10-1995,19.0,19.0,460500,19.25,19.25,13.308295249938965
30-10-1995,19.25,19.375,76200,19.375,19.25,13.308295249938965
31-10-1995,19.875,20.75,2034100,20.75,20.375,14.086047172546387
01-11-1995,20.0,20.25,398600,20.5,20.375,14.086047172546387
02-11-1995,20.375,20.375,221200,20.5,20.5,14.172467231750488
03-11-1995,20.375,20.5,306800,20.875,20.75,14.345290184020996
06-11-1995,20.625,20.625,137200,21.25,20.625,14.258882522583008
07-11-1995,20.375,20.625,566300,20.625,20.625,14.258882522583008
08-11-1995,20.5,20.5,264700,20.875,20.75,14.345290184020996
09-11-1995,20.625,20.625,70700,20.75,20.75,14.345290184020996
10-11-1995,20.375,20.625,190500,20.625,20.375,14.086047172546387
13-11-1995,20.375,20.375,135900,20.625,20.5,14.172467231750488
14-11-1995,20.5,20.625,206900,20.75,20.625,14.258882522583008
15-11-1995,20.25,20.5,615500,20.625,20.5,14.172467231750488
16-11-1995,20.375,20.75,381400,21.0,20.375,14.106681823730469
17-11-1995,20.375,20.5,178000,20.875,20.625,14.279777526855469
20-11-1995,20.5,20.75,377000,21.375,20.5,14.193236351013184
21-11-1995,20.5,20.625,391400,20.75,20.75,14.366324424743652
22-11-1995,20.5,20.5,92600,20.875,20.875,14.45287036895752
24-11-1995,20.75,20.875,7900,20.875,20.875,14.45287036895752
27-11-1995,20.625,20.75,455000,21.125,20.75,14.366324424743652
28-11-1995,20.75,21.0,130200,21.0,20.75,14.366324424743652
29-11-1995,20.75,20.75,59500,20.875,20.75,14.366324424743652
30-11-1995,20.625,20.625,180100,21.0,20.875,14.45287036895752
01-12-1995,20.875,21.0,94400,21.25,21.25,14.712505340576172
04-12-1995,21.0,21.25,228600,21.25,21.0,14.539413452148438
05-12-1995,20.875,21.0,251400,21.125,21.125,14.625962257385254
06-12-1995,21.0,21.25,109900,21.25,21.0,14.539413452148438
07-12-1995,21.25,21.25,171800,21.625,21.375,14.799033164978027
08-12-1995,21.0,21.125,224000,21.375,21.25,14.712505340576172
11-12-1995,21.25,21.25,123800,21.75,21.5,14.88558578491211
12-12-1995,21.25,21.5,192100,21.625,21.5,14.88558578491211
13-12-1995,21.375,21.5,81800,21.875,21.625,14.972138404846191
14-12-1995,21.875,21.875,251200,22.375,21.875,15.145215034484863
15-12-1995,22.0,22.0,220800,22.5,22.25,15.404851913452148
18-12-1995,21.875,22.125,320900,22.125,22.125,15.318306922912598
19-12-1995,21.875,22.0,361400,23.0,23.0,15.924118041992188
20-12-1995,22.375,23.25,168300,23.375,22.375,15.491397857666016
21-12-1995,22.375,22.375,90300,23.0,22.875,15.837581634521484
22-12-1995,22.625,23.0,104500,23.0,22.875,15.837581634521484
26-12-1995,22.625,22.625,109100,23.0,23.0,15.924118041992188
27-12-1995,22.75,23.0,108400,23.0,22.875,15.837581634521484
28-12-1995,22.625,23.0,74100,23.0,22.625,15.664490699768066
29-12-1995,22.625,22.625,230800,23.5,23.375,16.18373680114746
02-01-1996,22.25,23.25,237100,23.25,22.875,15.837581634521484
03-01-1996,22.5,22.75,249500,22.875,22.75,15.751021385192871
04-01-1996,22.0,22.5,276800,22.5,22.25,15.404851913452148
05-01-1996,22.25,22.25,171100,22.5,22.5,15.577948570251465
08-01-1996,22.25,22.5,62200,22.5,22.375,15.491397857666016
09-01-1996,22.0,22.5,65300,22.5,22.375,15.491397857666016
10-01-1996,22.125,22.25,535400,22.625,22.375,15.491397857666016
11-01-1996,22.0,22.375,83400,22.375,22.25,15.404851913452148
12-01-1996,22.25,22.25,60200,22.5,22.375,15.491397857666016
15-01-1996,22.25,22.5,76800,22.625,22.25,15.404851913452148
16-01-1996,22.125,22.375,81000,22.625,22.25,15.404851913452148
17-01-1996,22.25,22.5,50800,22.625,22.375,15.491397857666016
18-01-1996,22.0,22.125,972000,22.375,22.0,15.231765747070312
19-01-1996,21.375,21.875,102800,22.0,22.0,15.231765747070312
22-01-1996,20.375,21.75,449000,21.75,20.75,14.366324424743652
23-01-1996,21.0,21.0,798600,22.25,21.875,15.145215034484863
24-01-1996,21.875,21.875,269500,22.625,22.5,15.577948570251465
25-01-1996,22.0,22.75,181200,22.75,22.0,15.231765747070312
26-01-1996,21.875,22.0,136500,22.0,21.875,15.145215034484863
29-01-1996,21.875,21.875,102200,22.625,22.5,15.577948570251465
30-01-1996,22.125,22.5,315200,22.625,22.375,15.491397857666016
31-01-1996,21.625,22.125,607200,22.25,21.75,15.058670043945312
01-02-1996,21.75,21.875,363500,22.0,22.0,15.231765747070312
02-02-1996,21.875,22.0,124700,22.0,22.0,15.231765747070312
05-02-1996,21.25,22.0,206800,22.0,21.25,14.712505340576172
06-02-1996,20.125,21.125,648100,21.375,20.875,14.45287036895752
07-02-1996,20.5,20.75,454500,21.125,20.75,14.366324424743652
08-02-1996,20.75,21.25,757100,21.5,21.5,14.88558578491211
09-02-1996,21.375,21.5,531000,22.0,21.875,15.145215034484863
12-02-1996,21.875,21.875,315400,22.625,22.625,15.664490699768066
13-02-1996,22.375,22.625,123600,22.625,22.5,15.577948570251465
14-02-1996,22.125,22.5,175900,22.5,22.25,15.425418853759766
15-02-1996,22.25,22.25,143600,22.625,22.5,15.598746299743652
16-02-1996,22.375,22.5,83500,23.25,23.25,16.11869239807129
20-02-1996,22.75,23.0,819300,23.0,22.75,15.772050857543945
21-02-1996,22.625,23.0,953000,23.0,22.75,15.772050857543945
22-02-1996,22.875,22.875,600900,23.125,23.125,16.032033920288086
23-02-1996,23.0,23.25,254900,23.375,23.125,16.032033920288086
26-02-1996,22.75,23.0,177500,23.0,23.0,15.945378303527832
27-02-1996,23.125,23.125,176400,23.75,23.5,16.292020797729492
28-02-1996,23.5,23.5,599900,24.75,24.5,16.98529624938965
29-02-1996,24.375,24.5,246500,24.625,24.5,16.98529624938965
01-03-1996,23.75,24.625,214200,24.625,23.875,16.551984786987305
04-03-1996,23.875,23.875,224200,25.125,25.0,17.33193016052246
05-03-1996,24.75,25.125,32900,25.125,24.875,17.24527359008789
06-03-1996,24.5,24.75,413900,25.125,25.0,17.33193016052246
07-03-1996,24.625,24.75,361200,25.0,24.625,17.071962356567383
08-03-1996,23.375,24.625,219800,24.625,23.5,16.292020797729492
11-03-1996,22.875,23.25,264200,23.5,23.0,15.945378303527832
12-03-1996,22.25,22.75,310900,22.875,22.5,15.598746299743652
13-03-1996,22.125,22.5,179200,22.5,22.25,15.425418853759766
14-03-1996,22.25,22.25,619100,22.875,22.5,15.598746299743652
15-03-1996,21.875,22.5,156900,22.625,22.0,15.252102851867676
18-03-1996,21.875,22.125,137400,22.375,22.25,15.425418853759766
19-03-1996,21.75,22.125,519300,22.375,22.375,15.512080192565918
20-03-1996,22.375,22.375,301600,22.875,22.625,15.685403823852539
21-03-1996,22.0,22.0,268700,22.5,22.25,15.425418853759766
22-03-1996,22.75,22.75,212600,23.875,23.875,16.551984786987305
25-03-1996,23.875,24.0,174400,24.25,24.125,16.725317001342773
26-03-1996,23.875,24.125,297700,24.25,24.0,16.63865852355957
27-03-1996,23.75,24.0,195900,24.125,24.0,16.63865852355957
28-03-1996,23.5,24.0,135700,24.0,23.625,16.378673553466797
29-03-1996,23.25,23.5,205600,23.625,23.625,16.378673553466797
01-04-1996,23.5,23.5,473900,24.25,24.25,16.811981201171875
02-04-1996,23.625,24.375,88900,24.375,23.75,16.465335845947266
03-04-1996,23.625,23.875,92300,24.0,23.75,16.465335845947266
04-04-1996,23.25,23.875,39100,23.875,23.375,16.20534324645996
08-04-1996,22.625,23.0,326500,23.0,23.0,15.945378303527832
09-04-1996,23.25,23.25,85000,23.75,23.625,16.378673553466797
10-04-1996,22.875,23.625,192500,23.875,23.125,16.032033920288086
11-04-1996,22.375,23.125,223500,23.125,22.75,15.772050857543945
12-04-1996,22.75,23.0,188800,23.125,23.0,15.945378303527832
15-04-1996,23.0,23.125,45600,23.125,23.125,16.032033920288086
16-04-1996,22.625,23.0,72400,23.0,22.75,15.772050857543945
17-04-1996,21.375,22.625,719200,22.625,21.5,14.905461311340332
18-04-1996,21.5,21.5,556000,22.625,22.5,15.598746299743652
19-04-1996,22.375,22.5,219500,22.625,22.375,15.512080192565918
22-04-1996,22.125,22.25,219200,22.375,22.375,15.512080192565918
23-04-1996,22.25,22.375,84500,22.375,22.375,15.512080192565918
24-04-1996,22.375,22.375,172200,22.625,22.5,15.598746299743652
25-04-1996,22.375,22.625,94300,22.625,22.375,15.512080192565918
26-04-1996,22.375,22.375,173700,22.5,22.375,15.512080192565918
29-04-1996,22.0,22.25,138800,22.25,22.0,15.252102851867676
30-04-1996,22.625,23.25,695100,23.25,22.75,15.772050857543945
01-05-1996,22.625,22.625,211500,22.75,22.75,15.772050857543945
02-05-1996,22.0,22.625,205700,22.625,22.125,15.338756561279297
03-05-1996,21.875,22.0,81400,22.0,22.0,15.252102851867676
06-05-1996,21.875,22.25,80200,22.25,22.0,15.252102851867676
07-05-1996,21.875,21.875,529200,23.125,23.125,16.032033920288086
08-05-1996,22.625,23.0,261100,23.125,23.125,16.032033920288086
09-05-1996,23.0,23.0,124600,23.125,23.125,16.032033920288086
10-05-1996,22.625,22.875,301600,23.375,23.125,16.032033920288086
13-05-1996,23.125,23.25,101800,23.5,23.375,16.20534324645996
14-05-1996,23.375,23.5,91200,23.875,23.875,16.551984786987305
15-05-1996,23.875,24.125,140300,24.625,24.375,16.89863395690918
16-05-1996,23.5,24.25,65700,24.25,23.75,16.465335845947266
17-05-1996,23.75,23.75,45000,24.0,24.0,16.63865852355957
20-05-1996,23.75,24.0,160400,24.0,23.75,16.465335845947266
21-05-1996,23.75,23.75,19900,24.0,23.875,16.551984786987305
22-05-1996,23.875,24.0,18000,24.0,23.875,16.551984786987305
23-05-1996,23.375,23.875,81500,23.875,23.5,16.292020797729492
24-05-1996,23.375,23.375,154700,24.125,24.0,16.63865852355957
28-05-1996,23.75,24.0,81900,24.125,23.75,16.465335845947266
29-05-1996,23.25,23.75,234200,23.75,23.25,16.11869239807129
30-05-1996,23.25,23.25,241900,23.75,23.5,16.292020797729492
31-05-1996,23.375,23.625,106300,23.625,23.375,16.20534324645996
03-06-1996,23.25,23.375,114400,23.625,23.625,16.399730682373047
04-06-1996,23.5,23.625,97300,23.75,23.625,16.399730682373047
05-06-1996,23.625,23.75,155400,24.25,24.125,16.746801376342773
06-06-1996,24.125,24.125,201600,24.75,24.75,17.1806583404541
07-06-1996,24.0,24.0,329000,24.625,24.5,17.007122039794922
10-06-1996,24.5,24.5,212600,24.625,24.5,17.007122039794922
11-06-1996,24.875,24.875,341900,26.5,25.75,17.874828338623047
12-06-1996,25.75,25.875,108400,26.125,25.75,17.874828338623047
13-06-1996,25.5,25.625,148900,26.0,25.5,17.70128631591797
14-06-1996,25.5,25.5,52400,25.875,25.625,17.788066864013672
17-06-1996,25.5,25.5,160600,26.25,26.0,18.04837417602539
18-06-1996,25.625,26.0,175500,26.125,25.875,17.961606979370117
19-06-1996,25.25,25.875,61400,25.875,25.25,17.52774429321289
20-06-1996,24.6875,25.25,340200,25.25,24.875,17.26744270324707
21-06-1996,24.25,25.0,97700,25.125,24.75,17.1806583404541
24-06-1996,24.25,24.75,108200,24.75,24.25,16.833581924438477
