Date,Low,Open,Volume,High,Close,Adjusted Close
01-10-2003,280.0,380.0,0,380.0,340.0,340.0
02-10-2003,340.0,340.0,0,340.0,340.0,340.0
03-10-2003,240.0,260.0,0,300.0,260.0,260.0
06-10-2003,200.0,240.0,0,260.0,220.0,220.0
07-10-2003,260.0,260.0,0,260.0,260.0,260.0
08-10-2003,160.0,180.0,0,200.0,180.0,180.0
09-10-2003,160.0,160.0,0,180.0,180.0,180.0
10-10-2003,200.0,200.0,0,200.0,200.0,200.0
13-10-2003,180.0,200.0,0,200.0,200.0,200.0
14-10-2003,260.0,300.0,0,300.0,280.0,280.0
15-10-2003,280.0,280.0,0,280.0,280.0,280.0
16-10-2003,200.0,200.0,0,260.0,260.0,260.0
17-10-2003,180.0,200.0,0,200.0,180.0,180.0
20-10-2003,180.0,180.0,0,220.0,220.0,220.0
21-10-2003,200.0,200.0,0,220.0,200.0,200.0
22-10-2003,200.0,200.0,0,200.0,200.0,200.0
23-10-2003,200.0,200.0,0,200.0,200.0,200.0
24-10-2003,200.0,200.0,0,200.0,200.0,200.0
27-10-2003,200.0,200.0,0,220.0,220.0,220.0
28-10-2003,220.0,220.0,0,220.0,220.0,220.0
29-10-2003,220.0,220.0,0,220.0,220.0,220.0
30-10-2003,180.0,240.0,0,240.0,200.0,200.0
31-10-2003,180.0,180.0,0,180.0,180.0,180.0
03-11-2003,200.0,220.0,0,220.0,220.0,220.0
04-11-2003,240.0,240.0,0,260.0,240.0,240.0
05-11-2003,260.0,260.0,0,320.0,320.0,320.0
06-11-2003,260.0,320.0,0,360.0,340.0,340.0
07-11-2003,340.0,340.0,100,400.0,360.0,360.0
10-11-2003,340.0,340.0,0,360.0,360.0,360.0
11-11-2003,360.0,360.0,0,360.0,360.0,360.0
12-11-2003,370.0,370.0,0,370.0,370.0,370.0
13-11-2003,220.0,220.0,0,370.0,370.0,370.0
14-11-2003,370.0,370.0,0,370.0,370.0,370.0
17-11-2003,370.0,370.0,0,370.0,370.0,370.0
18-11-2003,230.0,230.0,0,350.0,350.0,350.0
19-11-2003,240.0,350.0,0,350.0,320.0,320.0
20-11-2003,250.0,250.0,0,280.0,280.0,280.0
21-11-2003,250.0,250.0,0,280.0,276.0,276.0
24-11-2003,280.0,280.0,0,320.0,310.0,310.0
25-11-2003,320.0,340.0,0,350.0,350.0,350.0
26-11-2003,260.0,350.0,100,350.0,330.0,330.0
28-11-2003,260.0,260.0,0,280.0,280.0,280.0
01-12-2003,260.0,270.0,0,300.0,260.0,260.0
02-12-2003,260.0,260.0,0,300.0,300.0,300.0
03-12-2003,290.0,290.0,0,290.0,290.0,290.0
04-12-2003,260.0,262.0,0,280.0,262.0,262.0
05-12-2003,250.0,280.0,0,280.0,268.0,268.0
08-12-2003,256.0,270.0,0,270.0,260.0,260.0
09-12-2003,256.0,260.0,0,280.0,280.0,280.0
10-12-2003,256.0,270.0,0,270.0,256.0,256.0
11-12-2003,256.0,256.0,0,256.0,256.0,256.0
12-12-2003,260.0,260.0,0,260.0,260.0,260.0
15-12-2003,220.0,260.0,0,260.0,260.0,260.0
16-12-2003,220.0,260.0,0,260.0,260.0,260.0
17-12-2003,220.0,220.0,100,260.0,260.0,260.0
18-12-2003,240.0,260.0,0,260.0,240.0,240.0
19-12-2003,220.0,260.0,0,260.0,240.0,240.0
22-12-2003,230.0,244.0,0,244.0,240.0,240.0
23-12-2003,150.0,224.0,400,240.0,170.0,170.0
24-12-2003,154.0,154.0,0,180.0,170.0,170.0
26-12-2003,170.0,170.0,0,170.0,170.0,170.0
29-12-2003,206.0,206.0,0,220.0,220.0,220.0
30-12-2003,182.0,240.0,0,240.0,182.0,182.0
31-12-2003,182.0,182.0,0,182.0,182.0,182.0
02-01-2004,170.0,170.0,0,170.0,170.0,170.0
05-01-2004,180.0,180.0,0,210.0,210.0,210.0
06-01-2004,210.0,210.0,300,244.0,230.0,230.0
07-01-2004,228.0,240.0,300,270.0,250.0,250.0
08-01-2004,240.0,270.0,200,270.0,250.0,250.0
09-01-2004,250.0,250.0,1300,310.0,268.0,268.0
12-01-2004,250.0,286.0,200,286.0,260.0,260.0
13-01-2004,230.0,260.0,0,270.0,250.0,250.0
14-01-2004,246.0,250.0,300,264.0,262.0,262.0
15-01-2004,250.0,268.0,500,270.0,270.0,270.0
16-01-2004,264.0,270.0,1300,272.0,268.0,268.0
20-01-2004,266.0,280.0,3000,280.0,272.0,272.0
21-01-2004,282.0,288.0,3900,320.0,316.0,316.0
22-01-2004,322.0,340.0,4100,366.0,366.0,366.0
23-01-2004,370.0,376.0,3700,400.0,374.0,374.0
26-01-2004,370.0,416.0,3200,428.0,380.0,380.0
27-01-2004,320.0,390.0,2100,390.0,360.0,360.0
28-01-2004,300.0,340.0,1200,370.0,306.0,306.0
29-01-2004,300.0,310.0,500,330.0,310.0,310.0
30-01-2004,310.0,320.0,500,330.0,310.0,310.0
02-02-2004,302.0,310.0,600,330.0,312.0,312.0
03-02-2004,292.0,312.0,700,312.0,294.0,294.0
04-02-2004,250.0,300.0,600,320.0,250.0,250.0
05-02-2004,244.0,244.0,1100,284.0,274.0,274.0
06-02-2004,248.0,276.0,500,276.0,248.0,248.0
09-02-2004,256.0,256.0,700,280.0,264.0,264.0
10-02-2004,260.0,260.0,600,274.0,270.0,270.0
11-02-2004,250.0,270.0,400,270.0,252.0,252.0
12-02-2004,224.0,248.0,700,254.0,240.0,240.0
13-02-2004,230.0,246.0,600,250.0,230.0,230.0
17-02-2004,174.0,240.0,700,240.0,216.0,216.0
18-02-2004,186.0,220.0,800,220.0,196.0,196.0
19-02-2004,192.0,196.0,1600,256.0,228.0,228.0
20-02-2004,214.0,234.0,500,234.0,220.0,220.0
23-02-2004,202.0,216.0,300,224.0,202.0,202.0
24-02-2004,190.0,210.0,400,210.0,200.0,200.0
25-02-2004,192.0,202.0,400,224.0,212.0,212.0
26-02-2004,210.0,212.0,800,230.0,228.0,228.0
27-02-2004,220.0,230.0,700,236.0,234.0,234.0
01-03-2004,230.0,230.0,2100,266.0,258.0,258.0
02-03-2004,276.0,278.0,6400,320.0,284.0,284.0
03-03-2004,296.0,306.0,2700,320.0,298.0,298.0
04-03-2004,284.0,304.0,1500,314.0,284.0,284.0
05-03-2004,260.0,298.0,1400,302.0,276.0,276.0
08-03-2004,298.0,318.0,2800,318.0,302.0,302.0
09-03-2004,320.0,320.0,6900,350.0,342.0,342.0
10-03-2004,314.0,360.0,4900,368.0,342.0,342.0
11-03-2004,312.0,340.0,1700,340.0,330.0,330.0
12-03-2004,306.0,330.0,1000,340.0,312.0,312.0
15-03-2004,312.0,312.0,1400,338.0,318.0,318.0
16-03-2004,324.0,330.0,2300,350.0,338.0,338.0
17-03-2004,338.0,342.0,1800,344.0,338.0,338.0
18-03-2004,308.0,340.0,1700,340.0,314.0,314.0
19-03-2004,304.0,310.0,200,320.0,304.0,304.0
22-03-2004,298.0,300.0,500,314.0,298.0,298.0
23-03-2004,274.0,294.0,600,300.0,280.0,280.0
24-03-2004,248.0,280.0,600,280.0,250.0,250.0
25-03-2004,242.0,242.0,400,300.0,286.0,286.0
26-03-2004,288.0,296.0,500,310.0,298.0,298.0
29-03-2004,240.0,300.0,1000,316.0,270.0,270.0
30-03-2004,250.0,280.0,400,280.0,256.0,256.0
31-03-2004,244.0,250.0,700,268.0,262.0,262.0
01-04-2004,244.0,264.0,200,264.0,262.0,262.0
02-04-2004,244.0,260.0,300,264.0,256.0,256.0
05-04-2004,252.0,262.0,500,266.0,266.0,266.0
06-04-2004,256.0,260.0,800,266.0,262.0,262.0
07-04-2004,254.0,266.0,200,266.0,260.0,260.0
08-04-2004,254.0,260.0,100,264.0,254.0,254.0
12-04-2004,244.0,264.0,400,264.0,254.0,254.0
13-04-2004,248.0,258.0,200,258.0,250.0,250.0
14-04-2004,244.0,244.0,200,254.0,252.0,252.0
15-04-2004,226.0,248.0,1100,250.0,236.0,236.0
16-04-2004,204.0,240.0,1000,240.0,210.0,210.0
19-04-2004,204.0,206.0,600,234.0,214.0,214.0
20-04-2004,216.0,216.0,300,222.0,218.0,218.0
21-04-2004,220.0,222.0,500,234.0,226.0,226.0
22-04-2004,204.0,216.0,700,220.0,208.0,208.0
23-04-2004,192.0,206.0,1200,220.0,202.0,202.0
26-04-2004,202.0,202.0,100,216.0,214.0,214.0
27-04-2004,208.0,208.0,500,240.0,240.0,240.0
28-04-2004,230.0,230.0,100,246.0,242.0,242.0
29-04-2004,212.0,248.0,800,248.0,230.0,230.0
30-04-2004,220.0,220.0,100,234.0,224.0,224.0
03-05-2004,206.0,222.0,200,222.0,208.0,208.0
04-05-2004,186.0,186.0,400,210.0,194.0,194.0
05-05-2004,194.0,194.0,200,210.0,208.0,208.0
06-05-2004,198.0,208.0,300,210.0,202.0,202.0
07-05-2004,194.0,200.0,100,210.0,204.0,204.0
10-05-2004,190.0,204.0,300,208.0,200.0,200.0
11-05-2004,188.0,190.0,800,202.0,196.0,196.0
12-05-2004,190.0,190.0,300,202.0,196.0,196.0
13-05-2004,184.0,190.0,300,196.0,188.0,188.0
14-05-2004,184.0,184.0,300,196.0,188.0,188.0
17-05-2004,182.0,184.0,700,210.0,204.0,204.0
18-05-2004,204.0,204.0,200,208.0,208.0,208.0
19-05-2004,204.0,210.0,400,216.0,208.0,208.0
20-05-2004,208.0,208.0,200,224.0,216.0,216.0
21-05-2004,200.0,216.0,200,216.0,202.0,202.0
24-05-2004,184.0,204.0,600,228.0,218.0,218.0
25-05-2004,198.0,216.0,900,220.0,220.0,220.0
26-05-2004,202.0,228.0,500,234.0,216.0,216.0
27-05-2004,202.0,212.0,0,212.0,202.0,202.0
28-05-2004,188.0,192.0,200,202.0,190.0,190.0
01-06-2004,192.0,202.0,200,202.0,192.0,192.0
02-06-2004,186.0,192.0,500,196.0,190.0,190.0
03-06-2004,166.0,190.0,800,206.0,204.0,204.0
04-06-2004,196.0,206.0,300,214.0,214.0,214.0
07-06-2004,216.0,216.0,300,234.0,226.0,226.0
08-06-2004,224.0,224.0,200,234.0,228.0,228.0
09-06-2004,228.0,234.0,500,246.0,242.0,242.0
10-06-2004,226.0,240.0,200,242.0,228.0,228.0
14-06-2004,212.0,242.0,400,244.0,224.0,224.0
15-06-2004,214.0,224.0,0,230.0,230.0,230.0
16-06-2004,216.0,230.0,200,230.0,228.0,228.0
17-06-2004,228.0,230.0,800,252.0,244.0,244.0
18-06-2004,228.0,242.0,400,242.0,228.0,228.0
21-06-2004,216.0,230.0,200,230.0,222.0,222.0
22-06-2004,210.0,216.0,500,222.0,212.0,212.0
