Date,Low,Open,Volume,High,Close,Adjusted Close
12-06-1997,30.875,32.125,19963800,33.0,31.5,26.125537872314453
13-06-1997,31.75,31.75,3661100,32.875,32.375,26.851255416870117
16-06-1997,30.625,32.25,2481700,32.5,30.875,25.607173919677734
17-06-1997,29.125,30.125,2283800,30.25,29.75,24.674129486083984
18-06-1997,28.125,29.75,1749900,29.75,28.375,23.533720016479492
19-06-1997,28.25,28.5,1269900,29.625,29.375,24.36311149597168
20-06-1997,29.375,29.5,859100,30.25,29.5,24.466781616210938
23-06-1997,28.125,29.875,725000,29.875,28.25,23.430057525634766
24-06-1997,27.125,28.5,1212100,29.625,28.875,23.94841957092285
25-06-1997,28.125,29.125,726600,29.125,28.6875,23.79290199279785
26-06-1997,27.625,28.125,534500,28.5,28.25,23.430057525634766
27-06-1997,27.1875,28.125,441500,28.375,27.25,22.600669860839844
30-06-1997,26.25,27.125,796900,27.625,27.375,22.7043399810791
01-07-1997,26.5,27.25,621300,27.3125,26.9375,22.34148597717285
02-07-1997,26.625,26.9375,818700,27.9375,27.8125,23.06719207763672
03-07-1997,26.75,27.5625,696800,28.1875,28.0625,23.274539947509766
07-07-1997,27.0,28.5,1180500,28.625,27.125,22.496992111206055
08-07-1997,27.125,27.25,595000,27.6875,27.6875,22.96351432800293
09-07-1997,26.375,27.6875,958000,27.6875,26.625,22.082305908203125
10-07-1997,25.125,26.25,1069200,26.3125,25.5,21.149240493774414
11-07-1997,25.375,25.625,674600,26.125,25.9375,21.512104034423828
14-07-1997,25.4375,26.1875,471200,26.25,25.6875,21.30476188659668
15-07-1997,25.0,25.3125,513000,25.5625,25.4375,21.097408294677734
16-07-1997,23.75,25.5625,899600,25.5625,23.8125,19.749664306640625
17-07-1997,23.9375,24.0,1286200,26.25,26.0625,21.615779876708984
18-07-1997,25.3125,26.125,346200,26.5,25.875,21.46025848388672
21-07-1997,25.0,25.8125,216600,25.8125,25.3125,20.993738174438477
22-07-1997,25.125,25.125,351200,25.875,25.625,21.2529239654541
23-07-1997,25.0,25.625,507100,26.125,25.0,20.73455810546875
24-07-1997,24.25,25.0,412800,25.75,24.625,20.423540115356445
25-07-1997,24.1875,24.875,253000,25.0,24.625,20.423540115356445
28-07-1997,24.375,24.875,953700,25.4375,25.25,20.94190216064453
29-07-1997,25.5,25.5,1028100,26.6875,26.6875,22.13413429260254
30-07-1997,26.6875,26.8125,801700,27.9375,27.75,23.015361785888672
31-07-1997,26.6875,27.875,458400,28.0,26.8125,22.23781394958496
01-08-1997,26.25,26.3125,250100,27.0,26.625,22.082305908203125
04-08-1997,26.25,26.375,629700,27.875,27.625,22.911685943603516
05-08-1997,26.5,28.125,1157400,28.4375,27.0625,22.445161819458008
06-08-1997,26.25,27.0625,350500,27.125,26.5,21.978626251220703
07-08-1997,25.75,26.5,456200,26.6875,25.75,21.35659408569336
08-08-1997,24.75,25.5,576100,25.6875,25.25,20.94190216064453
11-08-1997,24.5,25.375,370400,25.375,24.75,20.5272159576416
12-08-1997,24.3125,25.0,910300,25.4375,24.3125,20.164356231689453
13-08-1997,23.8125,24.5,416500,25.1875,24.375,20.216197967529297
14-08-1997,23.9375,24.625,309000,24.75,24.0,19.905176162719727
15-08-1997,22.875,24.0,1385300,24.0,23.0625,19.127635955810547
18-08-1997,22.9375,23.5625,551500,23.6875,23.5,19.490482330322266
19-08-1997,23.375,23.375,380800,24.25,24.25,20.112516403198242
20-08-1997,24.6875,24.875,621500,25.625,25.625,21.2529239654541
21-08-1997,24.5,25.375,479600,25.5625,24.75,20.5272159576416
22-08-1997,24.0,24.125,408100,24.625,24.5,20.319862365722656
25-08-1997,24.1875,25.0,230200,25.0625,24.3125,20.164356231689453
26-08-1997,24.125,24.25,296300,24.9375,24.6875,20.475383758544922
27-08-1997,24.25,24.9375,619500,25.0,24.5,20.319862365722656
28-08-1997,24.375,24.5,492400,25.375,25.3125,20.993738174438477
29-08-1997,25.25,25.3125,686100,26.875,26.25,21.771284103393555
02-09-1997,25.5,26.375,414700,26.4375,26.25,21.771284103393555
03-09-1997,26.0,26.25,265000,26.375,26.0625,21.615779876708984
04-09-1997,25.5,26.0,237400,26.3125,25.75,21.35659408569336
05-09-1997,25.5625,26.25,151100,26.4375,25.875,21.46025848388672
08-09-1997,25.3125,25.75,91200,26.0,25.375,21.04557228088379
09-09-1997,24.625,25.25,318400,25.5,24.875,20.630887985229492
10-09-1997,24.1875,24.875,365900,24.875,24.25,20.112516403198242
11-09-1997,24.0,24.0,721200,24.75,24.25,20.112516403198242
12-09-1997,24.0,24.375,234000,24.625,24.4375,20.26803207397461
15-09-1997,24.5,24.6875,855800,25.875,25.1875,20.890066146850586
16-09-1997,25.25,25.625,384100,25.9375,25.5,21.149240493774414
17-09-1997,25.625,25.75,922000,26.4375,26.4375,21.92679786682129
18-09-1997,26.0,26.8125,1183200,27.0625,26.0625,21.615779876708984
19-09-1997,25.4375,25.875,430300,26.6875,26.625,22.082305908203125
22-09-1997,26.125,26.5,754400,27.75,27.625,22.911685943603516
