Date,Low,Open,Volume,High,Close,Adjusted Close
31-12-1981,8.03125,8.140625,109600,8.25,8.1875,0.8095296025276184
04-01-1982,8.125,8.15625,80800,8.15625,8.125,0.8033499121665955
05-01-1982,7.90625,8.03125,138400,8.125,7.90625,0.7817216515541077
06-01-1982,7.65625,7.78125,151600,7.90625,7.71875,0.7631821632385254
07-01-1982,7.625,7.6875,96800,7.71875,7.65625,0.7570029497146606
08-01-1982,7.65625,7.71875,258800,7.75,7.6875,0.7600924372673035
11-01-1982,7.46875,7.59375,160000,7.6875,7.46875,0.7384638786315918
12-01-1982,7.125,7.3125,249200,7.46875,7.28125,0.719925582408905
13-01-1982,7.125,7.21875,227200,7.3125,7.15625,0.7075660228729248
14-01-1982,7.125,7.1875,52800,7.25,7.1875,0.710655689239502
15-01-1982,7.1875,7.25,75200,7.3125,7.25,0.7168351411819458
18-01-1982,7.09375,7.1875,243200,7.25,7.09375,0.7013865113258362
19-01-1982,7.21875,7.28125,395600,7.34375,7.3125,0.7230154275894165
20-01-1982,7.3125,7.5,548000,7.65625,7.59375,0.7508230209350586
21-01-1982,7.65625,7.75,395600,7.8125,7.75,0.7662720680236816
22-01-1982,7.6875,7.71875,341600,7.75,7.71875,0.7631821632385254
25-01-1982,7.625,7.6875,253600,7.71875,7.71875,0.7631821632385254
26-01-1982,7.65625,7.75,262800,7.8125,7.65625,0.7570029497146606
27-01-1982,7.5,7.59375,349600,7.65625,7.5,0.7415533661842346
28-01-1982,7.46875,7.53125,154000,7.59375,7.5,0.7415533661842346
29-01-1982,7.5625,7.71875,309600,7.84375,7.8125,0.7724519371986389
01-02-1982,7.625,7.71875,272000,7.78125,7.625,0.7539127469062805
02-02-1982,7.53125,7.625,140400,7.6875,7.625,0.7539127469062805
03-02-1982,7.5625,7.65625,142000,7.75,7.5625,0.7477337121963501
04-02-1982,7.53125,7.59375,93600,7.625,7.5625,0.7477337121963501
05-02-1982,7.6875,7.8125,149600,7.90625,7.875,0.7786318063735962
08-02-1982,7.90625,8.0,177200,8.0625,7.9375,0.78481125831604
09-02-1982,7.96875,8.0,108400,8.03125,8.0,0.7909908890724182
10-02-1982,7.9375,8.0625,299200,8.15625,7.9375,0.78481125831604
11-02-1982,7.9375,7.96875,138800,7.96875,7.9375,0.78481125831604
12-02-1982,7.90625,7.9375,42400,7.96875,7.9375,0.78481125831604
16-02-1982,7.6875,7.71875,258400,7.75,7.71875,0.7726737856864929
17-02-1982,7.625,7.71875,221200,7.78125,7.625,0.7632889747619629
18-02-1982,7.5,7.59375,101200,7.65625,7.5625,0.7570323348045349
19-02-1982,7.40625,7.46875,254400,7.53125,7.40625,0.7413910031318665
22-02-1982,7.4375,7.5,174800,7.5625,7.4375,0.7445194721221924
23-02-1982,7.1875,7.3125,281200,7.40625,7.3125,0.7320067286491394
24-02-1982,7.1875,7.25,208000,7.3125,7.21875,0.7226215600967407
25-02-1982,7.1875,7.21875,405200,7.25,7.1875,0.7194933891296387
26-02-1982,7.15625,7.21875,72000,7.25,7.15625,0.716365396976471
01-03-1982,7.125,7.21875,287200,7.28125,7.125,0.7132372260093689
02-03-1982,7.125,7.1875,124400,7.21875,7.125,0.7132372260093689
03-03-1982,7.0625,7.09375,262800,7.09375,7.0625,0.7069808840751648
04-03-1982,6.96875,7.03125,157600,7.09375,6.96875,0.6975958347320557
05-03-1982,6.875,6.9375,179200,7.0,6.90625,0.6913396716117859
08-03-1982,6.28125,6.53125,782800,6.75,6.28125,0.6287745833396912
09-03-1982,6.28125,6.4375,776400,6.59375,6.46875,0.6475440859794617
10-03-1982,6.59375,6.75,308000,6.90625,6.8125,0.6819545030593872
11-03-1982,6.65625,6.8125,330800,6.9375,6.65625,0.666313886642456
12-03-1982,6.53125,6.59375,127200,6.625,6.5625,0.6569290161132812
15-03-1982,6.5625,6.59375,90400,6.625,6.625,0.6631854772567749
16-03-1982,6.59375,6.71875,618800,6.84375,6.75,0.6756985187530518
17-03-1982,6.6875,6.75,107200,6.8125,6.78125,0.6788264513015747
18-03-1982,6.75,6.8125,57200,6.84375,6.78125,0.6788264513015747
19-03-1982,6.78125,6.8125,84400,6.84375,6.78125,0.6788264513015747
22-03-1982,6.8125,6.96875,164000,7.09375,7.0625,0.7069808840751648
23-03-1982,6.90625,7.03125,168400,7.125,6.90625,0.6913396716117859
24-03-1982,6.84375,6.9375,237600,7.03125,6.875,0.6882113814353943
25-03-1982,6.875,6.90625,216000,6.9375,6.9375,0.6944676041603088
26-03-1982,6.90625,6.9375,121600,6.96875,6.90625,0.6913396716117859
29-03-1982,6.875,6.9375,52400,6.96875,6.875,0.6882113814353943
30-03-1982,6.8125,6.875,319200,6.90625,6.8125,0.6819545030593872
31-03-1982,6.5,6.65625,320800,6.8125,6.5,0.650672435760498
01-04-1982,6.46875,6.625,218800,6.78125,6.78125,0.6788264513015747
02-04-1982,6.90625,6.9375,246400,6.96875,6.96875,0.6975958347320557
05-04-1982,6.90625,6.96875,410000,7.0,6.96875,0.6975958347320557
06-04-1982,6.875,6.9375,178800,6.96875,6.90625,0.6913396716117859
07-04-1982,6.84375,6.875,83600,6.90625,6.875,0.6882113814353943
08-04-1982,6.71875,6.78125,164000,6.84375,6.75,0.6756985187530518
12-04-1982,6.5625,6.65625,212400,6.75,6.65625,0.666313886642456
13-04-1982,6.6875,6.75,404400,6.8125,6.71875,0.6725702881813049
14-04-1982,6.75,6.78125,65200,6.8125,6.78125,0.6788264513015747
15-04-1982,6.78125,6.84375,219200,6.875,6.84375,0.6850828528404236
16-04-1982,6.78125,6.8125,575200,6.84375,6.8125,0.6819545030593872
19-04-1982,6.8125,6.875,898400,6.90625,6.875,0.6882113814353943
20-04-1982,6.875,7.0,666400,7.125,7.0625,0.7069808840751648
21-04-1982,7.03125,7.21875,321600,7.375,7.1875,0.7194933891296387
22-04-1982,7.15625,7.3125,471200,7.4375,7.34375,0.735135018825531
23-04-1982,7.3125,7.46875,490400,7.59375,7.5625,0.7570323348045349
26-04-1982,7.59375,7.6875,366400,7.78125,7.78125,0.7789298892021179
27-04-1982,7.8125,7.875,494800,7.90625,7.90625,0.7914431691169739
28-04-1982,7.84375,7.96875,573600,8.0625,7.875,0.788314700126648
29-04-1982,7.71875,7.78125,323200,7.84375,7.71875,0.7726737856864929
30-04-1982,7.6875,7.71875,163200,7.75,7.75,0.7758020162582397
03-05-1982,7.65625,7.71875,137200,7.75,7.71875,0.7726737856864929
04-05-1982,7.71875,7.875,183200,8.0,7.90625,0.7914431691169739
05-05-1982,7.90625,8.03125,551200,8.125,8.0,0.8008274435997009
06-05-1982,8.0,8.125,432800,8.25,8.1875,0.819596529006958
07-05-1982,8.28125,8.40625,802400,8.5,8.5,0.8508796691894531
10-05-1982,8.375,8.4375,1247200,8.5,8.40625,0.8414945602416992
11-05-1982,8.1875,8.3125,540000,8.40625,8.375,0.8482046723365784
12-05-1982,8.21875,8.3125,216000,8.375,8.25,0.8355444073677063
13-05-1982,8.1875,8.25,167200,8.28125,8.1875,0.8292142152786255
14-05-1982,8.15625,8.1875,110800,8.21875,8.15625,0.8260497450828552
17-05-1982,7.90625,8.03125,153600,8.125,7.9375,0.8038951754570007
18-05-1982,7.78125,7.84375,148400,7.90625,7.8125,0.7912358641624451
19-05-1982,7.71875,7.78125,121200,7.8125,7.75,0.7849053740501404
20-05-1982,7.71875,7.78125,108800,7.8125,7.8125,0.7912358641624451
21-05-1982,7.6875,7.78125,179200,7.875,7.78125,0.788070559501648
24-05-1982,7.6875,7.75,125600,7.8125,7.71875,0.7817408442497253
25-05-1982,7.6875,7.75,214800,7.8125,7.6875,0.7785755395889282
26-05-1982,7.4375,7.53125,394800,7.625,7.4375,0.7532562017440796
27-05-1982,7.1875,7.3125,390000,7.4375,7.1875,0.7279367446899414
28-05-1982,7.125,7.1875,459200,7.25,7.125,0.7216066718101501
01-06-1982,7.09375,7.15625,567600,7.1875,7.1875,0.7279367446899414
02-06-1982,7.1875,7.25,371200,7.28125,7.25,0.7342664003372192
03-06-1982,7.21875,7.28125,331200,7.34375,7.25,0.7342664003372192
04-06-1982,7.1875,7.25,218800,7.3125,7.1875,0.7279367446899414
07-06-1982,7.125,7.1875,259200,7.25,7.25,0.7342664003372192
08-06-1982,7.21875,7.25,474800,7.25,7.21875,0.7311014533042908
09-06-1982,7.1875,7.21875,62800,7.21875,7.1875,0.7279367446899414
10-06-1982,7.15625,7.21875,62000,7.28125,7.28125,0.7374313473701477
