Date,Low,Open,Volume,High,Close,Adjusted Close
17-11-1975,8.71875,0.0,53200,8.71875,8.71875,2.350320816040039
18-11-1975,8.96875,0.0,106800,8.96875,8.96875,2.4177134037017822
19-11-1975,8.5625,0.0,170400,8.5625,8.5625,2.308201313018799
20-11-1975,8.4375,0.0,61200,8.4375,8.4375,2.274503469467163
21-11-1975,8.4375,0.0,64000,8.4375,8.4375,2.274503469467163
24-11-1975,8.40625,0.0,88400,8.40625,8.40625,2.266080141067505
25-11-1975,8.375,0.0,75200,8.375,8.375,2.257655382156372
26-11-1975,8.4375,0.0,89200,8.4375,8.4375,2.274503469467163
28-11-1975,8.5,0.0,95600,8.5,8.5,2.2913527488708496
01-12-1975,8.25,0.0,102400,8.25,8.25,2.2239603996276855
02-12-1975,7.875,0.0,78400,7.875,7.875,2.122871160507202
03-12-1975,7.5,0.0,86400,7.5,7.5,2.0217809677124023
04-12-1975,7.5,0.0,48800,7.5,7.5,2.0217809677124023
05-12-1975,7.4375,0.0,62800,7.4375,7.4375,2.0049328804016113
08-12-1975,7.4375,0.0,87600,7.4375,7.4375,2.0049328804016113
09-12-1975,7.4375,0.0,158800,7.4375,7.4375,2.0049328804016113
10-12-1975,7.46875,0.0,99600,7.46875,7.46875,2.0133566856384277
11-12-1975,7.5,0.0,62400,7.5,7.5,2.0217809677124023
12-12-1975,7.875,0.0,116400,7.875,7.875,2.122871160507202
15-12-1975,7.84375,0.0,170800,7.84375,7.84375,2.1144461631774902
16-12-1975,7.96875,0.0,110400,7.96875,7.96875,2.1481432914733887
17-12-1975,8.03125,0.0,92800,8.03125,8.03125,2.164992094039917
18-12-1975,8.0625,0.0,81200,8.0625,8.0625,2.173415184020996
19-12-1975,8.0,0.0,130800,8.0,8.0,2.1565678119659424
22-12-1975,8.0,0.0,67200,8.0,8.0,2.1565678119659424
23-12-1975,8.03125,0.0,59600,8.03125,8.03125,2.164992094039917
24-12-1975,7.8125,0.0,135200,7.8125,7.8125,2.1060218811035156
26-12-1975,7.84375,0.0,46800,7.84375,7.84375,2.1144461631774902
29-12-1975,7.75,0.0,52800,7.75,7.75,2.0891733169555664
30-12-1975,7.71875,0.0,54000,7.71875,7.71875,2.0807509422302246
31-12-1975,7.71875,0.0,34800,7.71875,7.71875,2.0807509422302246
02-01-1976,7.875,0.0,71600,7.875,7.875,2.122871160507202
05-01-1976,7.96875,0.0,104400,7.96875,7.96875,2.1481432914733887
06-01-1976,8.3125,0.0,132800,8.3125,8.3125,2.2408082485198975
07-01-1976,8.125,0.0,120000,8.125,8.125,2.190263271331787
08-01-1976,8.125,0.0,85200,8.125,8.125,2.190263271331787
09-01-1976,8.125,0.0,59600,8.125,8.125,2.190263271331787
12-01-1976,8.125,0.0,48800,8.125,8.125,2.190263271331787
13-01-1976,8.03125,0.0,112400,8.03125,8.03125,2.164992094039917
14-01-1976,8.125,0.0,90000,8.125,8.125,2.190263271331787
15-01-1976,8.0,0.0,174000,8.0,8.0,2.1565678119659424
16-01-1976,8.0,0.0,14400,8.0,8.0,2.1565678119659424
19-01-1976,8.03125,0.0,56000,8.03125,8.03125,2.164992094039917
20-01-1976,8.0625,0.0,59200,8.0625,8.0625,2.173415184020996
21-01-1976,8.0,0.0,62000,8.0,8.0,2.1565678119659424
22-01-1976,7.9375,0.0,52800,7.9375,7.9375,2.139719247817993
23-01-1976,7.875,0.0,42800,7.875,7.875,2.122871160507202
26-01-1976,7.53125,0.0,84400,7.53125,7.53125,2.030205249786377
27-01-1976,7.5,0.0,272000,7.5,7.5,2.0217809677124023
28-01-1976,7.6875,0.0,212000,7.6875,7.6875,2.072326898574829
29-01-1976,8.1875,0.0,158400,8.3125,8.1875,2.2071125507354736
30-01-1976,8.0,0.0,304400,8.125,8.0,2.1565678119659424
02-02-1976,8.125,0.0,73600,8.25,8.125,2.190263271331787
03-02-1976,8.15625,0.0,66800,8.28125,8.15625,2.1986887454986572
04-02-1976,8.25,0.0,184000,8.375,8.25,2.2239603996276855
05-02-1976,8.1875,0.0,64800,8.3125,8.1875,2.2071125507354736
06-02-1976,8.03125,0.0,72000,8.15625,8.03125,2.164992094039917
09-02-1976,8.125,0.0,42800,8.25,8.125,2.190263271331787
10-02-1976,8.03125,0.0,91200,8.15625,8.03125,2.164992094039917
11-02-1976,8.0625,0.0,28800,8.1875,8.0625,2.173415184020996
12-02-1976,8.125,0.0,131200,8.25,8.125,2.190263271331787
