Date,Low,Open,Volume,High,Close,Adjusted Close
10-11-1999,64.5,65.0,80793700,70.3125,68.25,40.0255126953125
11-11-1999,68.75,68.75,28309000,76.9375,75.0,43.984107971191406
12-11-1999,69.25,76.0,14768100,76.625,70.5,41.34505081176758
15-11-1999,67.3125,70.5,8675100,70.875,69.0,40.46535873413086
16-11-1999,65.0,67.875,6978600,68.0,66.0,38.70600128173828
17-11-1999,65.125,65.5625,5806900,68.1875,67.6875,39.695655822753906
18-11-1999,66.125,67.9375,4718700,68.9375,66.3125,38.88926315307617
19-11-1999,64.25,66.3125,5091100,66.3125,65.0,38.11955642700195
22-11-1999,61.0,64.0625,4785400,64.25,63.125,37.01995086669922
23-11-1999,63.25,63.375,2832200,67.0,66.1875,38.81595993041992
24-11-1999,65.9375,66.0,2179400,68.1875,67.6875,39.87640380859375
26-11-1999,68.1875,68.4375,1322500,69.4375,69.125,40.72324752807617
29-11-1999,67.0,70.0,1987000,70.25,68.125,40.13413619995117
30-11-1999,66.0625,67.375,1686100,67.625,66.0625,38.91905212402344
01-12-1999,65.625,66.25,1405700,67.375,65.875,38.808597564697266
02-12-1999,65.875,66.0,1391000,67.0625,67.0625,39.508174896240234
03-12-1999,66.3125,67.4375,1753500,67.6875,66.4375,39.13998031616211
06-12-1999,65.375,66.5,1398900,66.5,66.25,39.0295295715332
07-12-1999,65.875,65.9375,1793100,68.0,68.0,40.06048583984375
08-12-1999,66.75,68.0,1774000,68.375,68.375,40.28141784667969
09-12-1999,66.625,68.375,1713600,68.75,67.5,39.76594924926758
10-12-1999,65.375,66.375,1248600,67.0,66.125,38.95589065551758
13-12-1999,64.875,66.375,1417800,66.9375,66.0,38.88224411010742
14-12-1999,64.75,66.0,1886600,66.0,65.0,38.29312515258789
15-12-1999,63.6875,65.0,1602800,65.0625,63.75,37.55670166015625
16-12-1999,63.25,63.75,1364600,64.0625,64.0,37.70399475097656
17-12-1999,64.6875,64.75,1980800,67.625,66.625,39.25043487548828
20-12-1999,66.9375,67.6875,1501300,68.5,68.5,40.35505294799805
21-12-1999,67.5,68.25,1265200,69.0,69.0,40.64960861206055
22-12-1999,66.0625,68.9375,1264700,68.9375,67.0,39.47135925292969
23-12-1999,65.625,66.5,1180600,67.875,67.75,39.91321563720703
27-12-1999,67.5,68.5,1478800,69.6875,69.6875,41.05463790893555
28-12-1999,68.0625,69.5,1051400,69.6875,69.0,40.64960861206055
29-12-1999,67.5625,69.0,904700,69.375,68.0,40.06048583984375
30-12-1999,68.0,69.25,926700,69.5,68.0,40.06048583984375
31-12-1999,68.375,68.875,649300,69.5,69.0,40.64960861206055
03-01-2000,67.0,69.6875,1273200,69.75,67.0625,39.508174896240234
04-01-2000,64.625,67.0,1385800,67.0,64.9375,38.25629806518555
05-01-2000,64.75,64.875,1401700,68.0,68.0,40.06048583984375
06-01-2000,65.0,65.875,1959100,68.125,68.0,40.06048583984375
07-01-2000,65.75,67.625,996000,67.625,66.375,39.1031608581543
10-01-2000,66.4375,66.875,1191700,67.4375,67.0625,39.508174896240234
11-01-2000,65.25,67.125,1020000,67.4375,65.25,38.44040298461914
12-01-2000,65.4375,66.125,1097700,67.5,67.375,39.692298889160156
13-01-2000,67.375,67.625,1071200,68.5,68.3125,40.24458312988281
14-01-2000,68.3125,68.875,1160000,69.25,69.0625,40.68644714355469
18-01-2000,67.375,69.0,980500,69.0,68.6875,40.46552276611328
19-01-2000,67.4375,68.5,1087300,68.5625,68.25,40.20775604248047
20-01-2000,68.125,68.125,1972000,69.125,68.875,40.57596206665039
21-01-2000,66.6875,68.875,1270100,68.875,67.25,39.61864471435547
24-01-2000,66.0,67.875,831400,68.25,66.0,38.88224411010742
25-01-2000,64.75,65.625,1263000,66.625,65.875,38.808597564697266
26-01-2000,64.5,65.25,933400,65.625,65.125,38.36675262451172
27-01-2000,64.0,65.3125,1128400,65.375,65.125,38.36675262451172
28-01-2000,64.0,65.125,1324700,65.875,64.9375,38.25629806518555
31-01-2000,59.0,63.0,5745800,64.0,60.0,35.34748077392578
01-02-2000,58.3125,59.6875,4761000,61.5,61.375,36.15753173828125
02-02-2000,57.1875,59.75,4740600,59.9375,58.25,34.31652069091797
03-02-2000,57.375,59.25,1951900,59.5,57.625,33.94831085205078
04-02-2000,56.0625,58.1875,1745200,58.1875,56.375,33.2119255065918
07-02-2000,55.5,56.625,1480200,56.8125,55.75,32.84372329711914
08-02-2000,55.75,56.25,2055100,59.375,59.375,34.97929763793945
09-02-2000,58.0,59.5,1209400,59.625,58.0,34.16924285888672
10-02-2000,56.5,58.0625,995700,58.5,57.0625,33.61693572998047
11-02-2000,55.125,56.8125,1013900,57.0,55.125,32.47549819946289
14-02-2000,54.125,55.3125,2052800,55.5,54.375,32.03367233276367
15-02-2000,53.5625,54.4375,1182900,55.0,54.9375,32.365047454833984
16-02-2000,54.5,55.1875,1530000,56.4375,56.0,32.990997314453125
17-02-2000,56.125,56.5,1036000,58.25,58.0,34.16924285888672
18-02-2000,55.25,58.0,1529200,59.4375,56.9375,33.543304443359375
22-02-2000,54.5625,56.9375,1226000,56.9375,55.0,32.40184783935547
23-02-2000,54.0625,55.0625,855700,56.25,54.9375,32.365047454833984
24-02-2000,53.8125,55.0,1049300,55.0,54.0625,31.948421478271484
25-02-2000,54.0625,54.9375,961700,55.75,55.5,32.79792022705078
28-02-2000,54.5,55.5625,565600,55.625,55.0,32.50244903564453
29-02-2000,54.5,55.0,750900,55.3125,54.625,32.280826568603516
01-03-2000,51.875,54.625,1471000,54.6875,52.5,31.025049209594727
02-03-2000,52.0625,52.125,1136600,53.625,53.3125,31.505212783813477
03-03-2000,52.5625,53.3125,1030700,53.5,52.6875,31.13587188720703
06-03-2000,52.5,54.375,1431500,54.375,52.75,31.172792434692383
07-03-2000,49.0,52.75,2319100,52.8125,50.625,29.917015075683594
08-03-2000,51.3125,52.75,2275300,54.5,54.3125,32.096160888671875
09-03-2000,52.4375,54.5,1199700,54.5,53.0,31.320547103881836
10-03-2000,53.0625,53.75,776700,54.375,53.4375,31.57906723022461
13-03-2000,52.125,52.25,671700,54.1875,52.75,31.172792434692383
14-03-2000,52.3125,52.5,1072500,53.5,52.5625,31.0620059967041
15-03-2000,51.625,52.9375,2274800,55.375,54.9375,32.46551513671875
16-03-2000,55.0625,55.875,1635300,57.625,56.25,33.241127014160156
17-03-2000,55.5,57.0625,622400,57.0625,55.5,32.79792022705078
20-03-2000,55.25,56.5,843400,56.875,56.5625,33.425804138183594
