Date,Low,Open,Volume,High,Close,Adjusted Close
17-11-1995,3.75,3.75,12706000,3.8125,3.78125,3.78125
20-11-1995,3.75,3.75,1213200,3.78125,3.75,3.75
21-11-1995,3.75,3.75,909600,3.78125,3.75,3.75
22-11-1995,3.75,3.75,1314800,3.78125,3.75,3.75
24-11-1995,3.75,3.75,275200,3.78125,3.75,3.75
27-11-1995,3.75,3.75,1011600,3.78125,3.75,3.75
28-11-1995,3.3125,3.625,3952000,3.625,3.53125,3.53125
29-11-1995,3.34375,3.5,708400,3.5625,3.4375,3.4375
30-11-1995,3.40625,3.4375,1346000,3.75,3.6875,3.6875
01-12-1995,3.53125,3.6875,790800,3.6875,3.5625,3.5625
04-12-1995,3.5,3.53125,548000,3.75,3.71875,3.71875
05-12-1995,3.6875,3.75,892800,3.78125,3.75,3.75
06-12-1995,3.78125,3.78125,521200,3.90625,3.8125,3.8125
07-12-1995,3.71875,3.8125,217600,3.8125,3.71875,3.71875
08-12-1995,3.59375,3.6875,265200,3.78125,3.75,3.75
11-12-1995,3.71875,3.75,392400,3.78125,3.75,3.75
12-12-1995,3.71875,3.78125,1363200,3.84375,3.78125,3.78125
13-12-1995,3.84375,3.90625,1664000,4.09375,4.03125,4.03125
14-12-1995,4.0625,4.0625,1551600,4.21875,4.1875,4.1875
15-12-1995,4.15625,4.1875,902800,4.3125,4.25,4.25
18-12-1995,3.96875,4.25,646400,4.28125,4.15625,4.15625
19-12-1995,4.0,4.125,324400,4.125,4.125,4.125
20-12-1995,4.125,4.125,274000,4.25,4.15625,4.15625
21-12-1995,4.21875,4.28125,660000,4.5,4.375,4.375
22-12-1995,4.375,4.40625,422800,4.5,4.40625,4.40625
26-12-1995,4.40625,4.4375,156800,4.5,4.40625,4.40625
27-12-1995,4.375,4.4375,230400,4.53125,4.5,4.5
28-12-1995,4.4375,4.5,213200,4.5,4.46875,4.46875
29-12-1995,4.4375,4.5,179600,4.5625,4.5625,4.5625
02-01-1996,4.28125,4.5,456800,4.53125,4.34375,4.34375
03-01-1996,4.1875,4.28125,147600,4.40625,4.40625,4.40625
04-01-1996,4.46875,4.46875,385200,4.6875,4.5625,4.5625
05-01-1996,4.5,4.5,620800,4.8125,4.6875,4.6875
08-01-1996,4.65625,4.65625,67600,4.8125,4.78125,4.78125
09-01-1996,4.71875,4.75,192400,4.75,4.71875,4.71875
10-01-1996,4.59375,4.71875,305600,4.75,4.59375,4.59375
11-01-1996,4.5625,4.625,369600,4.65625,4.5625,4.5625
12-01-1996,4.25,4.59375,232000,4.59375,4.375,4.375
15-01-1996,4.375,4.375,158400,4.5625,4.5,4.5
16-01-1996,4.4375,4.5,52000,4.5625,4.4375,4.4375
17-01-1996,4.28125,4.375,117600,4.4375,4.375,4.375
18-01-1996,4.3125,4.375,56000,4.4375,4.4375,4.4375
19-01-1996,4.46875,4.46875,1279200,4.6875,4.6875,4.6875
22-01-1996,4.75,4.75,1138400,4.96875,4.75,4.75
23-01-1996,4.75,4.75,170400,4.84375,4.78125,4.78125
24-01-1996,4.8125,4.84375,371200,5.03125,5.03125,5.03125
25-01-1996,5.0,5.0,771200,5.28125,5.0625,5.0625
26-01-1996,4.8125,5.0625,776400,5.0625,4.9375,4.9375
29-01-1996,4.875,4.96875,970800,5.15625,5.15625,5.15625
30-01-1996,5.0625,5.15625,222400,5.21875,5.125,5.125
31-01-1996,4.96875,5.15625,294000,5.25,4.96875,4.96875
01-02-1996,4.90625,4.96875,273600,4.96875,4.96875,4.96875
02-02-1996,4.6875,4.96875,175600,4.96875,4.8125,4.8125
05-02-1996,4.75,4.78125,80400,4.875,4.875,4.875
06-02-1996,4.6875,4.875,898400,4.875,4.71875,4.71875
07-02-1996,4.59375,4.75,900800,4.75,4.6875,4.6875
08-02-1996,4.59375,4.625,136800,4.71875,4.625,4.625
09-02-1996,4.6875,4.6875,302800,4.78125,4.75,4.75
12-02-1996,4.75,4.78125,122800,4.875,4.875,4.875
13-02-1996,4.75,4.84375,122400,4.96875,4.90625,4.90625
14-02-1996,4.875,4.9375,41200,4.9375,4.90625,4.90625
15-02-1996,4.6875,4.90625,83600,4.90625,4.75,4.75
16-02-1996,4.65625,4.78125,138000,4.8125,4.8125,4.8125
20-02-1996,4.75,4.78125,168400,4.9375,4.90625,4.90625
21-02-1996,4.9375,4.9375,284800,5.1875,5.09375,5.09375
22-02-1996,5.09375,5.15625,472800,5.25,5.21875,5.21875
23-02-1996,5.09375,5.21875,694400,5.25,5.15625,5.15625
26-02-1996,5.15625,5.1875,184400,5.375,5.3125,5.3125
27-02-1996,5.125,5.375,131200,5.375,5.1875,5.1875
28-02-1996,5.09375,5.15625,134400,5.25,5.15625,5.15625
29-02-1996,5.0625,5.125,212400,5.1875,5.0625,5.0625
01-03-1996,5.0625,5.125,246000,5.1875,5.15625,5.15625
04-03-1996,5.0,5.1875,212000,5.25,5.0,5.0
05-03-1996,5.0,5.0,137200,5.1875,5.0625,5.0625
06-03-1996,5.03125,5.03125,37200,5.125,5.125,5.125
07-03-1996,5.15625,5.15625,190800,5.40625,5.25,5.25
08-03-1996,5.09375,5.1875,298400,5.40625,5.1875,5.1875
11-03-1996,5.125,5.125,286800,5.625,5.5625,5.5625
12-03-1996,5.5625,5.59375,513600,6.0,6.0,6.0
13-03-1996,5.96875,6.0,1179200,6.125,6.0,6.0
14-03-1996,5.96875,6.03125,326800,6.125,6.0,6.0
15-03-1996,5.84375,6.03125,370000,6.03125,5.9375,5.9375
18-03-1996,5.75,5.9375,439600,6.0,5.78125,5.78125
19-03-1996,5.53125,5.71875,304400,5.71875,5.625,5.625
20-03-1996,5.6875,5.6875,61600,5.875,5.875,5.875
21-03-1996,5.84375,5.84375,112000,6.0625,5.9375,5.9375
22-03-1996,5.6875,5.9375,345200,5.96875,5.6875,5.6875
25-03-1996,5.8125,5.8125,74000,5.875,5.84375,5.84375
26-03-1996,5.84375,5.875,103200,5.96875,5.875,5.875
27-03-1996,5.71875,5.84375,99600,5.84375,5.78125,5.78125
28-03-1996,5.65625,5.78125,123200,5.78125,5.71875,5.71875
29-03-1996,6.03125,6.0625,637600,6.15625,6.0625,6.0625
01-04-1996,6.09375,6.09375,466400,6.625,6.625,6.625
02-04-1996,6.625,6.625,357200,6.90625,6.8125,6.8125
03-04-1996,6.6875,6.84375,259600,7.125,6.71875,6.71875
04-04-1996,6.6875,6.8125,270400,7.0,7.0,7.0
08-04-1996,6.84375,7.0,249200,7.0625,7.0,7.0
09-04-1996,7.0625,7.0625,981200,7.15625,7.09375,7.09375
10-04-1996,7.09375,7.09375,658400,7.3125,7.21875,7.21875
11-04-1996,7.0625,7.21875,430000,7.28125,7.0625,7.0625
12-04-1996,7.03125,7.09375,144000,7.34375,7.34375,7.34375
15-04-1996,7.28125,7.34375,220000,7.34375,7.28125,7.28125
16-04-1996,7.34375,7.375,298400,7.46875,7.40625,7.40625
17-04-1996,7.34375,7.375,238800,7.40625,7.375,7.375
18-04-1996,7.375,7.375,294400,7.5,7.46875,7.46875
19-04-1996,7.15625,7.375,292400,7.375,7.15625,7.15625
