Date,Low,Open,Volume,High,Close,Adjusted Close
31-10-1978,1.125,0.0,13600,1.375,1.125,0.9031474590301514
01-11-1978,1.1875,0.0,27600,1.4375,1.1875,0.9533226490020752
02-11-1978,1.3125,0.0,23000,1.5625,1.3125,1.0536723136901855
03-11-1978,1.3125,0.0,7400,1.5625,1.3125,1.0536723136901855
06-11-1978,1.5625,0.0,10800,1.8125,1.5625,1.2543718814849854
07-11-1978,1.5,0.0,1800,1.75,1.5,1.204196810722351
08-11-1978,1.5625,0.0,800,1.8125,1.5625,1.2543718814849854
09-11-1978,1.5625,0.0,5000,1.8125,1.5625,1.2543718814849854
10-11-1978,1.5625,0.0,2000,1.8125,1.5625,1.2543718814849854
13-11-1978,1.5,0.0,10000,1.75,1.5,1.204196810722351
14-11-1978,1.375,0.0,1800,1.625,1.375,1.1038472652435303
15-11-1978,1.1875,0.0,16000,1.4375,1.1875,0.9533226490020752
16-11-1978,1.1875,0.0,8400,1.4375,1.1875,0.9533226490020752
17-11-1978,1.125,0.0,15600,1.375,1.125,0.9031474590301514
20-11-1978,1.3125,0.0,64200,1.5625,1.3125,1.0536723136901855
21-11-1978,1.1875,0.0,15400,1.4375,1.1875,0.9533226490020752
22-11-1978,1.1875,0.0,3800,1.4375,1.1875,0.9533226490020752
24-11-1978,1.125,0.0,2400,1.375,1.125,0.9031474590301514
27-11-1978,1.125,0.0,1000,1.375,1.125,0.9031474590301514
28-11-1978,1.125,0.0,4600,1.375,1.125,0.9031474590301514
29-11-1978,1.0625,0.0,12600,1.3125,1.0625,0.8529726266860962
30-11-1978,1.0625,0.0,5600,1.3125,1.0625,0.8529726266860962
01-12-1978,1.0625,0.0,3800,1.3125,1.0625,0.8529726266860962
04-12-1978,1.0625,0.0,3000,1.3125,1.0625,0.8529726266860962
05-12-1978,1.0625,0.0,3000,1.3125,1.0625,0.8529726266860962
06-12-1978,1.0,0.0,20000,1.25,1.0,0.8027979135513306
07-12-1978,1.0,0.0,7200,1.25,1.0,0.8027979135513306
08-12-1978,1.0,0.0,3200,1.25,1.0,0.8027979135513306
11-12-1978,1.0,0.0,600,1.25,1.0,0.8027979135513306
12-12-1978,1.0,0.0,5800,1.25,1.0,0.8027979135513306
13-12-1978,0.9375,0.0,43200,1.1875,0.9375,0.7526230812072754
14-12-1978,0.875,0.0,22600,1.125,0.875,0.7024481296539307
15-12-1978,0.75,0.0,39600,1.0,0.75,0.6020984053611755
18-12-1978,0.6875,0.0,17600,0.9375,0.6875,0.5519236326217651
19-12-1978,0.75,0.0,8000,1.0,0.75,0.6020984053611755
20-12-1978,0.75,0.75,0,0.75,0.75,0.6020984053611755
21-12-1978,0.8125,0.0,8800,1.0625,0.8125,0.6522732973098755
22-12-1978,1.0,0.0,7800,1.25,1.0,0.8027979135513306
26-12-1978,1.0,0.0,5200,1.25,1.0,0.8027979135513306
27-12-1978,0.9375,0.0,7400,1.1875,0.9375,0.7526230812072754
28-12-1978,0.9375,0.0,2400,1.1875,0.9375,0.7526230812072754
29-12-1978,0.9375,0.0,10200,1.1875,0.9375,0.7526230812072754
02-01-1979,0.9375,0.0,2600,1.1875,0.9375,0.7526230812072754
03-01-1979,0.9375,0.0,2800,1.1875,0.9375,0.7526230812072754
04-01-1979,1.0,0.0,11400,1.25,1.0,0.8027979135513306
05-01-1979,0.9375,0.0,7800,1.1875,0.9375,0.7526230812072754
08-01-1979,0.9375,0.0,30200,1.1875,0.9375,0.7526230812072754
09-01-1979,0.9375,0.0,16400,1.1875,0.9375,0.7526230812072754
10-01-1979,0.9375,0.0,13600,1.1875,0.9375,0.7526230812072754
11-01-1979,0.9375,0.0,23200,1.1875,0.9375,0.7526230812072754
12-01-1979,1.125,0.0,43400,1.375,1.125,0.9031474590301514
15-01-1979,1.125,0.0,12600,1.375,1.125,0.9031474590301514
16-01-1979,1.0625,0.0,14200,1.3125,1.0625,0.8529726266860962
17-01-1979,1.0,0.0,6000,1.25,1.0,0.8027979135513306
18-01-1979,1.0,0.0,3000,1.25,1.0,0.8027979135513306
19-01-1979,1.0625,0.0,13800,1.3125,1.0625,0.8529726266860962
22-01-1979,1.125,0.0,13600,1.375,1.125,0.9031474590301514
23-01-1979,1.25,0.0,24000,1.5,1.25,1.0034977197647095
24-01-1979,1.375,0.0,52800,1.625,1.375,1.1038472652435303
25-01-1979,1.5625,0.0,24000,1.8125,1.5625,1.2543718814849854
26-01-1979,1.4375,0.0,53800,1.6875,1.4375,1.154022216796875
29-01-1979,1.5,0.0,41000,1.75,1.5,1.204196810722351
30-01-1979,1.4375,0.0,18400,1.6875,1.4375,1.154022216796875
31-01-1979,1.4375,0.0,12800,1.6875,1.4375,1.154022216796875
01-02-1979,1.4375,0.0,15400,1.6875,1.4375,1.154022216796875
02-02-1979,1.4375,0.0,35400,1.6875,1.4375,1.154022216796875
05-02-1979,1.3125,0.0,51000,1.5625,1.3125,1.0536723136901855
06-02-1979,1.375,0.0,6600,1.625,1.375,1.1038472652435303
07-02-1979,1.375,0.0,11800,1.625,1.375,1.1038472652435303
08-02-1979,1.375,0.0,7800,1.625,1.375,1.1038472652435303
09-02-1979,1.375,0.0,19200,1.625,1.375,1.1038472652435303
12-02-1979,1.375,0.0,2200,1.625,1.375,1.1038472652435303
13-02-1979,1.3125,0.0,12800,1.5625,1.3125,1.0536723136901855
14-02-1979,1.3125,0.0,5200,1.5625,1.3125,1.0536723136901855
15-02-1979,1.3125,0.0,80000,1.5625,1.3125,1.0536723136901855
16-02-1979,1.3125,0.0,33600,1.5625,1.3125,1.0536723136901855
20-02-1979,1.25,0.0,14200,1.5,1.25,1.0034977197647095
21-02-1979,1.25,0.0,34600,1.5,1.25,1.0034977197647095
22-02-1979,1.1875,0.0,19600,1.4375,1.1875,0.9533226490020752
23-02-1979,1.25,0.0,21600,1.5,1.25,1.0034977197647095
26-02-1979,1.1875,0.0,17800,1.4375,1.1875,0.9533226490020752
27-02-1979,1.125,0.0,14000,1.375,1.125,0.9031474590301514
28-02-1979,1.125,0.0,3600,1.375,1.125,0.9031474590301514
01-03-1979,1.0625,0.0,16000,1.3125,1.0625,0.8529726266860962
02-03-1979,1.25,0.0,62400,1.5,1.25,1.0034977197647095
05-03-1979,1.25,0.0,31600,1.5,1.25,1.0034977197647095
06-03-1979,1.1875,0.0,12000,1.4375,1.1875,0.9533226490020752
07-03-1979,1.125,0.0,17600,1.375,1.125,0.9031474590301514
08-03-1979,1.125,0.0,10000,1.375,1.125,0.9031474590301514
09-03-1979,1.125,0.0,12200,1.375,1.125,0.9031474590301514
12-03-1979,1.1875,0.0,14200,1.4375,1.1875,0.9533226490020752
13-03-1979,1.125,0.0,15200,1.375,1.125,0.9031474590301514
14-03-1979,1.125,0.0,7800,1.375,1.125,0.9031474590301514
15-03-1979,1.0625,0.0,10000,1.3125,1.0625,0.8529726266860962
16-03-1979,1.0625,0.0,7600,1.3125,1.0625,0.8529726266860962
19-03-1979,1.0625,0.0,9200,1.3125,1.0625,0.8529726266860962
20-03-1979,1.125,0.0,8200,1.375,1.125,0.9031474590301514
21-03-1979,1.25,0.0,22600,1.5,1.25,1.0034977197647095
22-03-1979,1.25,0.0,36400,1.5,1.25,1.0034977197647095
23-03-1979,1.375,0.0,58800,1.625,1.375,1.1038472652435303
26-03-1979,1.5625,0.0,29400,1.8125,1.5625,1.2543718814849854
27-03-1979,1.75,0.0,67400,2.0,1.75,1.4048962593078613
28-03-1979,1.5,0.0,31800,1.75,1.5,1.204196810722351
29-03-1979,1.625,0.0,27600,1.875,1.625,1.304546594619751
30-03-1979,1.6875,0.0,12400,1.9375,1.6875,1.3547215461730957
02-04-1979,1.625,0.0,27000,1.875,1.625,1.304546594619751
03-04-1979,1.6875,0.0,21200,1.9375,1.6875,1.3547215461730957
04-04-1979,1.75,0.0,14600,2.0,1.75,1.4048962593078613
05-04-1979,1.625,0.0,10000,1.875,1.625,1.304546594619751
06-04-1979,1.6875,0.0,8000,1.9375,1.6875,1.3547215461730957
09-04-1979,1.625,0.0,9000,1.875,1.625,1.304546594619751
10-04-1979,1.625,0.0,16600,1.875,1.625,1.304546594619751
