Date,Low,Open,Volume,High,Close,Adjusted Close
21-02-1973,15.9375,0.0,69200,16.5,16.0,5.507754802703857
22-02-1973,15.8125,0.0,79600,16.0,15.8125,5.443212985992432
23-02-1973,15.0625,0.0,158000,15.9375,15.25,5.24957799911499
26-02-1973,15.0,0.0,50200,15.25,15.25,5.24957799911499
27-02-1973,14.875,0.0,17800,15.375,14.875,5.120491981506348
28-02-1973,15.0,0.0,103800,15.375,15.125,5.206549167633057
01-03-1973,15.0,0.0,81000,15.25,15.1875,5.228064060211182
02-03-1973,14.875,0.0,16600,15.1875,15.1875,5.228064060211182
05-03-1973,15.125,0.0,10200,15.4375,15.25,5.24957799911499
06-03-1973,15.375,0.0,47000,16.125,15.875,5.46472692489624
07-03-1973,15.625,0.0,43200,16.1875,16.1875,5.572298526763916
08-03-1973,16.125,0.0,12600,16.3125,16.3125,5.615328311920166
09-03-1973,16.1875,0.0,10800,16.3125,16.1875,5.572298526763916
12-03-1973,16.0,0.0,8400,16.3125,16.3125,5.615328311920166
13-03-1973,16.375,0.0,18600,16.6875,16.6875,5.744418144226074
14-03-1973,16.8125,0.0,43400,17.0,17.0,5.851989269256592
15-03-1973,16.6875,0.0,11800,17.0,16.8125,5.787448406219482
16-03-1973,16.1875,0.0,69200,16.75,16.375,5.636842250823975
19-03-1973,15.625,0.0,8200,16.25,15.625,5.378672122955322
20-03-1973,15.125,0.0,76400,15.5,15.5,5.3356404304504395
21-03-1973,15.25,0.0,11000,15.625,15.25,5.24957799911499
22-03-1973,15.125,0.0,13400,15.375,15.125,5.206549167633057
23-03-1973,15.0,0.0,30400,15.1875,15.0625,5.185035228729248
26-03-1973,15.0,0.0,26400,15.1875,15.1875,5.228064060211182
27-03-1973,15.25,0.0,30200,16.375,16.125,5.550784111022949
28-03-1973,16.0,0.0,33800,16.5,16.5,5.679872989654541
29-03-1973,16.3125,0.0,38800,16.5,16.3125,5.615328311920166
30-03-1973,15.75,0.0,24400,16.0625,15.8125,5.443212985992432
02-04-1973,15.4375,0.0,20800,15.5,15.4375,5.31412410736084
03-04-1973,15.0,0.0,33200,15.375,15.0625,5.185035228729248
04-04-1973,14.75,0.0,16800,15.125,15.0,5.163518905639648
05-04-1973,14.625,0.0,27200,15.0625,15.0,5.163518905639648
06-04-1973,14.75,0.0,29600,15.5,15.0,5.163518905639648
09-04-1973,14.875,0.0,46200,15.0625,14.875,5.120491981506348
10-04-1973,15.0,0.0,34600,15.375,15.25,5.24957799911499
11-04-1973,15.375,0.0,18200,15.75,15.75,5.421695232391357
12-04-1973,15.8125,0.0,20200,16.5,16.125,5.550784111022949
13-04-1973,16.0,0.0,14800,16.625,16.5625,5.701389312744141
16-04-1973,16.125,0.0,18200,16.6875,16.125,5.550784111022949
17-04-1973,16.25,0.0,16000,16.5,16.5,5.679872989654541
18-04-1973,16.375,0.0,16600,16.5,16.375,5.636842250823975
19-04-1973,16.5,0.0,19800,16.75,16.5,5.679872989654541
23-04-1973,15.875,0.0,59200,16.0,15.875,5.46472692489624
24-04-1973,15.75,0.0,6200,15.9375,15.75,5.421695232391357
25-04-1973,15.0,0.0,57000,15.75,15.0,5.163518905639648
26-04-1973,14.75,0.0,65400,15.125,14.8125,5.098977565765381
27-04-1973,14.25,0.0,64000,14.8125,14.25,4.905345439910889
30-04-1973,13.5,0.0,92800,14.0,13.75,4.733227729797363
01-05-1973,13.0,0.0,62600,13.875,13.0,4.475050926208496
02-05-1973,12.875,0.0,79800,13.5,13.375,4.6041388511657715
03-05-1973,13.0,0.0,48400,13.625,13.5,4.647168159484863
04-05-1973,14.125,0.0,32600,14.375,14.1875,4.8838276863098145
07-05-1973,14.25,0.0,6800,14.5,14.375,4.94837760925293
08-05-1973,14.0,0.0,35000,14.25,14.125,4.86231803894043
09-05-1973,13.625,0.0,58600,14.25,13.875,4.776254653930664
10-05-1973,13.5,0.0,4600,13.75,13.75,4.733227729797363
11-05-1973,13.0,0.0,5800,13.5625,13.0,4.475050926208496
14-05-1973,12.5,0.0,76600,12.75,12.5625,4.324449062347412
15-05-1973,12.25,0.0,41000,12.8125,12.8125,4.410506725311279
16-05-1973,12.5,0.0,21400,13.125,13.125,4.518082141876221
17-05-1973,13.0,0.0,41800,13.5,13.0625,4.496565818786621
18-05-1973,12.9375,0.0,56400,13.0,13.0,4.475050926208496
21-05-1973,12.75,0.0,42400,13.0,12.75,4.38899040222168
22-05-1973,12.75,0.0,52600,13.125,12.8125,4.410506725311279
23-05-1973,12.75,0.0,115000,13.125,13.0,4.475050926208496
24-05-1973,13.125,0.0,50400,14.0,13.8125,4.7547407150268555
25-05-1973,13.75,0.0,27400,14.0,13.875,4.776254653930664
29-05-1973,13.125,0.0,20800,13.875,13.25,4.5611090660095215
30-05-1973,13.125,0.0,29800,13.375,13.1875,4.539593696594238
31-05-1973,13.125,0.0,16200,13.375,13.25,4.5611090660095215
01-06-1973,13.0,0.0,15000,13.25,13.0,4.475050926208496
04-06-1973,12.375,0.0,38400,12.875,12.5,4.302932262420654
05-06-1973,12.5,0.0,11600,12.75,12.75,4.38899040222168
06-06-1973,11.9375,0.0,87600,12.75,12.125,4.173844814300537
07-06-1973,12.125,0.0,23000,12.375,12.25,4.216874599456787
08-06-1973,12.25,0.0,18600,12.75,12.625,4.345961570739746
11-06-1973,12.375,0.0,16600,12.625,12.375,4.259904384613037
12-06-1973,12.375,0.0,24200,12.875,12.875,4.432023048400879
13-06-1973,12.625,0.0,48200,12.9375,12.9375,4.453536510467529
14-06-1973,12.75,0.0,45800,13.25,12.8125,4.410506725311279
15-06-1973,12.5,0.0,78000,12.625,12.5,4.302932262420654
18-06-1973,11.875,0.0,28800,12.5,11.875,4.08778715133667
19-06-1973,11.875,0.0,24400,12.125,12.125,4.173844814300537
20-06-1973,12.5,0.0,24400,12.625,12.5625,4.324449062347412
21-06-1973,12.375,0.0,22400,12.875,12.75,4.38899040222168
22-06-1973,12.75,0.0,79000,13.125,13.0625,4.496565818786621
25-06-1973,12.75,0.0,3000,13.0625,12.75,4.38899040222168
26-06-1973,12.75,0.0,47600,13.25,13.25,4.5611090660095215
27-06-1973,13.125,0.0,21400,13.5,13.1875,4.539593696594238
28-06-1973,13.125,0.0,40200,14.25,13.875,4.776254653930664
29-06-1973,13.5625,0.0,17000,14.0,13.875,4.776254653930664
02-07-1973,13.5,0.0,18200,14.0,13.875,4.776254653930664
03-07-1973,13.375,0.0,22800,13.75,13.375,4.6041388511657715
05-07-1973,13.125,0.0,24000,13.25,13.25,4.5611090660095215
06-07-1973,12.875,0.0,15600,13.25,12.9375,4.453536510467529
09-07-1973,12.875,0.0,6800,13.5,13.5,4.647168159484863
10-07-1973,13.625,0.0,63400,14.125,13.625,4.690199851989746
11-07-1973,13.875,0.0,48000,14.25,14.1875,4.8838276863098145
12-07-1973,14.0,0.0,18400,14.25,14.25,4.905345439910889
13-07-1973,14.0625,0.0,4800,14.3125,14.3125,4.926861763000488
16-07-1973,14.375,0.0,19600,15.25,15.25,5.24957799911499
17-07-1973,15.5,0.0,25600,15.875,15.625,5.378672122955322
18-07-1973,15.375,0.0,34800,15.75,15.75,5.421695232391357
19-07-1973,15.5625,0.0,25600,15.875,15.625,5.378672122955322
20-07-1973,15.625,0.0,36000,16.25,16.125,5.550784111022949
23-07-1973,15.625,0.0,62200,16.375,15.625,5.378672122955322
24-07-1973,14.875,0.0,26600,15.625,15.625,5.378672122955322
25-07-1973,15.75,0.0,35200,16.125,16.125,5.550784111022949
26-07-1973,16.0,0.0,41400,16.25,16.25,5.593814373016357
27-07-1973,15.375,0.0,28400,16.125,15.5625,5.357149124145508
30-07-1973,15.375,0.0,5800,15.9375,15.75,5.421695232391357
31-07-1973,15.25,0.0,12600,15.75,15.25,5.24957799911499
01-08-1973,14.5,0.0,24400,15.375,14.875,5.120491981506348
02-08-1973,14.75,0.0,11600,15.0,15.0,5.163518905639648
03-08-1973,15.125,0.0,23400,15.625,15.625,5.378672122955322
06-08-1973,15.25,0.0,13200,15.75,15.5,5.3356404304504395
07-08-1973,15.5,0.0,26600,15.875,15.5,5.3356404304504395
08-08-1973,14.75,0.0,4600,15.375,14.75,5.077462196350098
09-08-1973,15.0,0.0,10600,15.375,15.375,5.292605876922607
10-08-1973,15.0625,0.0,8800,15.25,15.0625,5.185035228729248
13-08-1973,14.625,0.0,29400,15.0,14.625,5.034435272216797
14-08-1973,14.5,0.0,18000,14.75,14.625,5.034435272216797
15-08-1973,14.5,0.0,26600,14.625,14.5,4.9914045333862305
16-08-1973,14.5,0.0,5000,14.75,14.5,4.9914045333862305
17-08-1973,14.5,0.0,1200,14.625,14.625,5.034435272216797
20-08-1973,14.125,0.0,33400,14.625,14.125,4.86231803894043
21-08-1973,14.0,0.0,40000,14.25,14.125,4.86231803894043
22-08-1973,14.0,0.0,14400,14.125,14.125,4.86231803894043
23-08-1973,14.25,0.0,45400,14.5,14.5,4.9914045333862305
24-08-1973,14.5,0.0,42200,14.875,14.75,5.077462196350098
27-08-1973,14.625,0.0,131200,14.75,14.75,5.077462196350098
28-08-1973,14.75,0.0,51400,14.8125,14.8125,5.098977565765381
29-08-1973,14.875,0.0,10400,15.125,15.0625,5.185035228729248
30-08-1973,14.875,0.0,144800,15.125,14.875,5.120491981506348
31-08-1973,14.6875,0.0,26400,14.8125,14.8125,5.098977565765381
04-09-1973,14.875,0.0,26800,15.0,14.9375,5.142006874084473
05-09-1973,14.875,0.0,21200,15.0,14.875,5.120491981506348
06-09-1973,14.875,0.0,38200,15.125,15.125,5.206549167633057
07-09-1973,15.0,0.0,19800,15.1875,15.1875,5.228064060211182
10-09-1973,15.125,0.0,5400,15.3125,15.125,5.206549167633057
11-09-1973,15.125,0.0,36600,15.4375,15.4375,5.31412410736084
12-09-1973,15.375,0.0,23000,15.75,15.625,5.378672122955322
13-09-1973,15.375,0.0,35200,16.0,15.8125,5.443212985992432
14-09-1973,15.75,0.0,25400,16.125,16.0,5.507754802703857
17-09-1973,16.0,0.0,19000,16.25,16.1875,5.572298526763916
18-09-1973,15.625,0.0,14600,16.1875,15.875,5.46472692489624
19-09-1973,16.0,0.0,89000,16.25,16.125,5.550784111022949
20-09-1973,16.25,0.0,61400,16.5,16.4375,5.658359050750732
21-09-1973,16.5625,0.0,39400,17.0,17.0,5.851989269256592
24-09-1973,16.625,0.0,26800,16.875,16.625,5.722904205322266
25-09-1973,16.625,0.0,38600,17.0,16.875,5.808961868286133
26-09-1973,16.875,0.0,15800,17.0,16.875,5.808961868286133
27-09-1973,16.625,0.0,28000,17.0,16.75,5.765930652618408
28-09-1973,16.0,0.0,119200,16.5,16.125,5.550784111022949
01-10-1973,16.125,0.0,3400,16.375,16.25,5.593814373016357
02-10-1973,16.0,0.0,10800,16.25,16.0,5.507754802703857
03-10-1973,15.75,0.0,37400,16.25,15.75,5.421695232391357
04-10-1973,15.75,0.0,20400,15.8125,15.8125,5.443212985992432
05-10-1973,15.8125,0.0,98600,16.125,16.125,5.550784111022949
08-10-1973,16.0,0.0,22800,16.125,16.125,5.550784111022949
09-10-1973,15.875,0.0,24400,16.125,16.125,5.550784111022949
10-10-1973,16.0625,0.0,55000,16.1875,16.0625,5.529270648956299
11-10-1973,16.125,0.0,21800,16.25,16.125,5.550784111022949
12-10-1973,16.0625,0.0,74800,16.125,16.125,5.550784111022949
15-10-1973,15.875,0.0,30000,16.0625,16.0625,5.529270648956299
16-10-1973,15.875,0.0,74200,16.125,16.125,5.550784111022949
17-10-1973,16.0,0.0,29800,16.1875,16.1875,5.572298526763916
18-10-1973,15.9375,0.0,22400,16.1875,15.9375,5.486243724822998
19-10-1973,15.9375,0.0,26200,16.125,16.0,5.507754802703857
22-10-1973,15.8125,0.0,32600,16.125,16.125,5.550784111022949
23-10-1973,16.0,0.0,43800,16.125,16.0,5.507754802703857
24-10-1973,15.9375,0.0,17000,16.0,16.0,5.507754802703857
25-10-1973,15.625,0.0,41400,16.0,15.625,5.378672122955322
26-10-1973,15.5625,0.0,57000,15.75,15.6875,5.400181770324707
29-10-1973,14.9375,0.0,26600,15.625,15.0,5.163518905639648
30-10-1973,14.875,0.0,40800,15.125,15.125,5.206549167633057
31-10-1973,14.875,0.0,13000,15.0625,15.0,5.163518905639648
01-11-1973,14.75,0.0,13400,15.0,15.0,5.163518905639648
02-11-1973,15.0,0.0,74200,15.3125,15.125,5.206549167633057
05-11-1973,15.0,0.0,48400,15.25,15.25,5.24957799911499
06-11-1973,14.75,0.0,132000,15.375,14.875,5.120491981506348
07-11-1973,14.5,0.0,48000,15.125,15.125,5.206549167633057
08-11-1973,14.875,0.0,17400,15.25,15.0,5.163518905639648
09-11-1973,14.75,0.0,31800,14.9375,14.75,5.077462196350098
12-11-1973,14.625,0.0,11600,15.0,14.875,5.120491981506348
13-11-1973,14.75,0.0,10600,14.75,14.75,5.077462196350098
14-11-1973,14.75,0.0,34200,14.875,14.75,5.077462196350098
15-11-1973,14.0,0.0,60800,14.625,14.125,4.86231803894043
16-11-1973,13.875,0.0,62000,14.125,14.0,4.819286823272705
19-11-1973,13.75,0.0,34200,14.0,13.75,4.733227729797363
20-11-1973,13.25,0.0,56800,13.625,13.3125,4.5826239585876465
21-11-1973,13.3125,0.0,21600,13.625,13.5,4.647168159484863
23-11-1973,13.4375,0.0,13600,13.625,13.5,4.647168159484863
26-11-1973,12.75,0.0,50400,13.5,12.75,4.38899040222168
27-11-1973,12.0625,0.0,35200,12.375,12.0625,4.152329921722412
28-11-1973,12.125,0.0,9200,12.5,12.5,4.302932262420654
29-11-1973,12.5,0.0,20200,12.75,12.625,4.345961570739746
30-11-1973,12.25,0.0,31000,12.625,12.4375,4.281419277191162
03-12-1973,12.25,0.0,17200,12.5,12.3125,4.238390922546387
04-12-1973,12.25,0.0,47200,12.625,12.5,4.302932262420654
05-12-1973,12.375,0.0,41000,12.5,12.5,4.302932262420654
06-12-1973,12.375,0.0,18200,13.25,13.25,4.5611090660095215
07-12-1973,13.0,0.0,29600,13.875,13.0,4.475050926208496
10-12-1973,12.5,0.0,90400,12.875,12.75,4.38899040222168
11-12-1973,12.375,0.0,28800,12.875,12.375,4.259904384613037
12-12-1973,11.75,0.0,35800,12.0,12.0,4.130816459655762
