Date,Low,Open,Volume,High,Close,Adjusted Close
22-06-1988,4.625,0.0,18200,4.75,4.625,2.7731029987335205
23-06-1988,4.25,0.0,51100,4.5,4.25,2.548257350921631
24-06-1988,4.375,0.0,11800,4.375,4.375,2.62320613861084
27-06-1988,4.25,0.0,13200,4.375,4.25,2.548257350921631
28-06-1988,4.0,0.0,16200,4.25,4.0,2.3983590602874756
29-06-1988,4.125,0.0,8900,4.25,4.125,2.47330904006958
30-06-1988,4.375,0.0,47300,4.5,4.375,2.62320613861084
01-07-1988,4.75,0.0,29100,4.875,4.75,2.848050832748413
05-07-1988,4.625,0.0,14000,4.875,4.625,2.7731029987335205
06-07-1988,4.5,0.0,20000,4.625,4.5,2.6981539726257324
07-07-1988,4.5,0.0,6900,4.625,4.5,2.6981539726257324
08-07-1988,4.375,0.0,9300,4.5,4.375,2.62320613861084
11-07-1988,4.375,0.0,31400,4.5,4.375,2.62320613861084
12-07-1988,4.375,0.0,3600,4.625,4.375,2.62320613861084
13-07-1988,4.5,0.0,2800,4.625,4.5,2.6981539726257324
14-07-1988,4.375,0.0,26400,4.625,4.375,2.62320613861084
15-07-1988,4.375,0.0,13000,4.625,4.375,2.62320613861084
18-07-1988,4.25,0.0,10500,4.5,4.25,2.548257350921631
19-07-1988,4.125,0.0,7500,4.375,4.125,2.47330904006958
20-07-1988,3.875,0.0,31400,4.125,3.875,2.3234102725982666
21-07-1988,4.0,0.0,13200,4.125,4.0,2.3983590602874756
22-07-1988,3.875,0.0,21100,4.125,3.875,2.3234102725982666
25-07-1988,3.875,0.0,2000,4.125,3.875,2.3234102725982666
26-07-1988,3.875,0.0,26900,4.0,3.875,2.3234102725982666
27-07-1988,3.875,0.0,1900,4.0,3.875,2.3234102725982666
28-07-1988,3.875,0.0,10300,4.0,3.875,2.3234102725982666
29-07-1988,3.875,0.0,14200,4.0,3.875,2.3234102725982666
01-08-1988,4.0,0.0,19700,4.125,4.0,2.3983590602874756
02-08-1988,3.875,0.0,17500,4.125,3.875,2.3234102725982666
03-08-1988,3.75,0.0,33600,4.0,3.75,2.2484614849090576
04-08-1988,3.625,0.0,1300,3.875,3.625,2.1735126972198486
05-08-1988,3.75,0.0,2900,3.875,3.75,2.2484614849090576
08-08-1988,3.75,0.0,9400,3.875,3.75,2.2484614849090576
09-08-1988,3.5,0.0,26000,3.625,3.5,2.0985641479492188
